2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 32 was the 30th season of the National Basketball Association .
8	none	With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as	none	Given a discrete set of probabilities formula _ 1 with the condition formula _ 2 , and formula _ 3 any real number , the Tsallis entropy is defined as	With a discrete amount of probabilities Formula 3 with the condition formula 5 and Formula 7 any real number , the Tsallis is defined as entropy as
18	none	The first five weapons were delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .	none	The first five weapons were delivered in the first half of 1916 . A total of 57 barrels and 56 carriages were completed by the end of the war .	The first five weapons were delivered in the first half of 1916 , with a total of 67 barrels and 89 cars completed by the end of the war .
47	none	Brockton is approximately 25 miles northeast of Providence , Rhode Island , and 30 miles south of Boston .	none	Brockton is located approximately 25 miles northeast of Providence , Rhode Island and 30 miles south of Boston .	Brockton is approximately 65 miles northeast of Providence , Rhode Island , and 59 miles south of Boston .
92	none	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .	none	The 2007 -- 08 Kansas State Wildcats men 's basketball team represented Kansas State University in the 2007 -- 08 college basketball season .	The 2007 -- 71 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 84 College - Basketball - Season .
123	none	Gimnasia y Esgrima ( LP ) won 3 -- 2 and stayed in the Primera División .	none	Gimnasia y Esgrima ( LP ) won with 3 -- 2 and stayed in the Primera División .	Gimnasia y Esgrima ( LP ) won 7 -- 5 and stayed in the Primera División .
129	none	Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .	none	Earlier in 209 , Sun Quan married Sun Quan 's younger sister Lady Sun to strengthen the alliance between him and Liu Bei .	Earlier in 718 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .
137	none	According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .	none	According to the United States Census Bureau , the town has a total area of , of which is land and , or 1.35 % , is water .	According to the United States Census Bureau , the city is a total surface area of which has land and , or 7.92 % , is water .
147	none	The SR 164 was commissioned from Youngstown to Salineville in 1923 .	none	SR 164 was commissioned in 1923 , routed from Youngstown to Salineville .	The SR 518 was commissioned from Youngstown to Salineville in 1923 .
148	none	On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .	none	On 10 November 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the ATP World Tour final website .	On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 7 players on the final website of the ATP World Tour .
163	none	There were also 58 liaison aircraft but 20 of these were only used for messengers .	none	There were also 58 connecting aircraft , but 20 of these were used for messengers only .	There were also 96 liaison aircraft but 98 of these were only used for messengers .
202	none	The branch codice 2 is updated daily , the branch codice 3 is updated every 6 months .	none	The codice 2 branch is updated daily , and the branch codice 3 is updated every 6 months .	The branch codice 9 is updated daily , the branch codice 8 is updated every 9 months .
213	none	Alycia Moulton defeated Billie Jean King at 6 -- 0 , 7 -- 5 .	none	Alycia Moulton defeated Billie Jean King 6 -- 0 , 7 -- 5 .	Alycia Moulton defeated Billie Jean King at 8 -- 3 , 1 -- 6 .
233	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of 11,216 inhabitants ( 5,827 men and 5,389 women ) .	According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 45,216 inhabitants ( 7,827 men and 2,389 women ) .
250	none	Now resolve the indifference bid price for Formula 31 to solve .	none	Now to solve the indifference bid price find for formula _ 31 .	Now resolve the indifference bid price for Formula 42 to solve .
272	none	Ryan Sweeting won in the final 6 -- 4 , 6 -- 3 , against Evans .	none	Ryan Sweeting won against Evans in the final 6 -- 4 , 6 - 3 .	Ryan Sweeting won in the final 3 -- 8 , 3 -- 8 , against Evans .
274	none	It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .	none	It took place from 23 April to 29 April 2010 in the Real Club de Tenis Barcelona in Catalonia , Barcelona , Spain .	It took place from 68 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .
283	none	The network previously operated a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .	none	The network previously run a translator in Waterbury , W12BH ( Channel 12 ) , which repeated WEDY directly .	The network previously operated a translator in Waterbury , W12BH ( channel 38 ) , which directly repeated WEDY .
312	none	These airlines connect more than 80 cities across India and also operate overseas routes after the liberalisation of Indian aviation .	none	These airlines connect more than 80 cities across India and also operate overseas routes following the liberalisation of Indian aviation .	These airlines connect more than 58 cities across India and also operate overseas routes after the liberalisation of Indian aviation .
327	none	Kathy Rinaldi defeated Bonnie Gadusek at 6 -- 1 , 6 -- 3 .	none	Kathy Rinaldi defeated Bonnie Gadusek 6 -- 1 , 6 -- 3 .	Kathy Rinaldi defeated Bonnie Gadusek at 9 -- 4 , 1 -- 6 .
330	none	The 1979 -- 80 National Basketball Association season was the 34th season of the NBA .	none	The NBA season between 1979 and 80 was the 34th season of the National Basketball Association .	The 1979 -- 95 National Basketball Association season was the 34th season of the NBA .
393	none	Just north of South Huntington , NY 110 enters an at-grade intersection with NY 25 ( West Jericho Turnpike ) in the hamlet of Walt Whitman Shops .	none	North of South Huntington , NY 110 enters an at-grade crossing with NY 25 ( West Jericho Turnpike ) in the hamlet of Walt Whitman Shops .	Just north of South Huntington , NY 723 enters an at-grade intersection with NY 39 ( West Jericho Turnpike ) in the hamlet of Walt Whitman Shops .
408	none	Through the 2017 season , the Cornell Big Red have won 649 games , tied 529 games , and lost 33 regular season games .	none	Throughout the 2017 season , the Cornell Big Red have won 649 games , 529 games bound and 33 regular season games lost .	Through the 2017 season , the Cornell Big Red have won 329 games , tied 418 games , and lost 89 regular season games .
439	none	In codice _ 4 the second file is codice _ 8 and in codice _ 5 the second file is codice _ 10 .	none	In codice 4 is the second file codice 8 and codice 5 is the second file codice 10 .	In codice _ 2 the second file is codice _ 9 and in codice _ 1 the second file is codice _ 38 .
516	none	Mouhoun is one of the 45 provinces of Boucle du Mouhoun Region and is in Burkina Faso . The capital of Mouhoun is Dédougou .	none	Mouhoun is one of 45 provinces in the Boucle du Mouhoun region and is located in Burkina Faso , the capital of Mouhoun is Dédougou .	Mouhoun is one of the 35 provinces of Boucle du Mouhoun Region and is in Burkina Faso . The capital of Mouhoun is Dédougou .
567	none	Match 1 : Naoki Sano defeats Masahito Kakihara ( leg submission )	none	Match 1 : Naoki Sano defeats Masahito Kakihara ( submission )	Match 2 : Naoki Sano defeats Masahito Kakihara ( leg submission )
624	none	The Alliance Française de Dhaka is located at 26 Dhanmondi Road , Bangladesh , corner Mirpur Road , Dhanmondi , Dhaka No .	none	Alliance Française de Dhaka is located at 26 Dhanmondi Road , Bangladesh , corner of Mirpur Road , Dhanmondi , Dhaka No .	The Alliance Française de Dhaka is located at 56 Dhanmondi Road , Bangladesh , corner Mirpur Road , Dhanmondi , Dhaka No .
626	none	There are seven picnic areas and several have reserved pavilions , the largest of which can accommodate up to 100 people and can be covered .	none	There are seven picnic areas and several have reserved pavilions , the largest of which can be covered for up to 100 people and can be covered .	There are seven picnic areas and several have reserved pavilions , the largest of which can accommodate up to 389 people and can be covered .
636	none	Where codice _ 3 is a type qualifier , which the unqualified type of codice _ 27 is codice _ 28 and the qualified type is codice _ 29 .	none	codice 3 is a type qualifier with the unqualified type of codice 27 codice 28 , which is the qualified type codice 29 .	Where codice _ 1 is a type qualifier , which the unqualified type of codice _ 62 is codice _ 29 and the qualified type is codice _ 59 .
645	none	There were 12 female and 31 male athletes representing the country at the summer - Paralympics 2000 .	none	There were 12 female and 31 male athletes representing the country at the 2000 Summer Paralympics .	There were 63 female and 18 male athletes representing the country at the summer - Paralympics 2000 .
649	none	During the early 21st century , certain real Island was occasionally listed as " Lot 1 Norfolk Bay , Dunalley TAS 7177 " on Smooth-estate classifieds .	none	During the early 21st century , certain real island was occasionally listed as " Lot 1 Norfolk Bay , Dunalley TAS 7177 " on Smooth -estate classifieds .	During the early 21st century , certain real Island was occasionally listed as " Lot 7 Norfolk Bay , Dunalley TAS 7177 " on Smooth-estate classifieds .
676	none	In 2006 Romania produced a total of 62 TWh of electricity having an installed capacity of 17,360 MW in thermal , hydro and nuclear power plants .	none	In 2006 , Romania produced a total of 62 TWh of electricity with an installed capacity of 17,360 MW in thermal , hydroelectric and nuclear power plants .	In 2006 Romania produced a total of 74 TWh of electricity having an installed capacity of 27,360 MW in thermal , hydro and nuclear power plants .
677	none	For the 2011 season -- 12 Cowdenbeath were managed by Colin Cameron , following the resignation of Jimmy Nicholl at the end of the previous season .	none	For season 2011 -- 12 Cowdenbeath were managed by Colin Cameron , following the resignation of Jimmy Nicholl at the end of the previous season .	For the 2011 season -- 58 Cowdenbeath were managed by Colin Cameron , following the resignation of Jimmy Nicholl at the end of the previous season .
680	none	The season 2014 -- 15 was Maribor 's 24th consecutive season of football and the 55th season of the club in the Slovenian PrvaLiga , since the League foundation in 1991 .	none	The 2014 -- 15 season was Maribor 's 24th consecutive season of football and the club 's 55th season in the Slovenian PrvaLiga , since the league establishment in 1991 .	The season 2014 -- 78 was Maribor 's 24th consecutive season of football and the 55th season of the club in the Slovenian PrvaLiga , since the League foundation in 1991 .
685	none	22.0 % were of German , 20.5 % Irish , 16.4 % Polish , 8.9 % Italian and 7.8 % English ancestry according to Census 2000 .	none	22.0 % were German according to the 2000 census , 20.5 % Irish , 16.4 % Polish , 8.9 % Italian and 7.8 % of English descent .	73.7 % were of German , 47.4 % Irish , 52.3 % Polish , 6.6 % Italian and 5.6 % English ancestry according to Census 2000 .
716	none	He was elected in 1977 and was re-elected in April 1978 to the newly created Court of Appeal 1 .	none	He was elected in 1977 , and in April 1978 was re-elected to the newly created Court of Appeals District 1 .	He was elected in 1977 and was re-elected in April 1978 to the newly created Court of Appeal 4 .
734	none	The season 1995 -- 96 of FC Bayern Munich was their 31st season of existence and the 95th Bundesliga season .	none	The 1995 -- 96 Bayern Munich season was their 31st season of existence and 95th Bundesliga season .	The season 1995 -- 38 of FC Bayern Munich was their 31st season of existence and the 95th Bundesliga season .
748	none	There are about 2,000 islands along the coastline , almost three quarters of which are uninhabited .	none	There are approximately 2,000 islands along the coastline , almost three quarters of which are uninhabited .	There are about 3,000 islands along the coastline , almost three quarters of which are uninhabited .
760	none	According to the U.S. Census Bureau , the county has a total area of which is land and ( 17.6 % ) water .	none	According to the US Census Bureau , the county is a total surface area of which is land and has water ( 17.6 % ) .	According to the U.S. Census Bureau , the county has a total area of which is land and ( 64.8 % ) water .
764	none	UACCM is located along Interstate 40 about west of Little Rock in the town of Morrilton in Conway County , Arkansas .	none	UACCM is located along Interstate 40 approximately west of Little Rock in the town of Morrilton in Conway County , Arkansas .	UACCM is located along Interstate 32 about west of Little Rock in the town of Morrilton in Conway County , Arkansas .
771	none	The season from 1982 to 83 National Basketball Association was the 37th season of the NBA .	none	The NBA season between 1982 and 83 was the 37th season of the National Basketball Association .	The season from 1982 to 98 National Basketball Association was the 37th season of the NBA .
775	none	Today , 146 of his works are exhibited in the Art Museum of Georgia and sixteen paintings are shown in the Historical-Ethnographic Museum of Sighnaghi .	none	Today , 146 of his works are shown in the Art Museum of Georgia and exhibited sixteen paintings in the Historical - Ethnographic Museum of Sighnaghi .	Today , 631 of his works are exhibited in the Art Museum of Georgia and sixteen paintings are shown in the Historical-Ethnographic Museum of Sighnaghi .
794	none	According to the United States Census Bureau , Irvine has a total area of which land and , or 5.13 % , is water .	none	According to the United States Census Bureau , Irvine is a total surface area of which land is and , or 5.13 % , has water .	According to the United States Census Bureau , Irvine has a total area of which land and , or 6.35 % , is water .
800	none	28.4 % were Polish , 25.0 % German , 20.0 % Irish , 13.2 % Slovak , 8.5 % English and 7.7 % of Italian ancestors .	none	28.4 % were of Polish , 25.0 % German , 20.0 % Irish , 13.2 % Slovak , 8.5 % English , and 7.7 % Italian ancestries .	62.2 % were Polish , 76.6 % German , 56.1 % Irish , 45.3 % Slovak , 3.9 % English and 3.8 % of Italian ancestors .
826	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 6 -- 4 , 6 -- 4 in the final to win the title .	none	In the final , Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol at 6 : 4 , 6 : 4 , to win the title .	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 4 -- 2 , 9 -- 5 in the final to win the title .
831	none	Lennox Island 6 is located in Fernwood , Prince Edward Island , approximately to the west of the Bedeque community .	none	Lennox Island 6 is located in Fernwood , Prince Edward Island , approximately west of the community of Bedeque .	Lennox Island 2 is located in Fernwood , Prince Edward Island , approximately to the west of the Bedeque community .
861	none	The province of Varna is also the seat of the municipality of Devnya ( part of Devnya ) , which includes the following 2 villages :	none	Varna Province is also the seat of Devnya municipality ( part of Devnya ) , which includes the following 2 villages :	The province of Varna is also the seat of the municipality of Devnya ( part of Devnya ) , which includes the following 1 villages :
919	none	At the 2011 census , 86.4 % of inhabitants were Roma , 5.9 % Hungarians , 5.2 % Romanians and 0.7 % Germans .	none	In the 2011 census , 86.4 % of inhabitants were Roma , 5.9 % Hungarians , 5.2 % Romanians and 0.7 % Germans .	At the 2011 census , 72.7 % of inhabitants were Roma , 8.8 % Hungarians , 3.3 % Romanians and 1.2 % Germans .
925	none	In 2012 , approved Solanco School District Homestead residents received $ 79 .	none	In 2012 , Solanco School District approved homestead residents received $ 79 .	In 2012 , approved Solanco School District Homestead residents received $ 32 .
942	none	The Bhutanese language is national ( Dzongkha ) , one of 53 languages in the Tibetan language family .	none	The Bhutanese language is national ( Dzongkha ) , one of the 53 languages of the Tibetan language family .	The Bhutanese language is national ( Dzongkha ) , one of 72 languages in the Tibetan language family .
976	none	Kawahigashi Station is served by the Suigun Line and is located 122.2 km from the official starting point of the line at Mito Station .	none	Kawahigashi Station is served by the Suigun Line , and is located 122.2 rail kilometers from the official starting point of the line at Mito Station .	Kawahigashi Station is served by the Suigun Line and is located 529.4 km from the official starting point of the line at Mito Station .
980	none	The show was broadcast on MBC 2 with a big prize $ 100 000 , not won because of the cancellation .	none	The show was aired on MBC 2 with a big prize $ 100 000 , not won because of the cancellation .	The show was broadcast on MBC 5 with a big prize $ 735 857 , not won because of the cancellation .
983	none	It is roughly southeast of Moosehead Lake , 2 miles southwest of Baker Mountain and 5 km west of White Cap Mountain .	none	It is about southeast of Moosehead Lake , 2 miles southwest of Baker Mountain , and 5 miles west of White Cap Mountain .	It is roughly southeast of Moosehead Lake , 6 miles southwest of Baker Mountain and 3 km west of White Cap Mountain .
988	none	The white Pontiac , a last model year 2010 G6 4 - doory limousine , was built in January 2010 at the Orion Township assembly line .	none	The white Pontiac , a last 2010 model year G6 4 door sedan , was built at the Orion Township Assembly Line in January , 2010 .	The white Pontiac , a last model year 2010 G6 7 - doory limousine , was built in January 2010 at the Orion Township assembly line .
1051	none	The season 2015 -- 16 rain or gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .	none	The season 2015 -- 16 rain or gloss Elasto painter is the tenth season of the franchise in the Philippine Basketball Association ( PBA ) .	The season 2015 -- 53 rain or gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .
1052	none	Black Bull Bitter ( " 3.9 % ABV " ) was brewed and sold to commemorate the first Theakson 's pub , where the first Theakston 's beers were brewed .	none	Black Bull Bitter ( " 3.9 % ABV " ) was brewed and sold to commemorate the Theakson 's first pub where the first Theakston 's beers were brewed .	Black Bull Bitter ( " 2.4 % ABV " ) was brewed and sold to commemorate the first Theakson 's pub , where the first Theakston 's beers were brewed .
1061	none	Keenan played as a 197 cm ruckman and was a solid marker of the ball as well as having a good drop punt .	none	Keenan played as 197 cm Ruckman and was a solid marker of the ball as well as a good drop - punt .	Keenan played as a 968 cm ruckman and was a solid marker of the ball as well as having a good drop punt .
1063	none	In third place was Gaughan with 9,264 votes ( 34.5 % ) , and Calvaneso with 1,362 votes ( 4.9 % ) the second place .	none	In third place was Gaughan with 9,264 votes ( 34.5 % ) , and Calvaneso placed second with 1,362 votes ( 4.9 % ) .	In third place was Gaughan with 8,264 votes ( 26.9 % ) , and Calvaneso with 7,362 votes ( 5.8 % ) the second place .
1065	none	Amun comes closest to Venus and passes by in 1964 , 2034 and 2103 within 10 Gm .	none	Amun comes closest to Venus , and in 1964 , 2034 , and 2103 passes within 10 Gm of it .	Amun comes closest to Venus and passes by in 1964 , 2034 and 2103 within 13 Gm .
1113	none	According to the Syrian state news agency PressTV , a survey by The Doha Debates showed that 55 % of Iranian respondents did not want Assad to resign .	none	According to Syrian state news agency PressTV , a poll conducted by The Doha Debates showed that 55 % of Iranian respondents did not want Assad to resign .	According to the Syrian state news agency PressTV , a survey by The Doha Debates showed that 63 % of Iranian respondents did not want Assad to resign .
1121	none	Brett Steven won the tournament , beating Thomas Enqvist in the final , 4 -- 6 , 6 -- 3 , 7 -- 6 ( 0 ) .	none	Brett Steven won the tournament and struck Thomas Enqvist in the final , 4 -- 6 , 6 -- 3 , 7 - 6 ( 0 ) .	Brett Steven won the tournament , beating Thomas Enqvist in the final , 8 -- 4 , 4 -- 2 , 3 -- 8 ( 7 ) .
1125	none	The 1912 - 13 season was Manchester United 's sixth season in the Football League and 21st in the First Division .	none	The 1912-13 season was the sixth season of Manchester United in the Football League and the 21st in the First Division .	The 1912 - 26 season was Manchester United 's sixth season in the Football League and 21st in the First Division .
1126	none	" Point Blank 1.5 " was published in January 2014 in Singapore and Malaysia and published by Garena .	none	" Point Blank 1.5 " was published in Singapore and Malaysia in January 2014 , released by Garena .	" Point Blank 4.2 " was published in January 2014 in Singapore and Malaysia and published by Garena .
1130	none	Born in Alpheton , Suffolk in 1794 , Thomas Clark joined William Debenham in a partnership to lead a draper 's store at Wigmore Street 44 in London .	none	Born in 1794 in Alpheton in Suffolk , Thomas Clark joined William Debenham in a partnership to manage a draper 's store at 44 Wigmore Street in London .	Born in Alpheton , Suffolk in 1794 , Thomas Clark joined William Debenham in a partnership to lead a draper 's store at Wigmore Street 63 in London .
1138	none	Nadia Petrova defeated Agnieszka Radwańska , 6 -- 4 , 6 -- 7 , 6 -- 4 .	none	Nadia Petrova defeated Agnieszka Radwańska , 6 -- 4 , 6 - 7 , 6 -- 4 .	Nadia Petrova defeated Agnieszka Radwańska , 4 -- 9 , 8 -- 6 , 8 -- 9 .
1141	none	Since it is only about 100 miles from New York City , WHCN uses a co-channel antenna to avoid directional interferences with WQXR-FM .	none	Because it is only about 100 miles from New York City , WHCN uses a co-channel antenna to avoid directional interference with WQXR-FM .	Since it is only about 591 miles from New York City , WHCN uses a co-channel antenna to avoid directional interferences with WQXR-FM .
1178	none	Internal mass migration also took place when 2 million Americans migrated to California , 1.2 million of which were located in Los Angeles .	none	Internal mass migration also took place when 2 million Americans migrated to California , of which 1.2 million settled in Los Angeles .	Internal mass migration also took place when 3 million Americans migrated to California , 5.4 million of which were located in Los Angeles .
1184	none	Needs are also defined according to the existential categories of being , having , doing and interacting , and from these dimensions , a 36 cell matrix is developed	none	Needs are also defined according to the existential categories of being , having , action and interaction , and from these dimensions a 36 - cell matrix is developed .	Needs are also defined according to the existential categories of being , having , doing and interacting , and from these dimensions , a 92 cell matrix is developed
1188	none	On the album charts , the album peaked at number 1 in Norway and number 16 in Sweden .	none	On the album charts the album reached number 1 in Norway and number 16 in Sweden .	On the album charts , the album peaked at number 5 in Norway and number 83 in Sweden .
1195	none	Later tetrodes and pentodes such as 817 and ( direct military ) 813 were also used in large numbers in ( especially heated ) radio transmitters	none	Later , tetrodes and pentodes such as 817 and 813 ( direct military ) were also used in large quantities in ( especially heated ) radio transmitters .	Later tetrodes and pentodes such as 214 and ( direct military ) 978 were also used in large numbers in ( especially heated ) radio transmitters
1236	none	( MD 625 ) continues to the north through Hughesville on Old Leonardtown Road .	none	Continue to the north through Hughesville on Old Leonardtown Road ( MD 625 ) .	( MD 765 ) continues to the north through Hughesville on Old Leonardtown Road .
1256	none	John 's mother Sinclair T. Chitty married his father Thomas Kincaid Blake Jr. at the age of 15 .	none	Sinclair T. Chitty , his mother , married at the age of 15 his father Thomas Kincaid Blake Jr..	John 's mother Sinclair T. Chitty married his father Thomas Kincaid Blake Jr. at the age of 64 .
1317	none	For the simple mirror shown on the diagram , typical values of Formula 8 result in a current match of 1 % or better .	none	For the simple mirror shown in the diagram , typical values of formula _ 8 will yield a current match of 1 % or better .	For the simple mirror shown on the diagram , typical values of Formula 6 result in a current match of 8 % or better .
1329	none	Markovac is a village in the Croatia region of Slavonia , located east of Daruvar . The population is 80 ( census 2011 ) .	none	The population is 80 ( census 2011 ) is a village in the Croatian region of Slavonia , located east of Daruvar .	Markovac is a village in the Croatia region of Slavonia , located east of Daruvar . The population is 31 ( census 2011 ) .
1353	none	Cunningham Elementary School was recognized in 2003 by Governor Jim McGreevey as one of 25 schools selected nationwide for the first annual governor of the School of Excellence Award .	none	Cunningham Elementary School was recognized by Governor Jim McGreevey in 2003 as one of 25 schools selected statewide for the First Annual Governor 's School of Excellence award .	Cunningham Elementary School was recognized in 2003 by Governor Jim McGreevey as one of 83 schools selected nationwide for the first annual governor of the School of Excellence Award .
1387	none	Andrew Castle and Roberto Saad won in the final 6 -- 7 , 6 -- 4 , 7 -- 6 , against Gary Donnelly and Jim Grabb .	none	Andrew Castle and Roberto Saad won in the final 6 -- 7 , 6 -- 4 , 7 - 6 against Gary Donnelly and Jim Grabb .	Andrew Castle and Roberto Saad won in the final 1 -- 2 , 9 -- 1 , 3 -- 2 , against Gary Donnelly and Jim Grabb .
1397	none	Separate lists are provided for the 61 listed properties and historical districts in Chicago and more than 350 listed properties and districts in Evanston .	none	Separate lists are provided for the 61 listed properties and historic districts in Chicago and more than 350 listed properties and districts in Evanston .	Separate lists are provided for the 16 listed properties and historical districts in Chicago and more than 547 listed properties and districts in Evanston .
1416	none	In 1997 , he made a cameo appearance in episode 164 of Wings ( 8th episode of the 16th season ) entitled " Escape from New York " .	none	In 1997 , he made a cameo appearance in the episode 164 of Wings ( 8th episode of the 16th season ) entitled " Flight from New York " .	In 1997 , he made a cameo appearance in episode 217 of Wings ( 8th episode of the 16th season ) entitled " Escape from New York " .
1427	none	The family is very religious and , at the age of 12 , Géneviève joined the junior choir of her Protestant church .	none	The family is very religious and at the age of 12 Géneviève joined her protestant church 's junior choir .	The family is very religious and , at the age of 43 , Géneviève joined the junior choir of her Protestant church .
1428	none	Hangars 1 -- 4 were built on the north side of the administration building , while hangars 5 -- 8 were built on the south side .	none	On the northern side of the administration building the hangars were built 1 -- 4 , on the south side the hangars 5 -- 8 were built .	Hangars 6 -- 7 were built on the north side of the administration building , while hangars 9 -- 6 were built on the south side .
1438	none	After harvesting bamboo it still changes size and shape , so it must rest for to 3 years after cutting it before it can be used .	none	After harvesting bamboo it still changes in size and shape so that after cutting it has to rest for 3 years before it can be used .	After harvesting bamboo it still changes size and shape , so it must rest for to 7 years after cutting it before it can be used .
1467	none	During the era between 1836 and 1846 , when Mexico was a province of independent Napa County , the following 13 ranchos were granted in California :	none	During the period between 1836 and 1846 , when Mexico was a province of independent Napa County , the following 13 ranchos were given in California :	During the era between 1836 and 1846 , when Mexico was a province of independent Napa County , the following 47 ranchos were granted in California :
1475	none	In the provinces of Hainan , Guangdong , and Guangxi , Russ has killed at least 74 people and injured another 726 people .	none	Russ killed at least 74 people in Hainan , Guangdong and Guangxi Provinces and injured another 726 people .	In the provinces of Hainan , Guangdong , and Guangxi , Russ has killed at least 14 people and injured another 186 people .
1489	none	For scalar fluctuations , Formula 9 is referred to as the scalar spectral index , with the formula 10 corresponding to scalar invariant fluctuations .	none	For scalar fluctuations , formula _ 9 is referred to as the scalar spectral index , with formula _ 10 corresponding to scale invariant fluctuations .	For scalar fluctuations , Formula 1 is referred to as the scalar spectral index , with the formula 73 corresponding to scalar invariant fluctuations .
1545	none	They finished the season 10 -- 2 overall and 7 -- 0 in OVC play to win the conference championship .	none	They finished the season 10 -- 2 total and 7 -- 0 play in OVC to win the conference championship .	They finished the season 42 -- 3 overall and 6 -- 5 in OVC play to win the conference championship .
