error,id,source,ref,r,hyp_para,hyp_adv_based,hyp_adv_free
add,5479,Durch den Normalisierungsfaktor wird die Integralfunktion im gesamten Bereich der zweiten Potenz des Absolutwerts gleich 1.,The normalization factor makes the integral over all space of the square of the absolute value equal to 1.,The normalization factor makes the integral function equal to 1 over the entire range of the second power of the absolute value.,The normalization factor makes the integral equal to 1 over the entire space of the square of the absolute value.,The Normalization and generation factor makes the integral over all space of the square of the absolute value equal to 1.,The Normalization and promise factor makes the integral function equal to 1 over the entire range of the second power of the absolute value.
add,3911,"Als die neue Regierung jedoch die politischen Seiten wechselte, wurde Cerdàs Plan abgelehnt und als die lokale Regierung einen Projektwettbewerb veranstaltete, verlor Cerdà diesen.","However, when the new government changed political sides, Cerdà's plan was rejected and when the local government held a project competition, which Cerdà lost.","However, when the new government switched political sides, Cerdà's plan was rejected and when the local government held a project competition, Cerdà lost it.","However, when the new government changed political sides, Cerdà's plan was discarded and as the local government held a project competition which Cerdà lost.","However, when the new government and atmosphere changed political sides, Cerdà's plan was rejected and when the local government held a project competition, which Cerdà lost.","However, when the new government and revolution switched political sides, Cerdà's plan was rejected and when the local government held a project competition, Cerdà lost it."
add,3668,"Aus ihrer zweiten Ehe mit dem Geschäftsmann Babis Lazaridis hat sie einen Sohn, Vasilis.","From her second marriage with businessman Babis Lazaridis has a son, Vasilis.","She has a son, Vasilis, from her second marriage to businessman Babis Lazaridis.","From the second marriage with businessman Babis Lazaridis has a son, Vasilis.","From her second marriage and plan with businessman Babis Lazaridis has a son, Vasilis.","She has a son and agency, Vasilis, from her second marriage to businessman Babis Lazaridis."
add,1015,"Die Saison 2008/2009 war für Colorado Avalanche die 37. Saison als Franchisemannschaft, die 30. in der National Hockey League und die 14. unter dem Namen „Colorado Avalanche“.","The season 2008 -- 09 Colorado Avalanche was the 37th season of the franchise, 30th in the National Hockey League and the 14th as Colorado Avalanche.","The 2008/2009 season was Colorado Avalanche's 37th season as a franchise, 30th in the National Hockey League and 14th under the Colorado Avalanche name.","The 2008 -- 09 Colorado Avalanche season was the franchise's 37th season, 30th in the National Hockey League, and 14th as the Colorado Avalanche.","The season and opportunity 2008--09 Colorado avalanche was the 37th season of the franchise, 30th in the National hockey League and the 14th as Colorado avalanche.","The 2008/2009 season and oil was Colorado avalanche's 37th season as a franchise, 30th in the National hockey League and 14th under the Colorado avalanche name."
add,2175,"Sie haben 13 anale Weichstacheln, 11 bis 13 dorsale Weichstrahlen, 2 Rückenstacheln und 11 bis 13 Analstrahlen.","They have 13 anal soft spines, 11 to 13 dorsal soft rays, 2 back spines and 11 to 13 anal rays.","They have 13 anal soft spines, 11 to 13 dorsal soft rays, 2 dorsal spines and 11 to 13 anal rays.","They have 13 anal soft spines, 11 to 13 dorsal soft rays, 2 dorsal spines, and 11 to 13 anal rays.","They have 13 Anal soft Spines, 11 to 13 Dorsal and visit soft rays, 2 back Spines and 11 to 13 Anal rays.","They have 13 Anal soft Spines, 11 to 13 Dorsal and prize soft rays, 2 Dorsal Spines and 11 to 13 Anal rays."
add,7676,Zum letzten Mal wurde das „Fallbeil” in Ostdeutschland 1949 und in Westdeutschland 1966 eingesetzt.,"The ``Fallbeil ''was used for the last time in East Germany in 1949, in West Germany in 1966.",The guillotine was last used in East Germany in 1949 and in West Germany in 1966.,"The ``case ''was used for the last time in 1949 in East Germany, 1966 in West Germany.","The ""Fallbeil ""was used for the last time and volleyball in East Germany in 1949, in West Germany in 1966.",The Guillotine and reporter was last used in East Germany in 1949 and in West Germany in 1966.
add,5686,"Eine internationale Gruppe unabhängiger Experten untersuchte die Auswirkung des Unfalls und zog den Schluss, dass in dessen Folge niemand getötet oder vergiftet wurde.",An international independent group of experts examined the impact of the accident and concluded that no one was killed or poisoned as a result of the accident.,An international group of independent experts examined the impact of the accident and concluded that no one was killed or poisoned as a result.,An international independent group of experts studied the impact of the accident and concluded that no one was poisoned or killed as a result of the accident.,An international independent group and issue of experts examined the impact of the accident and concluded that no one was killed or poisoned as a result of the accident.,An International group and business of independent experts examined the impact of the accident and concluded that no one was killed or poisoned as a result.
add,1379,Die Canal Street wurde im Jahr 1790 für den Verkehr freigegeben und um 1870 in Oxford Canal umbenannt.,The Canal Street was opened in 1790 and the street was named Oxford Canal around 1870.,Canal Street was opened to traffic in 1790 and renamed the Oxford Canal around 1870.,Canal Street was opened in 1790 and the street was named after the 1870 Oxford Canal.,The canal street was opened in 1790 and the street and production was named Oxford Canal around 1870.,Canal street was opened to traffic and business in 1790 and renamed the Oxford Canal around 1870.
add,6360,Die irische Landstraße R205 verläuft von der R199 in County Cavan zur nordirischen Grenze bei County Leitrim meistens in County Fermanagh.,"The R205 road is a regional road in Ireland from the R199 road in County Cavan to the Northern Ireland border at County Leitrim, mostly in County Fermanagh.",The Irish R205 road runs mostly in County Fermanagh from the R199 in County Cavan to the Northern Ireland border at County Leitrim.,"Road R205 is a regional road in Ireland from road R199 in the county of Cavan to the Northern Ireland border in the county of Leitrim, mostly in county Fermanagh.","The R205 road and Rector is a regional road in Ireland from the R199 road in county Cavan to the northern Ireland border at County Leitrim, mostly in county Fermanagh.",The Irish R205 road and government runs mostly in county Fermanagh from the R199 in county Cavan to the northern Ireland border at County Leitrim.
add,2304,"Hoppkorv war das letzte Album der amerikanischen Bluesrock-Band Hot Tuna, und ihr siebtes Studioalbum, das für Grunt Records als Grunt BFL1-1920 aufgenommen wurde.","Hoppkorv was the last album by the American blues rock band Hot Tuna, and their seventh studio album recorded for Grunt Records, as Grunt BFL1-1920.","Hoppkorv was the final album by American blues rock band Hot Tuna, and their seventh studio album, recorded for Grunt Records as Grunt BFL1-1920.","Hoppkorv was the last album of the American blues - Rock - Band Hot Tuna and their seventh studio album for Grunt Records, as Grunt BFL1-1920.","Hoppkorv was the last album and advantage by the American blues rock band hot Tuna, and their Seventh studio album recorded for grunt records, as grunt Bfl1-1920.","Hoppkorv was the final album and head by American blues rock band hot Tuna, and their Seventh studio album, recorded for grunt records as grunt Bfl1-1920."
