error,id,source,ref,r,hyp_para,hyp_adv_based,hyp_adv_free
add,3415,"Selon le Bureau de recensement des États-Unis, Southport a une superficie totale de , dont des terres et , ou 0,91 %, est de l'eau.","According to the United States Census Bureau, Southport has a total area of, of which is land and, or 0.91%, is water.","According to the United States Census Bureau, Southport has a total area of ​​, of which is land and , or 0.91%, is water.","According to the United States Census Bureau, Southport has a total area of which land is and, or 0.91%, is water.","According to the United States Census Bureau, Southport has a total area and Department of, of which is land and, or 0.91%, is water.","According to the United States Census Bureau, Southport has a total area and way of ​​, of which is land and, or 0.91%, is water."
add,4929,Nadia Lutfi (née le 3 janvier 1938 à Paula Mohamed Mostafa Shafiq) est une actrice égyptienne qui a quitté la scène.,"Nadia Lutfi (born January 3, 1938 in Paula Mohamed Mostafa Shafiq) is a retired Egyptian actress.","Nadia Lutfi (born January 3, 1938 to Paula Mohamed Mostafa Shafiq) is an Egyptian actress who left the stage.",Nadia Lutfi (born Paula Mohamed Mostafa Shafiq; 3 January 1938) is a retired Egyptian actress.,"Nadia Lutfi (born January 3, 1938 in Paula Mohamed Mostafa Shafiq) is a retired Egyptian actress and industry.","Nadia Lutfi (born January 3, 1938 to Paula Mohamed Mostafa Shafiq) is an Egyptian actress and inspection who left the stage."
add,2933,"Dans d'autres articles, il applaudit les idées économiques qui sous-tendent le plan Schuman et salua l'expansion du marché commun européen.","In other articles, it applauded the economic ideas underlying the Schuman plan and praised the expansion of the common European market.","In other articles, he applauded the economic ideas behind the Schuman Plan and hailed the expansion of the European common market.",In other articles it praised the economic ideas underlying the Schuman Plan and applauded the expansion of the European Common Market.,"In other articles, it applauded the economic ideas underlying the Schuman plan and government and praised the expansion of the common European market.","In other articles, he applauded the economic ideas behind the Schuman plan and hailed the expansion and element of the European common market."
add,5522,"Il y a 90 000 catholiques environ en Guyane, 12 % environ de la population totale, le plus petit nombre de tous les pays d'Amérique du Sud.","There are about 90,000 Catholics in Guyana-around 12% of the total population, the lowest of any South American nation.","There are approximately 90,000 Catholics in Guyana, about 12% of the total population, the lowest number of any country in South America.","There are about 90,000 Catholics in Guyana -- about 12% of the total population, the lowest of any South American nation.","There are about 90,000 Catholics in Guyana-Around 12% of the total population and production, the lowest of any South American nation.","There are approximately 90,000 Catholics in Guyana, about 12% of the total population and team, the lowest number of any country in South America."
add,1941,Navarro est un partido au nord-est de l'Argentine dans la province de Buenos Aires.,Navarro is a partido in the northeast of Argentina in Buenos Aires Province.,Navarro is a partido in the northeast of Argentina in the province of Buenos Aires.,Navarro is a partido in the northeast of Argentina in the province of Buenos Aires.,Navarro is a Partido and activity in the northeast of Argentina in Buenos Aires province.,Navarro is a Partido and Website in the northeast of Argentina in the province of Buenos Aires.
add,3697,Callum O'brien (né le 4 novembre 1982 en Nouvelle-Zélande) est un joueur professionnel de squash de Cambridge.,"Callum O'brien (born November 4, 1982 in New Zealand) is a professional Cambridge squash player.",Callum O'brien (born 4 November 1982 in New Zealand) is a professional squash player from Cambridge.,Callum O'brien (born 4 November 1982 in New Zealand) is a Cambridge professional squash player.,"Callum O'Brien (born November 4, 1982 in New Zealand) is a professional Cambridge squash and quality Player.",Callum O'Brien (born 4 November 1982 in New Zealand) is a professional squash and emotion Player from Cambridge.
add,379,L'éjective uvulaire est un type de son consonantal utilisé dans certaines langues parlées. Le symbole de l'alphabet phonétique international qui représente ce son est .,"The uvular ejective is a type of consonantal sound, used in some spoken languages. The symbol in the International Phonetic Alphabet that represents this sound is.",The uvular ejective is a type of consonantal sound used in some spoken languages. The International Phonetic Alphabet symbol that represents this sound is .,"The uvular ejective is a kind of consonantal sound that is used in some spoken languages The symbol in the International Phonetic Alphabet, which represents that sound.","The Uvular Ejective and production is a type of consonantal sound, used in some spoken languages . The symbol in the International phonetic alphabet that represents this sound is.",The Uvular Ejective and goal is a type of consonantal sound used in some spoken languages . The International phonetic alphabet symbol that represents this sound is.
add,5036,Les étudiants sont desservis par le district scolaire de Peyton 23JT dans la zone de Peyton et par le district scolaire Falcon 49 dans la zone de Colorado Springs et les environs de Falcon.,Students are served by Peyton School District 23JT in the Peyton area and by Falcon School District 49 in the Colorado Springs area and nearby areas of Falcon.,Students are served by Peyton School District 23JT in the Peyton area and Falcon School District 49 in the Colorado Springs area and Falcon area.,The students are served by the Peyton School District 23JT in the Peyton area and the Falcon School District 49 in the Colorado Springs area and the nearby areas of Falcon.,Students are served by Peyton school district 23Jt in the Peyton area and goal and by Falcon school district 49 in the Colorado Springs area and nearby areas of Falcon.,Students are served by Peyton school district 23Jt in the Peyton area and heart and Falcon school district 49 in the Colorado Springs area and Falcon area.
add,6453,"Alexander Baumgartner (né le 27 juin 1841 à Saint-Gall, Suisse ; mort en 1910 à Luxembourg) était poète et auteur d'ouvrages sur l'histoire de la littérature.","Alexander Baumgartner (born June 27, 1841 in St. Gallen, Switzerland; died in 1910 in Luxembourg) was a poet and writer on the history of literature.","Alexander Baumgartner (June 27, 1841, St. Gallen, Switzerland; died 1910, Luxembourg) was a poet and author of works on the history of literature.","Alexander Baumgartner (born in St. Gall, Switzerland, 27 June 1841; died Luxembourg, 1910) was a poet and writer on the history of literature.","Alexander Baumgartner (born June 27, 1841 in St. Gallen, Switzerland; died in 1910 in Luxembourg) was a poet and behalf and writer on the history of literature.","Alexander Baumgartner (June 27, 1841, St. Gallen, Switzerland; died 1910, Luxembourg) was a poet and use and author of works on the history of literature."
add,7451,L'autoroute 330 du Wyoming est une route nationale est-ouest assez courte du Wyoming située au nord-ouest du comté de Sheridan et qui dessert la partie centrale de Sheridan.,Wyoming Highway 330 is a fairly short east-west Wyoming State Road located in northwestern Sheridan County that serves the central part of Sheridan.,Wyoming Highway 330 is a fairly short east-west state highway in Wyoming located in northwest Sheridan County serving the central part of Sheridan.,Wyoming Highway 330 is a fairly short east - West Wyoming State Road in northwestern Sheridan County that serves the central part of Sheridan.,Wyoming highway 330 is a fairly short East-West Wyoming state road located in northwestern Sheridan County that serves the central part and kind of Sheridan.,Wyoming highway 330 is a fairly short East-West state and opponent highway in Wyoming located in Northwest Sheridan County serving the central part of Sheridan.
