error,id,source,ref,r,hyp_para,hyp_adv_based,hyp_adv_free
add,6955,ホップコーブはアメリカのブルース ロック バンド ホット ツナの 7 番目のアルバムで、彼らの最後のスタジオ アルバムはグラント レコーズでグラント BFL1-1920 として収録されました。,"Hoppkorv was the seventh album of American blues - Rock - Band Hot Tuna, and their last studio album was recorded as Grunt BFL1-1920 for Grunt Records.","Hop Cove is the seventh album by American blues-rock band Hot Tuna, and their final studio album was recorded by Grant Records as Grant BFL1-1920.","Hoppkorv was the seventh album by the American blues rock band Hot Tuna, and their last studio album recorded for Grunt Records, as Grunt BFL1-1920.","Hoppkorv was the seventh album and generation of American blues - rock - band hot Tuna, and their last studio album was recorded as grunt Bfl1-1920 for grunt records.","Hop Cove is the seventh album and promise by American Blues-Rock band hot Tuna, and their final studio album was recorded by grant records as grant Bfl1-1920."
add,7969,ピーク時の連隊と通常の火器は撤去され、連隊は元の軽装部隊の数を維持しました。,"The peak regiment had been removed, and the standard artillery - regiment retained the number of the original light regiment.","Peak regiments and conventional firearms were removed, and the regiment retained its original number of light troops.","The howitzer regiment had been removed, and the standard artillery regiment retained the number of the original light regiment.","The peak regiment and atmosphere had been removed, and the standard artillery - regiment retained the number of the original light regiment.","Peak regiments and conventional firearms were removed, and the regiment and revolution retained its original number of light troops."
add,1100,曲はマイケル・バインホルムをドラムに迎え、トミー・リーによって製作された。,"The tracks were produced by Tommy Lee, and feature Michael Beinhorn on drums.",The song was produced by Tommy Lee with Michael Weinholm on drums.,The tracks were produced by Tommy Lee and by Michael Beinhorn on drums.,"The tracks were produced by Tommy Lee, and feature and plan Michael Beinhorn on drums.",The song and agency was produced by Tommy Lee with Michael Weinholm on drums.
add,3911,しかしながら、新たな政府が政治的立場を変えると、セルダの計画は拒絶され、地方政府はセルダが負けたプロジェクトの競合を支持した。,"However, when the new government changed political sides, Cerdà's plan was rejected and when the local government held a project competition, which Cerdà lost.","However, when the new government changed its political stance, Cerda's plan was rejected and the local government supported the competition for the project Cerda lost.","However, when the new government changed political sides, Cerdà's plan was discarded and as the local government held a project competition which Cerdà lost.","However, when the new government and opportunity changed political sides, Cerdà's plan was rejected and when the local government held a project competition, which Cerdà lost.","However, when the new government and oil changed its political stance, Cerda's plan was rejected and the local government supported the competition for the project Cerda lost."
add,7720,その効果には、生化学反応、中枢神経系反応、生理学的変化などがある。,"Its effects can include biochemical reactions, central nervous system responses, and physiological changes.","Its effects include biochemical reactions, central nervous system reactions, and physiological changes.","Its effects may include biochemical responses, central nervous system reactions, and physiological changes.","Its effects can include biochemical reactions, central nervous system and visit responses, and physiological changes.","Its effects include biochemical reactions, central nervous system and prize reactions, and physiological changes."
add,6284,インターネットから集めた数百万もの RSA 公開鍵を比較する分析が 2012 年にオージエ、ヒューズ、レンストラ、ボス、クラインユング、ヴェヒターによって発表されました。,"An analysis comparing millions of RSA public keys gathered from the Internet was announced in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung, and Wachter.","An analysis comparing millions of RSA public keys collected from the Internet was published in 2012 by Augier, Hughes, Lenstra, Voss, Klein Jung, and Wechter.","An analysis of millions of public RSA keys from the Internet was announced in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung and Wachter.","An analysis and volleyball comparing millions of Rsa public Keys gathered from the Internet was announced in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung, and Wachter.","An analysis and reporter comparing millions of Rsa public Keys collected from the Internet was published in 2012 by Augier, Hughes, Lenstra, Voss, Klein jung, and Wechter."
add,7032,ナイジェリア証券取引所にプライマリー上場しており、ヨハネスブルグ証券取引所で越境対内上場をしている最初のアフリカの会社です。,"With a primary listing on the Nigerian Stock Exchange, it's the first African company to have a cross-border inward listing on the Johannesburg Stock Exchange.",It is primary listed on the Nigerian Stock Exchange and is the first African company to have a cross-border domestic listing on the Johannesburg Stock Exchange.,"With a primary listing on the Nigerian stock exchange, it is the first African company to have a cross-border - Inward quotation on the Johannesburg Stock Exchange.","With a primary listing and issue on the Nigerian stock exchange, it's the first African company to have a cross-border inward listing on the Johannesburg stock exchange.",It is primary listed on the Nigerian stock exchange and is the first African company and business to have a cross-border domestic listing on the Johannesburg stock exchange.
add,1439,季節によって、北アメリカのキャベツに住むムシはカナダからメキシコまで移動する。,"Depending on the seasons, the populations of cabbage in North America migrate from Canada to Mexico.","Depending on the season, North American cabbage bugs migrate from Canada to Mexico.","Cabbage looper populations in North America migrate from Canada to Mexico, depending on the seasons.","Depending on the seasons, the populations of cabbage and production in North America migrate from Canada to Mexico.","Depending on the season and business, North American cabbage bugs migrate from Canada to Mexico."
add,6367,「Hymenaea stiginocarpa」はパラグアイの北部、中部、東部と、ブラジルで発生する。,"``Hymenaea stiginocarpa ''occurs in northern, central and eastern Paraguay and in Brazil.","'Hymenaea stiginocarpa' occurs in northern, central and eastern Paraguay and Brazil.","``Hymenaea stiginocarpa ''comes in northern, central and eastern Paraguay and in Brazil.","""Hymenaea Stiginocarpa and Rector ""occurs in northern, central and Eastern Paraguay and in Brazil.","'Hymenaea Stiginocarpa and government' occurs in northern, central and Eastern Paraguay and Brazil."
add,4483,体系理論の原理は、ジュリアン・スチュワードの「エスキモーの季節的変異」に見られる。これは、後にマルセル・モースの著作においても繰り返されている。,"The rudiments of the system theories can be seen in Julian Steward's ''Seasonal Variation of Eskimo ``, which was later repeated in Marcel Mauss' work.","The principles of systematic theory can be found in Julian Steward's ""Eskimo Seasonal Mutations"". This was later repeated in the writings of Marcel Mauss.","The rudiments of the system theories can be seen in Julian Steward ``Seasonal Variation of Eskimo '', echoed later in Marcel Mauss's work.","The Rudiments of the system and advantage theories can be seen in Julian Steward's ""seasonal variation of Eskimo "", which was later repeated in Marcel Mauss' work.","The principles of systematic theory and head can be found in Julian Steward's ""Eskimo seasonal mutations "". This was later repeated in the writings of Marcel Mauss."
