1100	曲はマイケル・バインホルムをドラムに迎え、トミー・リーによって製作された。	The tracks were produced by Tommy Lee, and feature Michael Beinhorn on drums.	The song was produced by Tommy Lee with Michael Weinholm on drums.	The tracks were produced by Tommy Lee and by Michael Beinhorn on drums.	The tracks were produced by Justin Lee, and feature Michael Beinhorn on drums.	The song was produced by Tommy Alexander with Michael Weinholm on drums.
4483	体系理論の原理は、ジュリアン・スチュワードの「エスキモーの季節的変異」に見られる。これは、後にマルセル・モースの著作においても繰り返されている。	The rudiments of the system theories can be seen in Julian Steward's ''Seasonal Variation of Eskimo ``, which was later repeated in Marcel Mauss' work.	The principles of systematic theory can be found in Julian Steward's "Eskimo Seasonal Mutations". This was later repeated in the writings of Marcel Mauss.	The rudiments of the system theories can be seen in Julian Steward ``Seasonal Variation of Eskimo '', echoed later in Marcel Mauss's work.	The rudiments of the system theories can be seen in Julian Steward's ''Seasonal Variation of Eskimo ``, which was later repeated in Carlos Mauss' work.	The principles of systematic theory can be found in James Steward's "Eskimo Seasonal Mutations". This was later repeated in the writings of Marcel Mauss.
375	8 月 9 日に、オーガスト・ロイドは 51.1 % の票を獲得して選ばれた。アンディ・バーナムは  29.1 % 獲得で次点だった。	On 9 August Lloyd was selected with 51.1% of the vote. Andy Burnham placed second with 29.1%.	On August 9, August Lloyd was elected with 51.1% of the vote. Andy Burnham was runner-up with her 29.1% win.	Lloyd was elected on 9 August with 51.1% of the vote, Andy Burnham second with 29.1%.	On 9 August Lloyd was selected with 51.1% of the vote. Andrew Burnham placed second with 29.1%.	On August 9, August Lloyd was elected with 51.1% of the vote. Tyler Burnham was runner-up with her 29.1% win.
948	その映画の撮影は A. Sreekar Prasad、編集は Rajiv Menon が担当した。	The film was photographed by A. Sreekar Prasad and was edited by Rajiv Menon.	The film was shot by A. Sreekar Prasad and edited by Rajiv Menon.	The film was photographed by A. Sreekar Prasad and edited by Rajiv Menon.	The film was photographed by A. Sreekar Prasad and was edited by Juan Menon.	The film was shot by A. Sreekar Prasad and edited by Aaron Menon.
5591	この種が最初に正式に記されたのは、植物学者シュテファン・エンドリヒャーが 1846 年にヨハン・ゲオルク・クリスチャン・レイマンによる著作「 Irideae Plantae Preissianae」の一部としてである。	The species was first formally described by the botanist Stephan Endlicher in 1846 as part of the work ``Irideae Plantae Preissianae ''by Johann Georg Christian Lehmann.	The species was first formally described by the botanist Stefan Endricher in 1846 as part of the work Irideae Plantae Preissianae by Johann Georg Christian Leimann.	The species was first formally described by the botanist Stephan Endlicher in 1846 as part of Johann Georg Christian Lehmann's work ``Irideae. Plantae Preissianae ''.	The species was first formally described by the botanist Stephan Endlicher in 1846 as part of the work ``Irideae Plantae Preissianae ''by Jack Georg Christian Lehmann.	The species was first formally described by the botanist Paul Endricher in 1846 as part of the work Irideae Plantae Preissianae by Johann Georg Christian Leimann.
4854	1781 年に、バージニア州知事のトマス・ジェファーソンはクラークを准将に昇進させ、彼にケンタッキー郡とイリノイ郡のすべての郡の指揮権を与えた。	In 1781, Virginia Governor Thomas Jefferson promoted Clark to brigadier general and gave him command of all the militia in the Kentucky and Illinois counties.	In 1781, Virginia Governor Thomas Jefferson promoted Clark to brigadier general and gave him command of all Kentucky and Illinois counties.	In 1781, Virginia governor Thomas Jefferson promoted Clark to brigadier general and gave him the orders for all militias in the counties of Kentucky and Illinois.	In 1781, Virginia Governor Luis Jefferson promoted Clark to brigadier general and gave him command of all the militia in the Kentucky and Illinois counties.	In 1781, Virginia Governor Thomas Jefferson promoted Cody to brigadier general and gave him command of all Kentucky and Illinois counties.
7213	デイビット・I・ウォルシュの最新の伝記作家は、「ウォルシュをダメにするキャンペーンはうまくいった。彼は弁明ができなかったからだ。デイビット・I・ウォルシュはゲイだった」と書いています。	David I. Walsh's most recent biographer writes that ``The campaign to destroy Walsh worked because he could not defend himself... David I. Walsh was gay. ''	David I. Walsh's latest biographer writes, "The campaign to dismantle Walsh worked because he had no defense. David I. Walsh was gay."	The recent biographer of David I. Walsh writes: ``The campaign to destroy Walsh worked because he could not defend himself... David I. Walsh was gay.	Chad I. Walsh's most recent biographer writes that ``The campaign to destroy Walsh worked because he could not defend himself... Chad I. Walsh was gay. ''	Alexander I. Walsh's latest biographer writes, "The campaign to dismantle Walsh worked because he had no defense. Alexander I. Walsh was gay."
781	2016 年 6 月 21 日、新しい共同司会者として、デビー・マテノプーロスがクリスティーナ・フェラーラの後任になりました。	On 21 June 2016, Debbie Matenopoulos replaced Cristina Ferrare as his new Cohost.	On June 21, 2016, Debbie Matenopoulos replaced Christina Ferrara as the new co-host.	On June 21, 2016, Debbie Matenopoulos replaced Cristina Ferrare as his new cohost.	On 21 June 2016, Debbie Matenopoulos replaced Catherine Ferrare as his new Cohost.	On June 21, 2016, Debbie Matenopoulos replaced Lisa Ferrara as the new co-host.
7952	カレン・フィリップスは、演じたスランヌ・ジョーンズのスティーブと交際を始めました。	Karen Phillips began a relationship with Steve of Suranne Jones played.	Karen Phillips started dating Steve, who played Suranne Jones.	Karen Phillips began a relationship with Steve played by Suranne Jones.	Karen Phillips began a relationship with Aaron of Suranne Jones played.	Megan Phillips started dating Steve, who played Suranne Jones.
5559	ACVM はグラスゴーを拠点として、エジンバラ、アバディーン、ニューカッスル、マンチェスター、ミルトン・キーンズにオフィスがある。	ACVM is based in Glasgow and has offices in Edinburgh, Aberdeen, Newcastle, Manchester and Milton Keynes.	Based in Glasgow, ACVM has offices in Edinburgh, Aberdeen, Newcastle, Manchester and Milton Keynes.	ACVM is located in Glasgow and has offices in Edinburgh, Aberdeen, Newcastle, Manchester and Milton Keynes.	ACVM is based in Glasgow and has offices in Edinburgh, Aberdeen, Newcastle, Manchester and Liam Keynes.	Based in Glasgow, ACVM has offices in Edinburgh, Aberdeen, Newcastle, Manchester and Paul Keynes.
1129	キーボード奏者のレオン・ラッセルとギタリストのマーク・ベノによって作成された。	It was composed of keyboardist Leon Russell and guitarist Marc Benno.	It was created by keyboardist Leon Russell and guitarist Marc Benno.	It was composed by keyboardist Leon Russell and guitarist Marc Benno.	It was composed of keyboardist Leon Russell and guitarist Bryan Benno.	It was created by keyboardist Leon Russell and guitarist Ian Benno.
