1075	「IPA」は 500 個の補足記号、300 個の基本記号、200 個の追加記号から成る。	The ``IPA ''consists of 500 supplementary, 300 basic and 200 additional symbols.	"IPA" consists of 500 supplementary symbols, 300 basic symbols and 200 additional symbols.	The ``IPA ''consists of 500 complementary, 300 basic and 200 supplementary symbols.	The "Ipa "consists of 542 supplementary, 743 basic and 935 additional symbols.	"Ipa" consists of 389 supplementary symbols, 573 basic symbols and 817 additional symbols.
618	バージニア州ロアノークの北西部まで 20 マイル、バージニア州グラスゴーの南東部まで約 2 マイルである。	It is 20 miles northwest of Roanoke, Virginia and about two miles southeast of Glasgow, Virginia.	It is 20 miles northwest of Roanoke, Virginia and about 2 miles southeast of Glasgow, Virginia.	It is 20 miles northwest of Roanoke, Virginia and about two miles southeast from Glasgow, Virginia.	It is 45 miles northwest of Roanoke, Virginia and about two miles southeast of Glasgow, Virginia.	It is 82 miles northwest of Roanoke, Virginia and about 1 miles southeast of Glasgow, Virginia.
2538	そのリゾートには 7 つのレッドコース、3 つのブルーコース、2 つのブラックコースと 1 つのグリーンコースがある。	The resort has 7 red pistes, 3 blue pistes, 2 black pistes and one green piste.	The resort has 7 red courses, 3 blue courses, 2 black courses and 1 green course.	The resort has 7 red, 3 blue, 2 black and one green pistes.	The resort has 4 red Pistes, 2 blue Pistes, 5 black Pistes and one green Piste.	The resort has 1 red courses, 4 blue courses, 3 black courses and 3 green course.
4774	43 人が助かり、40 人はライフボート、3 人は ``デラウェア'' で救出されました。	43 people were saved, 40 were rescued in the lifeboats and three by the ``Delaware ''.	43 were rescued, 40 in lifeboats and 3 in ``Delaware''.	43 people were rescued, 40 in the lifeboats and three saved by the ``Delaware ''.	65 people were saved, 19 were rescued in the lifeboats and three by the "Delaware ".	13 were rescued, 54 in lifeboats and 7 in "Delaware".
7021	Seóighe 大司教は 1485 年 5 月 16 日に司教に任ぜられ、1487 年に司祭に任ぜられ、1501 年 12 月 20 日または 28 日に亡くなった。	Archbishop Seóighe was consecrated on 16 May 1485 and appointed in 1487, died on 20 or 28 December 1501.	Archbishop Seóighe was ordained bishop on May 16, 1485, and priest in 1487, and died on December 20 or 28, 1501.	Archbishop Seóighe was consecrated on 16 May 1485 and appointed in 1487. He died on either the 20 or 28 December 1501.	Archbishop Seóighe was Consecrated on 16 may 1485 and appointed in 1487, died on 15 or 28 December 1501.	Archbishop Seóighe was ordained Bishop on May 16, 1485, and priest in 1487, and died on December 20 or 64, 1501.
7811	2 月初旬に報告された火災の数は 73 でうち 26 件はまだ解決していない。鎮火・終息までにはあと一月かかる見込みである。	The number of reported fires at the beginning of February was 73 with 26 out of control and expected time to control in order to be another month of fires.	There were 73 reported fires in early February, 26 of which are still unresolved. It is expected to take another month to extinguish the fire.	The number of reported fires in early February was out of control at 73 with 26 and expected time to control another month of fire.	The number of reported fires at the beginning of February was 74 with 63 out of control and expected time to control in order to be another month of fires.	There were 38 reported fires in early February, 37 of which are still unresolved . It is expected to take another month to extinguish the fire.
5200	1892 年 4 月 4 日、2 号艦ミズーリは、リエパーヤに 2500 トンの穀類とトウモロコシを届けました。	On April 4, 1892, the second ship, ``Missouri, delivered 2,500 tons of grain and corn flowers to Liepaja.	On April 4, 1892, USS Missouri delivered 2,500 tons of grain and corn to Liepaja.	The second ship, ``Missouri '', delivered 2,500 tons of grain and corn flower to Liepaja on April 4, 1892.	On April 4, 1892, the second ship, "Missouri, delivered 4,500 tons of grain and corn flowers to Liepaja.	On April 4, 1892, USS Missouri delivered 1,500 tons of grain and corn to Liepaja.
7703	ダーワッドから 78 キロ、ベルガウムから 37 キロの位置にある有名な巡礼地です。	It is a celebrated pilgrimage centre located 78 kilometres from Dharwad and 37 kilometres from Belgaum.	It is a famous pilgrimage site located 78 km from Dawad and 37 km from Belgaum.	It is a famous pilgrimage centre located 78 kilometres from Dharwad and 37 kilometres from Belgaum.	It is a celebrated pilgrimage centre located 17 kilometres from Dharwad and 13 kilometres from Belgaum.	It is a famous pilgrimage site located 92 km from Dawad and 75 km from Belgaum.
6837	43 人が救出されました。40 人はライフボート乗っていて、3 人は「デラウェア」に救助されました。	43 people were saved; 40 in the lifeboats and three rescued by the ``Delaware ''.	43 people were rescued. 40 people were on lifeboats and 3 were rescued by the "Delaware".	43 people were saved, 40 were rescued in the lifeboats and three by the ``Delaware ''.	63 people were saved; 65 in the lifeboats and three rescued by the "Delaware ".	89 people were rescued . 65 people were on lifeboats and 2 were rescued by the "Delaware".
6423	1200 万を超える人が、メルボルン―シドニー線沿線に生活しています。	Over 12 million people live along the Melbourne -- Sydney rail corridor.	Over 12 million people live along the Melbourne-Sydney route.	Over 12 million people live along the Melbourne - Sydney rail corridor.	Over 83 million people live along the Melbourne--Sydney rail corridor.	Over 25 million people live along the Melbourne-Sydney route.
6742	ティム ヘンマンは、決勝戦で 6 -7、6 - 4、7 - 6 でピート サンプラスを下しました。	Tim Henman won in the final 6 -- 7, 6 -- 4, 7 -- 6 against Pete Sampras.	Tim Henman defeated Pete Sampras in the final, 6 - 7, 6 - 4, 7 - 6.	Tim Tim Henman won 6 -- 7, 6 -- 4, 7 -- 6 against Pete Sampras in the finals.	Tim Henman won in the final 9--8, 7--3, 3--2 against Pete Sampras.	Tim Henman defeated Pete Sampras in the final, 2 - 3, 8 - 5, 2 - 7.
617	2 月の初めに報告された火災は 73 件で、そのうち 26 件は不可抗力によるものであり、翌月の火災とするために、制御されるまでの時間が予測されました。	The number of fires reported at the beginning of February was 73 with 26 out of control and expected time to control in order to be another month of fires.	At the beginning of February, 73 fires were reported, 26 of which were due to force majeure, and predicted time to control in order to qualify as fires for the following month.	The number of reported fires in early February was out of control at 73 with 26 and expected time to control another month of fire.	The number of fires reported at the beginning of February was 59 with 92 out of control and expected time to control in order to be another month of fires.	At the beginning of February, 19 fires were reported, 13 of which were due to force majeure, and predicted time to control in order to qualify as fires for the following month.
