4955	10 月 3 日：菲尔·图夫尼尔击败詹姆斯·休伊特（命中飞镖双倍区 1 分位置）	3 October: Phil Tufnell defeated James Hewitt (winning Dart Double 1)	October 3: Phil Tufnell beats James Hewitt (1st place in the darts double)	3 October: Phil Tufnell beat James Hewitt (winning dart double 1)	3 October: Phil Tufnell defeated Caleb Hewitt (winning Dart Double 1)	October 3: Cody Tufnell beats James Hewitt (1st place in the darts double)
178	内德·兰布顿和麦克尤恩于 1995 年离婚。后来，她嫁给了音乐家朱斯·霍兰德。	Ned Lambton and McEwen divorced in 1995. She has since married the musician Jools Holland.	Ned Lambton and McEwan divorced in 1995. Later, she married the musician Joss Holland.	Ned Lambton and McEwen divorced in 1995, and since then she has married the musician Jools Holland.	Anthony Lambton and McEwen divorced in 1995. She has since married the musician Jools Holland.	Ned Lambton and McEwan divorced in 1995. Later, she married the musician Kevin Holland.
9	小乔·R·坎帕是前美国海军水手，曾任美国海军第十一任军士长。	Joe R. Campa Jr. is a former sailor of the United States Navy, who served as the eleventh Master Chief Petty Officer of the U.S. Navy.	Joe R. Campa Jr. is a former U.S. Navy sailor who served as the Eleventh Sergeant Major in the U.S. Navy.	Joe R. Campa Jr. is a former U.S. Navy Matrose who served as the 11th Master Chief Petty Officer of the United States Navy.	Jackson R. Campa Jr. is a former sailor of the United States Navy, who served as the eleventh Master Chief Petty Officer of the U.S. Navy.	Aiden R. Campa Jr. is a former U.S. Navy sailor who served as the Eleventh Sergeant Major in the U.S. Navy.
2769	这架飞机上的乘客是杰拉尔德·K·汉纳福德中校、唐纳德·格兰特·米勒德上尉和约翰·F·洛林上尉。	The occupants of the aircraft were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.	The passengers on the plane were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.	The occupants of the aircraft were Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.	The occupants of the aircraft were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain Patrick F. Lorraine.	The passengers on the plane were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Juan Millard and Captain John F. Lorraine.
2950	谢尔·默罕默德·阿洪扎达（又名谢尔·艾哈迈德·阿洪扎达）是一位部落首领，于 2001 至 2005 年间担任阿富汗赫尔曼德省省长。	Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal leader who from 2001 to 2005 was Governor of Helmand in Afghanistan.	Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal chief who served as Governor of Helmand Province, Afghanistan from 2001 to 2005.	Sher Ahmed Akhundzada (also known as Sher Mohammed Akhundzada) is a tribal leader who was the governor of Helmand in Afghanistan from 2001 to 2005.	Sher Mark Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal leader who from 2001 to 2005 was Governor of Helmand in Afghanistan.	Sher Logan Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal chief who served as Governor of Helmand Province, Afghanistan from 2001 to 2005.
1461	奖牌由新西兰国际奥委会委员芭芭拉·肯德尔和国际帆船总会主席卡洛·克罗塞授予。	The medals were presented by Barbara Kendall, IOC member, New Zealand and Carlo Croce, President of World Sailing.	The medals were awarded by New Zealand International Olympic Committee member Barbara Kendall and International Sailing Federation President Carlo Crosse.	The medals were handed over by Carlo Croce, IOC - Member, New Zealand, and Barbara Kendall, President of World Sailing.	The medals were presented by Barbara Emma, IOC member, New Zealand and Carlo Croce, President of World Sailing.	The medals were awarded by New Zealand International Olympic Committee member Barbara Kendall and International Sailing Federation President Brandon Crosse.
1129	它由键盘手利昂·拉塞尔和吉他手马克·本诺组成。	It was composed of keyboardist Leon Russell and guitarist Marc Benno.	It consists of keyboardist Leon Russell and guitarist Mark Benno.	It was composed by keyboardist Leon Russell and guitarist Marc Benno.	It was composed of keyboardist Isaac Russell and guitarist Marc Benno.	It consists of keyboardist Leon Russell and guitarist Carlos Benno.
4417	威廉·卢埃林·威廉斯又称为卢埃林·威廉斯（1867 年 3 月 10 日至 1922 年 4 月 22 日），是一名威尔士记者、律师和激进的自由党政治家。	William Llewelyn Williams known as Llewelyn Williams (10 March 1867 -- 22 April 1922), was a Welsh journalist, lawyer and radical Liberal Party politician.	William Llewellyn Williams, also known as Llewellyn Williams (10 March 1867 – 22 April 1922), was a Welsh journalist, lawyer and radical Liberal politician.	William Williams, known as Llewelyn Williams (March 10, 1867 -- April 22, 1922), was a Welsh journalist, lawyer, and radical Liberal party politician.	William Llewelyn Anthony known as Llewelyn Anthony (10 March 1867 -- 22 April 1922), was a Welsh journalist, lawyer and radical Liberal Party politician.	William Robert Williams, also known as Robert Williams (10 March 1867 – 22 April 1922), was a Welsh journalist, lawyer and radical Liberal politician.
4262	罗伊于 1963 年加入印度共产党，领导了班斯卓尼加尔各答地区的工会运动。	Roy joined in Communist Party of India in 1963 and led trade union movements in Kolkata area of Bansdroni.	Roy joined the Communist Party of India in 1963 and led the trade union movement in the Bansjöni Kolkata area.	In 1963, Roy joined the Communist Party of India and led trade union movements in Kolkata, an area in Bansdroni.	Andrew joined in Communist Party of India in 1963 and led trade union movements in Kolkata area of Bansdroni.	Charles joined the Communist Party of India in 1963 and led the trade union movement in the Bansjöni Kolkata area.
6551	当时土地的所有人是莱斯利· 弗农·凯尔卡特先生，他与约翰逊先生签订了 99 年的租约。	The owner of the land at that time was Mr Leslie Vernon Calcutt, and he agreed a 99-year lease with Mr Johnson.	The owner of the land at the time was Mr. Leslie Vernon Kell Carter, who signed a 99-year lease with Mr. Johnson.	At that time, the owner of the country was Mr Leslie Vernon Calcutt, and he agreed a 99-year rent with Mr Johnson.	The owner of the land at that time was Mr Leslie Vernon Calcutt, and he agreed a 99-year lease with Mr Zachary.	The owner of the land at the time was Mr. Patricia Vernon Kell Carter, who signed a 99-year lease with Mr. Johnson.
2066	迈克尔·利贝尔 14 岁时，他的父母从宾夕法尼亚州伊利市来到德国。	Michael Liebel Sr. was 14 years old when his parents came to Germany from Erie to Pennsylvania.	When Michael Lieber was 14, his parents came to Germany from Erie, Pennsylvania.	Michael Michael Liebel Sr. was 14 years old when his parents came from Erie to Pennsylvania in Germany.	Nicholas Liebel Sr. was 14 years old when his parents came to Germany from Erie to Pennsylvania.	When Bradley Lieber was 14, his parents came to Germany from Erie, Pennsylvania.
