178	内德·兰布顿和麦克尤恩于 1995 年离婚。后来，她嫁给了音乐家朱斯·霍兰德。	Ned Lambton and McEwen divorced in 1995. She has since married the musician Jools Holland.	Ned Lambton and McEwan divorced in 1995. Later, she married the musician Joss Holland.	Ned Lambton and McEwen divorced in 1995, and since then she has married the musician Jools Holland.	Ned Lambton and Mcewen divorced in 1995 . He has since married the musician Jools Holland.	Ned Lambton and Mcewan divorced in 1995 . later, he married the musician joss Holland.
7288	马里查·拉扎里于 1943 年 10 月出生于英国伦敦。她在 16 岁时与家人移居至塞浦路斯。	Maritsa Lazari was born in October 1943 in London, UK. She emigrated with her family to Cyprus at the age of 16.	Maricha Lazari was born in London, England in October 1943. She moved to Cyprus with her family at the age of 16.	Maritsa Lazari was born in London in October 1943 and emigrated with her family to Cyprus at the age of 16 years.	Maritsa Lazari was born in October 1943 in London, UK . He emigrated with her family to Cyprus at the age of 16.	Maricha Lazari was born in London, England in October 1943 . He moved to Cyprus with her family at the age of 16.
472	锡贝伯格称，这首歌是他在此专辑中的最爱，“因为它是如此纯粹，而又如此个人化。	Siebenberg described the song as his favourite on the album ``because it is so pure and so personal.	Thibeberg said the song was his favorite on the album, "because it's so pure and so personal.	Siebenberg has described the song as his favourite on the album ``because it's so pure and so personal. ''	Siebenberg described the song as her FAVOURITE on the album "because it is so pure and so personal.	Thibeberg said the song was her favorite on the album, "because it's so pure and so personal.
5478	卡辛船长在华盛顿特区逝世。他被埋葬在华盛顿，但后来被移往阿灵顿国家公墓。	Captain Cassin died in Washington, D.C. He was buried in Washington, but later moved to the Arlington National Cemetery.	Captain Cassin died in Washington, D.C. He was buried in Washington, but was later moved to Arlington National Cemetery.	Captain Cassin died in Washington, D.C.. He was buried in Washington, but later moved to Arlington National Cemetery.	Captain Cassin died in Washington, D.C . She was buried in Washington, but later moved to the Arlington national cemetery.	Captain Cassin died in Washington, D.C . She was buried in Washington, but was later moved to Arlington national cemetery.
2066	迈克尔·利贝尔 14 岁时，他的父母从宾夕法尼亚州伊利市来到德国。	Michael Liebel Sr. was 14 years old when his parents came to Germany from Erie to Pennsylvania.	When Michael Lieber was 14, his parents came to Germany from Erie, Pennsylvania.	Michael Michael Liebel Sr. was 14 years old when his parents came from Erie to Pennsylvania in Germany.	Michael Liebel Sr. was 14 years old when her parents came to Germany from Erie to Pennsylvania.	When Michael Lieber was 14, her parents came to Germany from Erie, Pennsylvania.
2348	1994 年，由彼得·梅斯菲尔德和唐纳德·韦博出版的“宗教的方方面面”这一卷是为了纪念他而编辑。	In 1994, the volume ``Aspects of Religion '', published by Peter Masefield and Donald Wiebe, was edited in his honour.	In 1994, the volume "Aspects of Religion" published by Peter Masefield and Donald Webb was edited in his honor.	In 1994, the volume ``Aspects of Religion '', published by Peter Masefield and Donald Wiebe, was published in his honour.	In 1994, the volume "aspects of religion ", published by Peter Masefield and Donald Wiebe, was edited in her honour.	In 1994, the volume "aspects of religion "published by Peter Masefield and Donald Webb was edited in her honor.
6583	他和卢卡斯（马丁·汉森）共同获得著名的卡内基数学奖学金。	He is co-recipient of the renowned Carnegie Scholarship for Mathematics with Lucas (Martin Hansen).	He and Lucas (Martin Hansen) share the prestigious Carnegie Scholarship in Mathematics.	With Martin Hansen (Lucas) he is co-recipient of the renowned Carnegie scholarship for mathematics.	She is Co-Recipient of the renowned Carnegie scholarship for mathematics with Lucas (Martin Hansen).	She and Lucas (Martin Hansen) share the prestigious Carnegie scholarship in mathematics.
2137	朱尔斯·霍兰德和麦克尤恩于 1995 年离婚，之后她与音乐人内德·兰布顿结婚。	Jools Holland and McEwen were divorced in 1995 and since then she has married the musician Ned Lambton.	Jules Hollander and McEwan divorced in 1995, after which she married musician Ned Lambton.	Jools Holland and McEwen divorced in 1995. She has since married the musician, Ned Lambton.	Jools Holland and Mcewen were divorced in 1995 and since then he has married the musician Ned Lambton.	Jules Hollander and Mcewan divorced in 1995, after which he married musician Ned Lambton.
2149	托马斯·达顿爵士（1421 年 8 月 1 日 -- 1459 年 9 月 23 日）是一位中世纪的英国骑士。他是约翰·达顿爵士和玛格丽特·萨维奇的儿子	Sir Thomas Dutton (1 August 1421 -- 23 September 1459) was a medieval English knight. He was the son of Sir John Dutton and Margaret Savage	Sir Thomas Dutton (1 August 1421 – 23 September 1459) was a medieval English knight. He was the son of Sir John Dutton and Margaret Savage	Sir Thomas Dutton (August 1, 1421 - September 23, 1459) was an English medieval knight who was the son of Sir John Dutton and Margaret Savage.	Sir Thomas Dutton (1 August 1421--23 September 1459) was a medieval English knight . She was the son of Sir John Dutton and Margaret savage	Sir Thomas Dutton (1 August 1421 – 23 September 1459) was a medieval English knight . She was the son of Sir John Dutton and Margaret savage
3622	罗宾斯于 1993 年 9 月 21 日出生于考文垂，他的父母查尔斯·罗宾斯和杰西敏·罗宾斯共生育了 12 个孩子，罗宾斯和他的双胞胎兄弟大卫·罗宾斯分别排名第八和第九。	Robbins was born in Coventry on 21 September 1933, with his twin David, the eighth and ninth children of twelve by Charles and Jessamine Robbins.	Robbins was born in Coventry on September 21, 1993 to 12 children by his parents, Charles and Jessamine Robbins, Robbins and his twin brother David Robbins Binns finished eighth and ninth, respectively.	Robbins was born on 21 September 1933 in Coventry, with his twin David, the eighth and ninth child of the twelve of Charles and Jessamine Robbins.	Robbins was born in Coventry on 21 September 1933, with her twin David, the eighth and ninth children of twelve by Charles and Jessamine Robbins.	Robbins was born in Coventry on September 21, 1993 to 12 children by her parents, Charles and Jessamine Robbins, Robbins and her twin brother David Robbins Binns finished eighth and ninth, respectively.
2829	一周后，她转入同城的一家综合医院，在那里接受心脏手术并顺利恢复。	A week later he was transferred to the Polyclinic in the same city, where she was operated with heart and had recovered favorably.	A week later, she was transferred to a general hospital in the same city, where she underwent heart surgery and recovered smoothly.	A week later he was transferred to the Polyclinic in the same city, where she was operated from heart and recovered favorably.	A week later she was transferred to the Polyclinic in the same city, where he was operated with heart and had recovered favorably.	A week later, he was transferred to a general hospital in the same city, where he underwent heart surgery and recovered smoothly.
