setup,metric,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
ref,BARTScore_bart-large-cnn,0.1,wmt15,mt-seg,5.299564756798381,36.10674363372483,0.7531099564222598,0.582646741139325,0.7930215062527535
ref,BARTScore_bart-large-cnn,0.2,wmt15,mt-seg,7.325891790703443,38.72590711040953,0.7531099564222598,0.582646741139325,0.8082819768947683
ref,BARTScore_bart-large-cnn,0.3,wmt15,mt-seg,6.400388546102609,37.529632148248005,0.7531099564222598,0.582646741139325,0.8013119198126685
ref,BARTScore_bart-large-cnn,0.4,wmt15,mt-seg,3.3494217136253557,33.58605307019518,0.7531099564222598,0.582646741139325,0.7783347848301414
ref,BARTScore_bart-large-cnn,0.5,wmt15,mt-seg,-0.9053402142851774,28.08648816427979,0.7531099564222598,0.582646741139325,0.7462917491289834
ref,BARTScore_bart-large-cnn,0.6,wmt15,mt-seg,-5.629381205691663,21.980348622130762,0.7531099564222598,0.582646741139325,0.7107145260772324
ref,BARTScore_bart-large-cnn,0.7,wmt15,mt-seg,-10.352011705332554,15.87603223510663,0.7531099564222598,0.582646741139325,0.6751479255794025
ref,BARTScore_bart-large-cnn,0.8,wmt15,mt-seg,-14.820403703518481,10.10033614788406,0.7531099564222598,0.582646741139325,0.6414960205490887
ref,BARTScore_bart-large-cnn,0.9,wmt15,mt-seg,-18.924299401080592,4.795775954328563,0.7531099564222598,0.582646741139325,0.6105891734495638
ref,BARTScore_bart-large-cnn,0.1,wmt16,mt-seg,4.727377036763536,46.04642910076293,0.7163618057337994,0.5136907036053541,0.7502269292382037
ref,BARTScore_bart-large-cnn,0.2,wmt16,mt-seg,6.468070059489306,48.47389369810953,0.7163618057337994,0.5136907036053541,0.7626965892080843
ref,BARTScore_bart-large-cnn,0.3,wmt16,mt-seg,5.271894230247143,46.80577965400301,0.7163618057337994,0.5136907036053541,0.7541276424379738
ref,BARTScore_bart-large-cnn,0.4,wmt16,mt-seg,1.793802277410017,41.95544420047928,0.7163618057337994,0.5136907036053541,0.7292119201195478
ref,BARTScore_bart-large-cnn,0.5,wmt16,mt-seg,-3.0672415410077702,35.17652820477897,0.7163618057337994,0.5136907036053541,0.6943892588444189
ref,BARTScore_bart-large-cnn,0.6,wmt16,mt-seg,-8.512319492039477,27.583153736474266,0.7163618057337994,0.5136907036053541,0.6553828001107952
ref,BARTScore_bart-large-cnn,0.7,wmt16,mt-seg,-13.991383754152908,19.942384026235338,0.7163618057337994,0.5136907036053541,0.6161328764254042
ref,BARTScore_bart-large-cnn,0.8,wmt16,mt-seg,-19.192836563336535,12.688754360224209,0.7163618057337994,0.5136907036053541,0.5788716551571449
ref,BARTScore_bart-large-cnn,0.9,wmt16,mt-seg,-23.973710148434545,6.0216388948896915,0.7163618057337994,0.5136907036053541,0.5446233028130866
ref,BARTScore_bart-large-cnn,0.1,wmt17,mt-seg,6.274851467235765,34.61085931458629,0.7212746832667308,0.5694441014755729,0.7665335983124935
ref,BARTScore_bart-large-cnn,0.2,wmt17,mt-seg,9.183550187405775,38.295102847309856,0.7212746832667308,0.5694441014755729,0.787513305793583
ref,BARTScore_bart-large-cnn,0.3,wmt17,mt-seg,8.823253113956596,37.83873995434006,0.7212746832667308,0.5694441014755729,0.7849145742182433
ref,BARTScore_bart-large-cnn,0.4,wmt17,mt-seg,5.995221925937155,34.256672295510036,0.7212746832667308,0.5694441014755729,0.7645167012241716
ref,BARTScore_bart-large-cnn,0.5,wmt17,mt-seg,1.715390699360153,28.835711916106057,0.7212746832667308,0.5694441014755729,0.7336473621003277
ref,BARTScore_bart-large-cnn,0.6,wmt17,mt-seg,-3.171257328037713,22.646139490886053,0.7212746832667308,0.5694441014755729,0.6984012070183538
ref,BARTScore_bart-large-cnn,0.7,wmt17,mt-seg,-8.11409417603145,16.385396649336492,0.7212746832667308,0.5694441014755729,0.6627497761985958
ref,BARTScore_bart-large-cnn,0.8,wmt17,mt-seg,-12.814316624202604,10.431956357650108,0.7212746832667308,0.5694441014755729,0.6288482616227175
ref,BARTScore_bart-large-cnn,0.9,wmt17,mt-seg,-17.139150328613894,4.953994513375304,0.7212746832667308,0.5694441014755729,0.5976543310194121
ref,BARTScore_bart-large-cnn,0.1,wmt20_mqm,mt-seg,9.57079368260283,36.53093769116544,0.41415442967542165,0.33237323594268436,0.4537922956670167
ref,BARTScore_bart-large-cnn,0.2,wmt20_mqm,mt-seg,12.339943210201598,39.981442783839015,0.41415442967542165,0.33237323594268436,0.465260851099903
ref,BARTScore_bart-large-cnn,0.3,wmt20_mqm,mt-seg,10.158534136269637,37.26329302565912,0.41415442967542165,0.33237323594268436,0.45622644879087215
