error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,2,BARTScore(bart-large-cnn),None,,,-1.2089996337890625,-2.705024003982544
add,4,BARTScore(bart-large-cnn),None,,,-1.0475994348526,-1.6821764707565308
add,5,BARTScore(bart-large-cnn),None,,,-0.8381097316741943,-1.7861824035644531
add,8,BARTScore(bart-large-cnn),None,,,-0.7847027778625488,-1.5601574182510376
add,12,BARTScore(bart-large-cnn),None,,,-1.6911486387252808,-2.4194247722625732
add,13,BARTScore(bart-large-cnn),None,,,-0.39218398928642273,-1.9069435596466064
add,16,BARTScore(bart-large-cnn),None,,,-0.832022488117218,-1.8086583614349365
add,18,BARTScore(bart-large-cnn),None,,,-1.016378402709961,-1.1908185482025146
add,27,BARTScore(bart-large-cnn),None,,,-0.4291994273662567,-1.696779489517212
add,29,BARTScore(bart-large-cnn),None,,,-0.927337646484375,-1.407487392425537
add,32,BARTScore(bart-large-cnn),None,,,-0.9647026062011719,-1.9661167860031128
add,34,BARTScore(bart-large-cnn),None,,,-1.000239372253418,-1.394528865814209
add,37,BARTScore(bart-large-cnn),None,,,-1.4824589490890503,-1.9003076553344727
add,40,BARTScore(bart-large-cnn),None,,,-0.919192373752594,-1.549871563911438
add,44,BARTScore(bart-large-cnn),None,,,-0.9482530355453491,-1.9130114316940308
add,45,BARTScore(bart-large-cnn),None,,,-0.838047206401825,-1.135849118232727
add,48,BARTScore(bart-large-cnn),None,,,-0.6998621821403503,-1.242329478263855
add,51,BARTScore(bart-large-cnn),None,,,-0.6950054168701172,-1.3067572116851807
add,56,BARTScore(bart-large-cnn),None,,,-0.7091563940048218,-0.8006003499031067
add,65,BARTScore(bart-large-cnn),None,,,-1.9764659404754639,-1.5744552612304688
add,66,BARTScore(bart-large-cnn),None,,,-0.8554238677024841,-1.2197270393371582
add,69,BARTScore(bart-large-cnn),None,,,-0.583735466003418,-1.791072130203247
add,71,BARTScore(bart-large-cnn),None,,,-0.4667690396308899,-1.5119539499282837
add,78,BARTScore(bart-large-cnn),None,,,-0.6407760977745056,-1.8530793190002441
add,87,BARTScore(bart-large-cnn),None,,,-0.9318439960479736,-1.3097695112228394
add,92,BARTScore(bart-large-cnn),None,,,-0.976302981376648,-2.440373659133911
add,93,BARTScore(bart-large-cnn),None,,,-1.075313925743103,-2.158116102218628
add,96,BARTScore(bart-large-cnn),None,,,-0.3102375566959381,-1.2545866966247559
add,100,BARTScore(bart-large-cnn),None,,,-1.5233912467956543,-2.014981746673584
add,110,BARTScore(bart-large-cnn),None,,,-0.2905769944190979,-1.831357717514038
add,112,BARTScore(bart-large-cnn),None,,,-0.6476705074310303,-2.539564847946167
add,115,BARTScore(bart-large-cnn),None,,,-0.6951980590820312,-0.9698959589004517
add,117,BARTScore(bart-large-cnn),None,,,-0.7004638314247131,-1.3817821741104126
add,120,BARTScore(bart-large-cnn),None,,,-0.7557500600814819,-0.9156767725944519
add,125,BARTScore(bart-large-cnn),None,,,-0.3225257992744446,-1.1088305711746216
add,129,BARTScore(bart-large-cnn),None,,,-0.47769293189048767,-2.2669451236724854
add,130,BARTScore(bart-large-cnn),None,,,-0.7417001724243164,-0.7649763226509094
add,132,BARTScore(bart-large-cnn),None,,,-0.8047848343849182,-1.17873215675354
add,133,BARTScore(bart-large-cnn),None,,,-0.6477357745170593,-1.6531950235366821
add,135,BARTScore(bart-large-cnn),None,,,-0.8808266520500183,-1.9772067070007324
add,137,BARTScore(bart-large-cnn),None,,,-1.9983103275299072,-1.2587107419967651
add,138,BARTScore(bart-large-cnn),None,,,-0.3345770537853241,-2.3287603855133057
add,141,BARTScore(bart-large-cnn),None,,,-0.5481501221656799,-1.492164969444275
add,145,BARTScore(bart-large-cnn),None,,,-1.6061906814575195,-1.3921858072280884
add,148,BARTScore(bart-large-cnn),None,,,-1.4073817729949951,-1.616507887840271
add,153,BARTScore(bart-large-cnn),None,,,-0.9514727592468262,-2.350338935852051
add,158,BARTScore(bart-large-cnn),None,,,-0.9043883085250854,-1.818387746810913
add,159,BARTScore(bart-large-cnn),None,,,-0.5292060971260071,-1.3102761507034302
add,160,BARTScore(bart-large-cnn),None,,,-0.2769348919391632,-1.7587859630584717
add,163,BARTScore(bart-large-cnn),None,,,-0.45530965924263,-1.7504011392593384
add,164,BARTScore(bart-large-cnn),None,,,-1.2292879819869995,-1.2363044023513794
add,165,BARTScore(bart-large-cnn),None,,,-0.7599153518676758,-1.1683125495910645
add,169,BARTScore(bart-large-cnn),None,,,-1.324463963508606,-2.1860761642456055
add,170,BARTScore(bart-large-cnn),None,,,-0.9008209109306335,-1.6343106031417847
add,171,BARTScore(bart-large-cnn),None,,,-0.8107940554618835,-1.104650855064392
add,172,BARTScore(bart-large-cnn),None,,,-0.5525038838386536,-1.780281901359558
add,178,BARTScore(bart-large-cnn),None,,,-0.6833071112632751,-1.7788314819335938
add,179,BARTScore(bart-large-cnn),None,,,-1.9330731630325317,-1.5586274862289429
add,181,BARTScore(bart-large-cnn),None,,,-0.9393340349197388,-1.3091291189193726
add,183,BARTScore(bart-large-cnn),None,,,-0.7873733043670654,-1.669836401939392
add,185,BARTScore(bart-large-cnn),None,,,-0.7430741190910339,-1.1529819965362549
add,186,BARTScore(bart-large-cnn),None,,,-0.527560293674469,-1.3477405309677124
add,187,BARTScore(bart-large-cnn),None,,,-0.47637444734573364,-1.337839961051941
add,189,BARTScore(bart-large-cnn),None,,,-0.44273605942726135,-1.2682911157608032
add,190,BARTScore(bart-large-cnn),None,,,-0.4469985067844391,-1.331337809562683
add,192,BARTScore(bart-large-cnn),None,,,-0.46483469009399414,-1.3310598134994507
add,194,BARTScore(bart-large-cnn),None,,,-1.475822925567627,-1.7868437767028809
add,199,BARTScore(bart-large-cnn),None,,,-0.7310755252838135,-2.0984487533569336
add,202,BARTScore(bart-large-cnn),None,,,-1.0111472606658936,-1.670425534248352
add,206,BARTScore(bart-large-cnn),None,,,-0.3426094651222229,-1.2144067287445068
add,210,BARTScore(bart-large-cnn),None,,,-0.6874628067016602,-0.8659918904304504
add,214,BARTScore(bart-large-cnn),None,,,-0.6428119540214539,-2.000605821609497
add,217,BARTScore(bart-large-cnn),None,,,-0.5271047353744507,-1.692702293395996
add,218,BARTScore(bart-large-cnn),None,,,-0.4303525984287262,-1.4138998985290527
add,220,BARTScore(bart-large-cnn),None,,,-0.5410898923873901,-1.7831162214279175
add,223,BARTScore(bart-large-cnn),None,,,-0.9177430868148804,-1.3464781045913696
add,225,BARTScore(bart-large-cnn),None,,,-0.3722001314163208,-1.1929631233215332
add,227,BARTScore(bart-large-cnn),None,,,-0.37463507056236267,-1.0083571672439575
add,229,BARTScore(bart-large-cnn),None,,,-1.2724318504333496,-2.297480583190918
add,231,BARTScore(bart-large-cnn),None,,,-0.2679520845413208,-1.0086241960525513
add,233,BARTScore(bart-large-cnn),None,,,-1.119343876838684,-0.9617708921432495
add,242,BARTScore(bart-large-cnn),None,,,-0.6740445494651794,-1.7458975315093994
add,243,BARTScore(bart-large-cnn),None,,,-0.44210246205329895,-1.2279704809188843
add,246,BARTScore(bart-large-cnn),None,,,-0.329007625579834,-1.2396777868270874
add,250,BARTScore(bart-large-cnn),None,,,-3.7427072525024414,-2.3105521202087402
add,254,BARTScore(bart-large-cnn),None,,,-0.4246884882450104,-1.5254113674163818
add,256,BARTScore(bart-large-cnn),None,,,-0.7100321650505066,-1.926885724067688
add,258,BARTScore(bart-large-cnn),None,,,-0.8088275790214539,-2.2797393798828125
add,263,BARTScore(bart-large-cnn),None,,,-0.9708377718925476,-1.9482344388961792
add,264,BARTScore(bart-large-cnn),None,,,-0.3206808567047119,-1.126291036605835
add,268,BARTScore(bart-large-cnn),None,,,-0.7490180730819702,-1.5222970247268677
add,271,BARTScore(bart-large-cnn),None,,,-0.8690086603164673,-1.3162269592285156
add,274,BARTScore(bart-large-cnn),None,,,-2.014899492263794,-1.4273301362991333
add,276,BARTScore(bart-large-cnn),None,,,-1.1644933223724365,-1.8311375379562378
add,277,BARTScore(bart-large-cnn),None,,,-1.114648461341858,-1.408410906791687
add,279,BARTScore(bart-large-cnn),None,,,-0.6133840680122375,-1.502026081085205
add,282,BARTScore(bart-large-cnn),None,,,-0.6342434883117676,-0.9680513143539429
add,283,BARTScore(bart-large-cnn),None,,,-0.6378493309020996,-2.270530939102173
add,286,BARTScore(bart-large-cnn),None,,,-0.6641172766685486,-1.3582712411880493
add,289,BARTScore(bart-large-cnn),None,,,-0.8867670893669128,-1.6635174751281738
add,291,BARTScore(bart-large-cnn),None,,,-1.279986023902893,-1.4306830167770386
add,292,BARTScore(bart-large-cnn),None,,,-0.6797242760658264,-1.1160740852355957
add,293,BARTScore(bart-large-cnn),None,,,-0.4134414792060852,-1.0674350261688232
add,297,BARTScore(bart-large-cnn),None,,,-0.7101199626922607,-1.4772834777832031
add,299,BARTScore(bart-large-cnn),None,,,-0.9017108678817749,-2.8019235134124756
