error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,2,sentBLEU(default),None,,,59.12723140736851,38.66936862858226
add,4,sentBLEU(default),None,,,20.390528108540114,74.47819789879651
add,5,sentBLEU(default),None,,,37.06866381788036,26.911091103444726
add,8,sentBLEU(default),None,,,39.877310237427885,68.4243656402567
add,12,sentBLEU(default),None,,,29.89950354998137,21.651956746181064
add,13,sentBLEU(default),None,,,68.1195157751836,64.03621020851917
add,16,sentBLEU(default),None,,,57.73502691896257,75.77395672414198
add,18,sentBLEU(default),None,,,74.56495553738948,88.27916928185881
add,27,sentBLEU(default),None,,,67.68180565213763,68.80430849756435
add,29,sentBLEU(default),None,,,71.49859162660645,64.87066897882097
add,32,sentBLEU(default),None,,,56.94069670752148,66.21472493291407
add,34,sentBLEU(default),None,,,81.53551038173119,77.7811122305422
add,37,sentBLEU(default),None,,,55.20187497812208,54.1728338585597
add,40,sentBLEU(default),None,,,57.067457770559976,43.748114312246464
add,44,sentBLEU(default),None,,,68.88663231726396,60.23289186759281
add,45,sentBLEU(default),None,,,69.15827518474994,81.37489370974959
add,48,sentBLEU(default),None,,,76.11606003349888,78.56293018010261
add,51,sentBLEU(default),None,,,42.392533465451926,83.95876230925758
add,56,sentBLEU(default),None,,,60.66792818166609,88.81135755489994
add,65,sentBLEU(default),None,,,73.32234387423262,62.56538561604213
add,66,sentBLEU(default),None,,,63.91786594726242,81.23496892324697
add,69,sentBLEU(default),None,,,85.22456714074852,72.00391346486707
add,71,sentBLEU(default),None,,,90.36020036098445,82.32490471721698
add,78,sentBLEU(default),None,,,59.3324745001817,62.418866968013226
add,87,sentBLEU(default),None,,,62.33473783356552,80.3154665668484
add,92,sentBLEU(default),None,,,38.48321033998745,8.688218206838483
add,93,sentBLEU(default),None,,,59.19783121240429,48.7859542097654
add,96,sentBLEU(default),None,,,70.75330011966422,83.95876230925758
add,100,sentBLEU(default),None,,,74.56495553738948,66.01973900178668
add,110,sentBLEU(default),None,,,68.01574497175618,56.39331823461218
add,112,sentBLEU(default),None,,,45.613878879582224,25.33654946448646
add,115,sentBLEU(default),None,,,66.95426343195655,79.67232840950678
add,117,sentBLEU(default),None,,,52.61354008192229,81.14217758899005
add,120,sentBLEU(default),None,,,83.56871757372532,87.87142254774355
