error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:0,BARTScore(bart-large-cnn),None,,,-3.296912670135498,-3.2818915843963623
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:1,BARTScore(bart-large-cnn),None,,,-4.461141109466553,-3.227138042449951
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:2,BARTScore(bart-large-cnn),None,,,-2.2406370639801025,-3.226802349090576
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:3,BARTScore(bart-large-cnn),None,,,-2.757866621017456,-3.2783772945404053
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:4,BARTScore(bart-large-cnn),None,,,-3.0189099311828613,-3.2478158473968506
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:5,BARTScore(bart-large-cnn),None,,,-2.6517443656921387,-3.304887294769287
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:6,BARTScore(bart-large-cnn),None,,,-2.1762475967407227,-3.349558115005493
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:7,BARTScore(bart-large-cnn),None,,,-3.536010980606079,-3.2196638584136963
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:8,BARTScore(bart-large-cnn),None,,,-1.229014277458191,-3.211977958679199
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:9,BARTScore(bart-large-cnn),None,,,-1.9602986574172974,-3.212514877319336
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:0,BARTScore(bart-large-cnn),None,,,-2.7662124633789062,-2.5626144409179688
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:1,BARTScore(bart-large-cnn),None,,,-4.326168060302734,-2.619427442550659
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:2,BARTScore(bart-large-cnn),None,,,-2.597393751144409,-2.688822031021118
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:3,BARTScore(bart-large-cnn),None,,,-3.9979777336120605,-2.752394676208496
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:4,BARTScore(bart-large-cnn),None,,,-3.3768036365509033,-2.5906434059143066
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:5,BARTScore(bart-large-cnn),None,,,-1.6411629915237427,-2.6608612537384033
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:6,BARTScore(bart-large-cnn),None,,,-2.9126875400543213,-2.611313819885254
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:7,BARTScore(bart-large-cnn),None,,,-2.9126875400543213,-2.6127145290374756
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:8,BARTScore(bart-large-cnn),None,,,-1.9899998903274536,-2.653430938720703
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:9,BARTScore(bart-large-cnn),None,,,-1.9013636112213135,-2.5722861289978027
add,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31:0,BARTScore(bart-large-cnn),None,,,-5.290988922119141,-3.785693883895874
add,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31:1,BARTScore(bart-large-cnn),None,,,-4.165380477905273,-3.7907068729400635
add,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31:2,BARTScore(bart-large-cnn),None,,,-4.356362342834473,-3.834646224975586
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:0,BARTScore(bart-large-cnn),None,,,-4.663717746734619,-2.981436014175415
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:1,BARTScore(bart-large-cnn),None,,,-3.4742588996887207,-3.0224878787994385
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:3,BARTScore(bart-large-cnn),None,,,-2.193279504776001,-2.9814364910125732
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:4,BARTScore(bart-large-cnn),None,,,-1.8135923147201538,-2.912602663040161
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:5,BARTScore(bart-large-cnn),None,,,-2.372657060623169,-2.948777914047241
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:7,BARTScore(bart-large-cnn),None,,,-2.6650335788726807,-3.0550296306610107
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:8,BARTScore(bart-large-cnn),None,,,-2.489987850189209,-2.8994200229644775
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:9,BARTScore(bart-large-cnn),None,,,-1.3959680795669556,-2.909365653991699
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:0,BARTScore(bart-large-cnn),None,,,-4.017261505126953,-3.2680647373199463
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:1,BARTScore(bart-large-cnn),None,,,-2.3301591873168945,-3.182171583175659
