error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:0,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97452414,0.97357666
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:1,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9532027,0.96380675
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:2,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.99036145,0.9734355
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:3,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97453713,0.9754086
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:4,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9829446,0.9757194
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:5,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9585695,0.975204
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:6,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9653504,0.97247696
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:7,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98151046,0.96616507
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:8,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98899406,0.9506107
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:9,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9679089,0.9770777
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:0,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97547746,0.9684703
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:1,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.95207804,0.94512206
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:2,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9963237,0.9654541
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:3,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9646159,0.9723581
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:4,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9736368,0.9763199
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:5,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98958564,0.9621223
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:6,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9672971,0.94994265
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:7,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9672971,0.94701284
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:8,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9814439,0.96981865
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:9,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98458344,0.97086096
add,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31:0,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.96557707,0.97870374
add,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31:1,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9657571,0.9796407
add,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31:2,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9840137,0.9699838
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:0,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.94810516,0.9462336
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:1,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98387086,0.9670179
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:3,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9864981,0.95885485
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:4,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9788267,0.94294804
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:5,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9735691,0.95883405
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:7,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9755771,0.9606525
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:8,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9800493,0.9514072
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:9,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9844887,0.94123024
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:0,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.96725595,0.9775388
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:1,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9710167,0.9694621
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:2,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.99206173,0.9624804
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:3,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9774128,0.9672917
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:4,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98514867,0.95687234
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:5,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97632873,0.9734118
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:6,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.979879,0.9788823
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:7,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.96180034,0.964715
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:8,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9871042,0.97069746
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:9,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97326595,0.9796746
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:0,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97966737,0.95388275
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:1,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.94334346,0.9375213
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:2,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9917092,0.95609385
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:3,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97692394,0.93152726
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:4,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9836509,0.9372717
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:5,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98837864,0.93692726
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:6,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97812355,0.93342257
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:7,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9813882,0.9599352
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:8,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9616199,0.9518675
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:9,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98436856,0.9382671
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:0,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.95085484,0.95610577
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:1,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98409814,0.9470947
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:2,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9890448,0.96847624
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:3,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9711965,0.9661886
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:4,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.934352,0.96458477
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:5,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9698802,0.9726329
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:6,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98198897,0.9720943
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:7,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9659902,0.9634576
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:8,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98401403,0.9682497
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:9,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97286403,0.96264786
add,dm-test-14c813567696f4e63a39993c09d4edb454036179:0,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98637426,0.95421404
add,dm-test-14c813567696f4e63a39993c09d4edb454036179:1,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9528717,0.9618588
add,dm-test-14c813567696f4e63a39993c09d4edb454036179:2,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9930128,0.9797414
add,dm-test-14c813567696f4e63a39993c09d4edb454036179:3,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.99202645,0.9394257
add,dm-test-14c813567696f4e63a39993c09d4edb454036179:4,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9768093,0.9280257
add,dm-test-14c813567696f4e63a39993c09d4edb454036179:5,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9873514,0.9681578
add,dm-test-14c813567696f4e63a39993c09d4edb454036179:6,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9633383,0.9408306
add,dm-test-14c813567696f4e63a39993c09d4edb454036179:7,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.975918,0.94566035
add,dm-test-14c813567696f4e63a39993c09d4edb454036179:8,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9726875,0.9586557
add,dm-test-14c813567696f4e63a39993c09d4edb454036179:9,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9959342,0.9570551
add,dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78:0,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98869866,0.9739747
add,dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78:1,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9727931,0.9759134
add,dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78:2,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98782384,0.96414346
add,dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78:3,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9653591,0.95908153
add,dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78:4,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98763514,0.96562064
add,dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78:5,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97101384,0.9733303
add,dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78:6,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9550814,0.9384761
add,dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78:7,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9788946,0.978502
add,dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78:8,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9793868,0.9864826
add,dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78:9,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.96840703,0.9745364
add,dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc:0,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9714196,0.9699952
add,dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc:1,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9315599,0.9537643
add,dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc:2,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9767421,0.98008937
add,dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc:3,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97642756,0.9728044
add,dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc:4,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9703034,0.9745793
add,dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc:5,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9789899,0.9746064
add,dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc:6,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9713851,0.9601371
add,dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc:7,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.95999634,0.98235947
add,dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc:8,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.96906984,0.9641889
add,dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc:9,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97215426,0.96642935
add,dm-test-4fb64a2298e18626db776fccf834be87388827e0:0,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9457313,0.9699223
add,dm-test-4fb64a2298e18626db776fccf834be87388827e0:1,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9564595,0.9468741
