error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:0,NLI2Score(monolingual_rh),None,rh,c,0.00015980106,0.0017001695
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:1,NLI2Score(monolingual_rh),None,rh,c,0.00022041325,0.0015168933
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:2,NLI2Score(monolingual_rh),None,rh,c,0.00013248248,0.001231418
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:3,NLI2Score(monolingual_rh),None,rh,c,0.00020611256,0.0031998232
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:4,NLI2Score(monolingual_rh),None,rh,c,0.00015808988,0.00089618674
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:5,NLI2Score(monolingual_rh),None,rh,c,0.0001527284,0.00022519354
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:6,NLI2Score(monolingual_rh),None,rh,c,0.00046628903,0.002086981
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:7,NLI2Score(monolingual_rh),None,rh,c,0.00018221358,0.0022409668
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:8,NLI2Score(monolingual_rh),None,rh,c,0.00028952418,0.001996772
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:9,NLI2Score(monolingual_rh),None,rh,c,0.00017999766,0.0017411176
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:0,NLI2Score(monolingual_rh),None,rh,c,0.0005630471,0.015760923
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:1,NLI2Score(monolingual_rh),None,rh,c,0.0076501556,0.0015090958
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:2,NLI2Score(monolingual_rh),None,rh,c,0.00024408598,0.0027756894
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:3,NLI2Score(monolingual_rh),None,rh,c,0.00026546922,0.0005424195
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:4,NLI2Score(monolingual_rh),None,rh,c,0.00040487386,0.0021903575
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:5,NLI2Score(monolingual_rh),None,rh,c,0.0002644279,0.0027314154
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:6,NLI2Score(monolingual_rh),None,rh,c,0.0016680092,0.004408717
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:7,NLI2Score(monolingual_rh),None,rh,c,0.0016680092,0.0010451826
