error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,2,NLI1Score(monolingual_hr),None,hr,c,0.0040856167,0.017986517
add,5,NLI1Score(monolingual_hr),None,hr,c,0.001774323,0.0073754475
add,7,NLI1Score(monolingual_hr),None,hr,c,0.0025426736,0.005084463
add,8,NLI1Score(monolingual_hr),None,hr,c,0.002893216,0.0028927545
add,11,NLI1Score(monolingual_hr),None,hr,c,0.0030237054,0.018761117
add,12,NLI1Score(monolingual_hr),None,hr,c,0.0031429476,0.002078972
add,13,NLI1Score(monolingual_hr),None,hr,c,0.0020447222,0.0027438565
add,14,NLI1Score(monolingual_hr),None,hr,c,0.01009914,0.008211651
add,15,NLI1Score(monolingual_hr),None,hr,c,0.0042929817,0.011286249
add,18,NLI1Score(monolingual_hr),None,hr,c,0.003194886,0.0073708515
add,20,NLI1Score(monolingual_hr),None,hr,c,0.014110578,0.012806936
add,21,NLI1Score(monolingual_hr),None,hr,c,0.0055414787,0.0031849523
add,22,NLI1Score(monolingual_hr),None,hr,c,0.0011890853,0.00411484
add,27,NLI1Score(monolingual_hr),None,hr,c,0.0017134553,0.002934674
add,29,NLI1Score(monolingual_hr),None,hr,c,0.07560348,0.004389894
add,31,NLI1Score(monolingual_hr),None,hr,c,0.002813614,0.0018718597
add,35,NLI1Score(monolingual_hr),None,hr,c,0.001076142,0.002194622
add,38,NLI1Score(monolingual_hr),None,hr,c,0.0014445968,0.0047506024
add,41,NLI1Score(monolingual_hr),None,hr,c,0.0026793128,0.0030919297
add,44,NLI1Score(monolingual_hr),None,hr,c,0.0014188589,0.012383515
add,45,NLI1Score(monolingual_hr),None,hr,c,0.0022494611,0.00413334
add,51,NLI1Score(monolingual_hr),None,hr,c,0.010926331,0.0036764785
add,53,NLI1Score(monolingual_hr),None,hr,c,0.0019475492,0.0047037257
add,54,NLI1Score(monolingual_hr),None,hr,c,0.033461004,0.03116382
add,57,NLI1Score(monolingual_hr),None,hr,c,0.012652824,0.0035525179
add,65,NLI1Score(monolingual_hr),None,hr,c,0.0015208996,0.0027559728
add,69,NLI1Score(monolingual_hr),None,hr,c,0.00126912,0.003938203
add,79,NLI1Score(monolingual_hr),None,hr,c,0.0057695135,0.0019668646
add,80,NLI1Score(monolingual_hr),None,hr,c,0.0026167438,0.002703592
add,81,NLI1Score(monolingual_hr),None,hr,c,0.000847176,0.013438179
add,82,NLI1Score(monolingual_hr),None,hr,c,0.0019428779,0.0046196715
add,88,NLI1Score(monolingual_hr),None,hr,c,0.002078505,0.002282478
add,90,NLI1Score(monolingual_hr),None,hr,c,0.0017621565,0.0021965366
add,92,NLI1Score(monolingual_hr),None,hr,c,0.026273027,0.0077684294
add,95,NLI1Score(monolingual_hr),None,hr,c,0.0063357526,0.003018622
add,102,NLI1Score(monolingual_hr),None,hr,c,0.0018895841,0.0026647183
add,104,NLI1Score(monolingual_hr),None,hr,c,0.004487149,0.0029218397
add,106,NLI1Score(monolingual_hr),None,hr,c,0.0028293524,0.007965991
add,107,NLI1Score(monolingual_hr),None,hr,c,0.0009721875,0.0018130903
add,108,NLI1Score(monolingual_hr),None,hr,c,0.03982076,0.001890923
add,109,NLI1Score(monolingual_hr),None,hr,c,0.014572037,0.026184207
add,115,NLI1Score(monolingual_hr),None,hr,c,0.0053929756,0.004269726
add,119,NLI1Score(monolingual_hr),None,hr,c,0.0013755421,0.0028778883
add,125,NLI1Score(monolingual_hr),None,hr,c,0.0023062443,0.0022365001
add,130,NLI1Score(monolingual_hr),None,hr,c,0.0105100665,0.0058238097
add,145,NLI1Score(monolingual_hr),None,hr,c,0.0012471006,0.002299129
add,162,NLI1Score(monolingual_hr),None,hr,c,0.008358542,0.0027566012
add,165,NLI1Score(monolingual_hr),None,hr,c,0.0017278184,0.010116257
add,175,NLI1Score(monolingual_hr),None,hr,c,0.0008565352,0.0018454761
add,177,NLI1Score(monolingual_hr),None,hr,c,0.0028770121,0.0053573735
add,184,NLI1Score(monolingual_hr),None,hr,c,0.00164499,0.0030220172
add,201,NLI1Score(monolingual_hr),None,hr,c,0.0025976638,0.0033880675
add,218,NLI1Score(monolingual_hr),None,hr,c,0.0013601402,0.08239849
add,219,NLI1Score(monolingual_hr),None,hr,c,0.0009087839,0.0025577724
add,224,NLI1Score(monolingual_hr),None,hr,c,0.0022651989,0.0045634476
add,230,NLI1Score(monolingual_hr),None,hr,c,0.019716034,0.0026996143
add,231,NLI1Score(monolingual_hr),None,hr,c,0.0010630897,0.003717312
add,232,NLI1Score(monolingual_hr),None,hr,c,0.35973805,0.0019450348
add,234,NLI1Score(monolingual_hr),None,hr,c,0.9977552,0.0034013328
add,240,NLI1Score(monolingual_hr),None,hr,c,0.4639626,0.006448981
add,244,NLI1Score(monolingual_hr),None,hr,c,0.0019736183,0.0021110906
add,246,NLI1Score(monolingual_hr),None,hr,c,0.0036051318,0.002836563
add,247,NLI1Score(monolingual_hr),None,hr,c,0.0037592954,0.006574205
add,249,NLI1Score(monolingual_hr),None,hr,c,0.0031036744,0.0025800827
add,250,NLI1Score(monolingual_hr),None,hr,c,0.0016430481,0.0040877904
add,251,NLI1Score(monolingual_hr),None,hr,c,0.0055238036,0.003742915
add,253,NLI1Score(monolingual_hr),None,hr,c,0.0025449945,0.002480349
add,259,NLI1Score(monolingual_hr),None,hr,c,0.0022889758,0.005273971
add,260,NLI1Score(monolingual_hr),None,hr,c,0.010249049,0.005446299
add,263,NLI1Score(monolingual_hr),None,hr,c,0.0012059876,0.0026007965
add,268,NLI1Score(monolingual_hr),None,hr,c,0.007017371,0.020599997
add,269,NLI1Score(monolingual_hr),None,hr,c,0.0016799105,0.0030222933
add,270,NLI1Score(monolingual_hr),None,hr,c,0.005623477,0.02312383
add,273,NLI1Score(monolingual_hr),None,hr,c,0.0012369578,0.0060352217
add,276,NLI1Score(monolingual_hr),None,hr,c,0.16069186,0.004662021
add,279,NLI1Score(monolingual_hr),None,hr,c,0.0013214652,0.06800871
add,291,NLI1Score(monolingual_hr),None,hr,c,0.0033785917,0.0036135346
add,292,NLI1Score(monolingual_hr),None,hr,c,0.0025519917,0.0039730845
add,303,NLI1Score(monolingual_hr),None,hr,c,0.002069384,0.004581036
add,308,NLI1Score(monolingual_hr),None,hr,c,0.0014846076,0.028422717
add,310,NLI1Score(monolingual_hr),None,hr,c,0.0067842924,0.002708351
add,311,NLI1Score(monolingual_hr),None,hr,c,0.0015331076,0.0020967135
add,312,NLI1Score(monolingual_hr),None,hr,c,0.0016683096,0.0035637552
add,315,NLI1Score(monolingual_hr),None,hr,c,0.0015309956,0.007483049
add,320,NLI1Score(monolingual_hr),None,hr,c,0.9335589,0.003133369
add,321,NLI1Score(monolingual_hr),None,hr,c,0.020705106,0.001532908
add,322,NLI1Score(monolingual_hr),None,hr,c,0.005400583,0.0017635172
add,323,NLI1Score(monolingual_hr),None,hr,c,0.005214416,0.04533982
add,325,NLI1Score(monolingual_hr),None,hr,c,0.0042635654,0.004127911
add,328,NLI1Score(monolingual_hr),None,hr,c,0.008052741,0.005312208
add,329,NLI1Score(monolingual_hr),None,hr,c,0.0016939023,0.005227147
add,332,NLI1Score(monolingual_hr),None,hr,c,0.0060260897,0.011407899
add,334,NLI1Score(monolingual_hr),None,hr,c,0.0018426673,0.0049745375
add,337,NLI1Score(monolingual_hr),None,hr,c,0.0027181257,0.0026688187
add,341,NLI1Score(monolingual_hr),None,hr,c,0.010239797,0.0059629837
add,345,NLI1Score(monolingual_hr),None,hr,c,0.005857563,0.0024635135
add,348,NLI1Score(monolingual_hr),None,hr,c,0.011823883,0.025331123
add,350,NLI1Score(monolingual_hr),None,hr,c,0.021764362,0.0042298273
add,355,NLI1Score(monolingual_hr),None,hr,c,0.9978459,0.004349445
add,356,NLI1Score(monolingual_hr),None,hr,c,0.9989742,0.004963213
add,359,NLI1Score(monolingual_hr),None,hr,c,0.0038062118,0.005171151
add,364,NLI1Score(monolingual_hr),None,hr,c,0.0072695124,0.012246063
add,365,NLI1Score(monolingual_hr),None,hr,c,0.0016431882,0.004303939
add,366,NLI1Score(monolingual_hr),None,hr,c,0.0028050286,0.002546774
add,367,NLI1Score(monolingual_hr),None,hr,c,0.0031001205,0.003945439
add,372,NLI1Score(monolingual_hr),None,hr,c,0.0013391015,0.0044209445
add,377,NLI1Score(monolingual_hr),None,hr,c,0.019693015,0.0037159566
add,381,NLI1Score(monolingual_hr),None,hr,c,0.002573107,0.014074933
add,384,NLI1Score(monolingual_hr),None,hr,c,0.0023420015,0.0050608376
add,385,NLI1Score(monolingual_hr),None,hr,c,0.0032439893,0.010309851
add,386,NLI1Score(monolingual_hr),None,hr,c,0.016221607,0.008600551
add,388,NLI1Score(monolingual_hr),None,hr,c,0.0055441605,0.002315042
