error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,2,NLI2Score(monolingual_rh),None,rh,c,0.00011770338,0.0005025926
add,5,NLI2Score(monolingual_rh),None,rh,c,0.00013998408,0.00092155446
add,7,NLI2Score(monolingual_rh),None,rh,c,0.0006740823,0.0004566275
add,8,NLI2Score(monolingual_rh),None,rh,c,0.00037179483,0.00056521065
add,11,NLI2Score(monolingual_rh),None,rh,c,0.00019496867,0.0006408343
add,12,NLI2Score(monolingual_rh),None,rh,c,0.0002167964,0.00036571128
add,13,NLI2Score(monolingual_rh),None,rh,c,0.0008995614,0.00073144515
add,14,NLI2Score(monolingual_rh),None,rh,c,0.00019878671,0.0011419224
add,15,NLI2Score(monolingual_rh),None,rh,c,0.00021973246,0.00047313073
add,18,NLI2Score(monolingual_rh),None,rh,c,0.00019422895,0.00052974594
add,20,NLI2Score(monolingual_rh),None,rh,c,0.0001769975,0.0007450358
add,21,NLI2Score(monolingual_rh),None,rh,c,0.00022914568,0.00093686645
add,22,NLI2Score(monolingual_rh),None,rh,c,0.00017254885,0.00044477824
add,27,NLI2Score(monolingual_rh),None,rh,c,0.00014086274,0.00090182264
add,29,NLI2Score(monolingual_rh),None,rh,c,0.12229606,0.001376844
add,31,NLI2Score(monolingual_rh),None,rh,c,0.0005172396,0.00083069084
add,35,NLI2Score(monolingual_rh),None,rh,c,0.00022138142,0.001220418
add,38,NLI2Score(monolingual_rh),None,rh,c,0.00012885129,0.0007757568
add,41,NLI2Score(monolingual_rh),None,rh,c,0.00017483237,0.0009218788
add,44,NLI2Score(monolingual_rh),None,rh,c,0.00014203071,0.0010027724
add,45,NLI2Score(monolingual_rh),None,rh,c,0.00012495846,0.000656953
add,51,NLI2Score(monolingual_rh),None,rh,c,0.0016933033,0.0013016586
add,53,NLI2Score(monolingual_rh),None,rh,c,0.00016746354,0.00060589175
add,54,NLI2Score(monolingual_rh),None,rh,c,0.00023184791,0.0010260387
add,57,NLI2Score(monolingual_rh),None,rh,c,0.00033265285,0.0030181548
add,65,NLI2Score(monolingual_rh),None,rh,c,0.00022929661,0.003878785
add,69,NLI2Score(monolingual_rh),None,rh,c,0.0003166817,0.0005332251
add,79,NLI2Score(monolingual_rh),None,rh,c,0.00027294306,0.0020488384
add,80,NLI2Score(monolingual_rh),None,rh,c,0.00027383934,0.0012295868
add,81,NLI2Score(monolingual_rh),None,rh,c,0.00014839634,0.00035438433
add,82,NLI2Score(monolingual_rh),None,rh,c,0.0001707543,0.0024150028
add,88,NLI2Score(monolingual_rh),None,rh,c,0.00015439282,0.0049362597
add,90,NLI2Score(monolingual_rh),None,rh,c,0.00017037844,0.00034130446
add,92,NLI2Score(monolingual_rh),None,rh,c,0.0005617578,0.0019344627
add,95,NLI2Score(monolingual_rh),None,rh,c,0.00015714989,0.00049777067
add,102,NLI2Score(monolingual_rh),None,rh,c,0.00049743376,0.0011852147
add,104,NLI2Score(monolingual_rh),None,rh,c,0.00023238797,0.00050535606
