error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,2,XMoverScore(CLP),None,,,-0.18684718535817862,-0.010973100229403343
add,5,XMoverScore(CLP),None,,,-0.17769085409357105,-0.1717586781210264
add,7,XMoverScore(CLP),None,,,-0.23300769974644736,-0.23503133530124476
add,8,XMoverScore(CLP),None,,,-0.3392287565535679,-0.27891894732582884
add,11,XMoverScore(CLP),None,,,-0.3355281507856327,-0.22967865214080235
add,12,XMoverScore(CLP),None,,,-0.48940820983857747,-0.5104847809173623
add,13,XMoverScore(CLP),None,,,-0.34144620607706233,-0.21121171971619673
add,14,XMoverScore(CLP),None,,,-0.3844417457818852,-0.24838823688859457
add,15,XMoverScore(CLP),None,,,-0.34902786173734085,-0.239880522298904
add,18,XMoverScore(CLP),None,,,0.057028094397734874,-0.13736137759800532
add,20,XMoverScore(CLP),None,,,-0.25253560548133414,-0.33261480476914773
add,21,XMoverScore(CLP),None,,,-0.2354888494626039,-0.3965647363590236
add,22,XMoverScore(CLP),None,,,-0.2369851962337466,-0.31214908531340546
add,27,XMoverScore(CLP),None,,,-0.21044675237419208,-0.4150671340120918
add,29,XMoverScore(CLP),None,,,-0.35347918999904016,-0.2330973906173533
add,31,XMoverScore(CLP),None,,,-0.30845505337135654,-0.3343400965642507
add,35,XMoverScore(CLP),None,,,-0.19940654382419631,-0.14364580737822497
add,38,XMoverScore(CLP),None,,,-0.32644701468121506,-0.3384336642230446
add,41,XMoverScore(CLP),None,,,-0.24507021840417686,-0.37895592222254953
add,44,XMoverScore(CLP),None,,,-0.17524923476088294,-0.420843280390669
add,45,XMoverScore(CLP),None,,,-0.28377723364236257,-0.19934349033073445
add,51,XMoverScore(CLP),None,,,-0.12385857039076564,-0.2230833772047658
add,53,XMoverScore(CLP),None,,,-0.3527447115631505,-0.46680674440565556
add,54,XMoverScore(CLP),None,,,-0.0030632743502654325,-0.09385312755018688
add,57,XMoverScore(CLP),None,,,-0.03813202094800616,-0.022202766970438215
