error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,2,sentBLEU(default),None,,,35.693754559323295,83.18180062062373
add,5,sentBLEU(default),None,,,35.83129187641355,76.24658586234858
add,7,sentBLEU(default),None,,,21.258844131063825,80.3154665668484
add,8,sentBLEU(default),None,,,37.512210179500016,82.32490471721698
add,11,sentBLEU(default),None,,,63.43383601484682,48.679550186613355
add,12,sentBLEU(default),None,,,80.7815097840673,83.18180062062373
add,13,sentBLEU(default),None,,,37.90325913518149,61.53267326643311
add,14,sentBLEU(default),None,,,84.82198619370465,58.34041060170845
add,15,sentBLEU(default),None,,,34.46073377034663,48.130446616982546
add,18,sentBLEU(default),None,,,80.03203203845001,62.33473783356552
add,20,sentBLEU(default),None,,,32.75571227650088,80.3154665668484
add,21,sentBLEU(default),None,,,69.12804407652906,67.12403123245673
add,22,sentBLEU(default),None,,,48.81010344921758,83.75717919273552
add,27,sentBLEU(default),None,,,79.12619863720215,81.37489370974959
add,29,sentBLEU(default),None,,,10.601773873343046,70.49592608322394
add,31,sentBLEU(default),None,,,61.53267326643311,83.18180062062373
add,35,sentBLEU(default),None,,,66.06328636027612,72.92571723872932
add,38,sentBLEU(default),None,,,49.030470692026626,81.37489370974959
add,41,sentBLEU(default),None,,,40.51297834184317,85.90888738245118
add,44,sentBLEU(default),None,,,46.59538415189962,72.72454093000138
add,45,sentBLEU(default),None,,,86.56030552541704,83.18180062062373
add,51,sentBLEU(default),None,,,54.69200314562076,84.53479389161355
add,53,sentBLEU(default),None,,,37.294980252904516,75.90837444182695
add,54,sentBLEU(default),None,,,82.2357232268128,66.66823117022298
add,57,sentBLEU(default),None,,,55.20187497812208,83.75717919273552
add,65,sentBLEU(default),None,,,81.53551038173119,83.05389167974835
add,69,sentBLEU(default),None,,,53.107253497886994,69.97522298221911
add,79,sentBLEU(default),None,,,52.317165651591665,72.05743386699484
add,80,sentBLEU(default),None,,,65.97618889159988,83.95876230925758
add,81,sentBLEU(default),None,,,53.66551979187755,69.97522298221911
add,82,sentBLEU(default),None,,,47.33115266504588,87.01761846085435
add,88,sentBLEU(default),None,,,54.084391427678554,77.7811122305422
add,90,sentBLEU(default),None,,,53.87551338654778,69.97522298221911
add,92,sentBLEU(default),None,,,43.819512537676886,54.017258985951415
add,95,sentBLEU(default),None,,,16.623910984281398,80.3154665668484
add,102,sentBLEU(default),None,,,11.59119922599073,19.081654556856684
add,104,sentBLEU(default),None,,,59.11602603314155,63.40466277046863
add,106,sentBLEU(default),None,,,21.86976686325118,64.1975224568211
add,107,sentBLEU(default),None,,,57.72609245203746,76.70387248467661
add,108,sentBLEU(default),None,,,41.374412020518825,76.24658586234858
add,109,sentBLEU(default),None,,,39.02273664485568,83.95876230925758
add,115,sentBLEU(default),None,,,39.832871551569504,21.305413619585096
add,119,sentBLEU(default),None,,,83.94327083733333,80.3154665668484
add,125,sentBLEU(default),None,,,27.568673181924417,80.3154665668484
add,130,sentBLEU(default),None,,,76.11606003349888,58.282339541526554
add,145,sentBLEU(default),None,,,35.00482776497398,50.727846440621036
add,162,sentBLEU(default),None,,,22.82484365812206,74.87402156832427
add,165,sentBLEU(default),None,,,73.3154010880495,85.90888738245118
add,175,sentBLEU(default),None,,,67.09293368821515,82.32490471721698
add,177,sentBLEU(default),None,,,15.727800941615351,75.39221180326287
add,184,sentBLEU(default),None,,,20.687206010259402,70.18491170272205
add,201,sentBLEU(default),None,,,42.447266883108064,82.32490471721698
add,218,sentBLEU(default),None,,,63.225548042354085,55.9998185378911
add,219,sentBLEU(default),None,,,65.13190529540448,80.3154665668484
add,224,sentBLEU(default),None,,,82.82477531331043,79.12619863720215
add,230,sentBLEU(default),None,,,62.98129992394241,58.282339541526554
add,231,sentBLEU(default),None,,,50.91224918749458,77.72256411812982
add,232,sentBLEU(default),None,,,19.487233918553624,56.81096832337496
add,234,sentBLEU(default),None,,,44.80304273880272,76.24658586234858
add,240,sentBLEU(default),None,,,41.24914892312113,46.15425015629848
add,244,sentBLEU(default),None,,,55.55238068023588,81.93228857188173
add,246,sentBLEU(default),None,,,67.04084766618305,82.68060631544932
add,247,sentBLEU(default),None,,,60.26286934891149,51.295863824585034
add,249,sentBLEU(default),None,,,54.75235665340891,79.12619863720215
add,250,sentBLEU(default),None,,,43.85068972747104,40.85639059221914
add,251,sentBLEU(default),None,,,57.77966168512882,81.37489370974959
add,253,sentBLEU(default),None,,,88.43865924896839,76.97570474571569
add,259,sentBLEU(default),None,,,36.47838977371949,88.66029039778034
add,260,sentBLEU(default),None,,,54.92875839859339,86.45707301556368
add,263,sentBLEU(default),None,,,54.237828377183035,76.24658586234858
add,268,sentBLEU(default),None,,,19.422069098763885,75.81784550983025
add,269,sentBLEU(default),None,,,54.017258985951415,67.09293368821515
add,270,sentBLEU(default),None,,,83.71837576365554,65.14613449066714
add,273,sentBLEU(default),None,,,69.64705665515706,36.39412530979475
add,276,sentBLEU(default),None,,,42.02431608906194,53.067278118793794
add,279,sentBLEU(default),None,,,70.76618839098694,71.66258375282708
add,291,sentBLEU(default),None,,,54.45178846139407,53.07074109851437
add,292,sentBLEU(default),None,,,19.358307479298794,69.97522298221911
add,303,sentBLEU(default),None,,,50.16568534971866,83.18180062062373
add,308,sentBLEU(default),None,,,78.25422900366432,63.894310424627285
add,310,sentBLEU(default),None,,,48.871645172969465,53.12583871630397
