error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,6,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.002377288,0.0024957373
add,7,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.02225075,0.015093053
add,9,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.024669923,0.023516374
add,23,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.009165521,0.023429647
add,66,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0014433493,0.0016671891
add,94,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.014267227,0.013275752
add,115,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.30484343,0.37685335
add,145,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.43855193,0.74958587
add,150,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.009276319,0.05524767
add,153,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.4965745,0.4188323
add,157,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0013828402,0.0013073504
add,185,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.48155788,0.20580938
add,271,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.09922722,0.005939364
add,293,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0019214491,0.0015042825
add,299,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.023312028,0.0062438115
add,308,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.02301238,0.015804298
add,319,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.076897636,0.037333746
add,324,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0012313867,0.0014974672
add,345,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.030282108,0.112059675
add,360,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0009758405,0.0009178205
add,362,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0016677025,0.0027789134
add,375,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.41733044,0.16963783
add,393,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.012882415,0.010334466
add,394,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.3721515,0.9149436
add,417,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0014146016,0.0051049427
add,418,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.13033096,0.1722632
add,453,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0017446539,0.0011105188
add,455,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.06856206,0.81717074
add,472,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0012142647,0.001285663
add,484,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0020970998,0.0030598864
add,485,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0017385781,0.0025247147
add,493,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.07581883,0.117841795
add,505,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.89508635,0.66346025
add,510,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.013006442,0.022329759
add,540,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.017061647,0.011626769
add,556,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.9005621,0.9162463
add,581,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0056336857,0.08013087
add,609,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.010693443,0.012383164
add,622,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0012382275,0.0012355219
add,625,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.23936395,0.017562568
add,632,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0013932502,0.0031978344
add,641,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0055380105,0.00792595
add,644,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0014441771,0.0011757251
add,669,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0014533424,0.0025120827
add,675,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0017777213,0.0015232908
add,680,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.001303467,0.0026437012
add,692,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.5948913,0.090552814
add,698,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.41408902,0.7365843
add,729,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0013502202,0.003644908
add,739,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.53838253,0.174314
add,748,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0035488948,0.0027224473
add,765,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.033275966,0.09048708
add,766,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0016575677,0.0025466236
add,775,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.001856097,0.0022186534
add,792,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.012693578,0.014738975
add,796,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0012880476,0.0009798834
add,824,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.002384824,0.0026658867
add,862,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0017220594,0.0009251768
add,863,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.005638909,0.014554495
add,883,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.51894104,0.6462943
add,889,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0018426838,0.008748341
add,899,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.39276832,0.48101145
add,901,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0016516949,0.0013444519
add,937,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.84213215,0.8363744
add,939,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0029165929,0.004090666
add,948,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.40259996,0.28870824
add,953,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.007618235,0.011696851
add,954,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.002127876,0.0024670463
add,992,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.090726174,0.11362614
add,1015,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.012313562,0.011382897
add,1021,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.01161021,0.052032754
add,1026,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0009569758,0.00092502654
add,1059,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.008884723,0.009330204
add,1080,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0010675869,0.0012198677
add,1081,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.019300835,0.020570211
add,1129,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.01731684,0.23320663
add,1139,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0019390298,0.0021336088
add,1143,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0013159045,0.002025189
add,1177,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0016041865,0.0019549804
add,1199,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.003424855,0.0015708312
add,1201,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.006482008,0.0024333666
add,1208,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.16671808,0.15102082
