error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,6,NLI1Score(monolingual_hr),None,hr,c,0.12992187,0.0050279386
add,7,NLI1Score(monolingual_hr),None,hr,c,0.078125015,0.0027266345
add,9,NLI1Score(monolingual_hr),None,hr,c,0.004456587,0.0028217842
add,23,NLI1Score(monolingual_hr),None,hr,c,0.0020651282,0.0030559208
add,66,NLI1Score(monolingual_hr),None,hr,c,0.0085990215,0.014024192
add,94,NLI1Score(monolingual_hr),None,hr,c,0.0020813716,0.0035690307
add,115,NLI1Score(monolingual_hr),None,hr,c,0.0017541769,0.0051791887
add,145,NLI1Score(monolingual_hr),None,hr,c,0.0030659037,0.004345837
add,150,NLI1Score(monolingual_hr),None,hr,c,0.0054874257,0.00830848
add,153,NLI1Score(monolingual_hr),None,hr,c,0.26088193,0.011488529
add,157,NLI1Score(monolingual_hr),None,hr,c,0.064403035,0.021218138
add,185,NLI1Score(monolingual_hr),None,hr,c,0.0059746336,0.0057004928
add,271,NLI1Score(monolingual_hr),None,hr,c,0.0035740696,0.028956704
add,293,NLI1Score(monolingual_hr),None,hr,c,0.0070633013,0.0019840384
add,299,NLI1Score(monolingual_hr),None,hr,c,0.0011815144,0.008424478
add,308,NLI1Score(monolingual_hr),None,hr,c,0.008745429,0.036382176
add,319,NLI1Score(monolingual_hr),None,hr,c,0.0026545348,0.002758933
add,324,NLI1Score(monolingual_hr),None,hr,c,0.0048094764,0.031745784
add,345,NLI1Score(monolingual_hr),None,hr,c,0.008544882,0.0040623895
add,360,NLI1Score(monolingual_hr),None,hr,c,0.0016454841,0.016936269
add,362,NLI1Score(monolingual_hr),None,hr,c,0.004421642,0.0103289625
add,375,NLI1Score(monolingual_hr),None,hr,c,0.0029574737,0.008940716
add,393,NLI1Score(monolingual_hr),None,hr,c,0.001525937,0.049429417
add,394,NLI1Score(monolingual_hr),None,hr,c,0.010170689,0.0079032
add,417,NLI1Score(monolingual_hr),None,hr,c,0.004260295,0.0016733394
add,418,NLI1Score(monolingual_hr),None,hr,c,0.0030374746,0.0028111583
add,453,NLI1Score(monolingual_hr),None,hr,c,0.007921628,0.0109679885
add,455,NLI1Score(monolingual_hr),None,hr,c,0.0013538537,0.0010615055
add,472,NLI1Score(monolingual_hr),None,hr,c,0.0017499229,0.0109047955
add,484,NLI1Score(monolingual_hr),None,hr,c,0.009222775,0.011166134
add,485,NLI1Score(monolingual_hr),None,hr,c,0.0028780475,0.003160715
add,493,NLI1Score(monolingual_hr),None,hr,c,0.0030385023,0.045441754
add,505,NLI1Score(monolingual_hr),None,hr,c,0.0051033013,0.022145655
add,510,NLI1Score(monolingual_hr),None,hr,c,0.0016680323,0.0046502687
add,540,NLI1Score(monolingual_hr),None,hr,c,0.0062768925,0.005534036
add,556,NLI1Score(monolingual_hr),None,hr,c,0.0013292803,0.004943574
add,581,NLI1Score(monolingual_hr),None,hr,c,0.009635637,0.002947258
