error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,6,XMoverScore(CLP),None,,,-0.09627817547265172,-0.2548118557191025
add,7,XMoverScore(CLP),None,,,-0.08123190366718702,-0.27671381251069915
add,9,XMoverScore(CLP),None,,,0.20309846277459098,-0.052611038150377265
add,23,XMoverScore(CLP),None,,,-0.13797442053501785,-0.15570656075425882
add,66,XMoverScore(CLP),None,,,-0.09406243812365844,-0.35350899870710895
add,94,XMoverScore(CLP),None,,,0.022152824768066237,-0.01437128768760465
add,115,XMoverScore(CLP),None,,,-0.00019083356836890886,-0.13947272313865378
add,145,XMoverScore(CLP),None,,,-0.13025238781431564,-0.23905993869037434
add,150,XMoverScore(CLP),None,,,-0.18094308515791913,-0.3302425318205672
add,153,XMoverScore(CLP),None,,,0.018027970617945088,-0.17807464715231092
add,157,XMoverScore(CLP),None,,,-0.3525910336735345,-0.46982314111600687
add,185,XMoverScore(CLP),None,,,-0.16961445565650435,-0.2219046948679409
add,271,XMoverScore(CLP),None,,,0.09546895465357383,-0.06822937623312741
add,293,XMoverScore(CLP),None,,,-0.034215756395125974,-0.1926690809054432
add,299,XMoverScore(CLP),None,,,-0.14894300644502023,-0.3177129999133469
add,308,XMoverScore(CLP),None,,,0.2546159277337671,0.09040573752546638
add,319,XMoverScore(CLP),None,,,-0.025752889203105034,-0.20769456415177157
add,324,XMoverScore(CLP),None,,,-0.45022758208774905,-0.706677199090997
add,345,XMoverScore(CLP),None,,,-0.11313368222743803,-0.2902418530956329
add,360,XMoverScore(CLP),None,,,-0.008783242133932334,-0.009435242909725639
add,362,XMoverScore(CLP),None,,,-0.19471582974717971,-0.12120797461679944
add,375,XMoverScore(CLP),None,,,0.09017060628588625,-0.0008763164112525201
add,393,XMoverScore(CLP),None,,,-0.24904354591866218,-0.2648283898212317
add,394,XMoverScore(CLP),None,,,-0.059099988416242255,-0.061486126796709784
add,417,XMoverScore(CLP),None,,,0.006501966802630543,-0.3072101993187458
add,418,XMoverScore(CLP),None,,,-0.24450406389952328,-0.29476444873086116
add,453,XMoverScore(CLP),None,,,-0.275407017041954,-0.3163459133644696
add,455,XMoverScore(CLP),None,,,0.0658553956930642,-0.02871642244255307
add,472,XMoverScore(CLP),None,,,-0.21224041343955924,-0.30107351820981176
