error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,6,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.01036272,0.012856961
add,7,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.40702713,0.3718922
add,9,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.18896843,0.44356415
add,23,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0027539404,0.006810779
add,66,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0021670596,0.0020420207
add,94,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.090020984,0.51584756
add,115,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.067797676,0.09117348
add,145,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.20104305,0.21429484
add,150,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.37269655,0.36663842
add,153,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.3782245,0.36928585
add,157,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0017533373,0.0028945322
add,159,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0056633693,0.0051697004
add,185,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0016925454,0.0055837273
add,271,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.84131205,0.8904949
add,299,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0028744822,0.002909066
add,308,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.17991498,0.23016712
add,324,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.002047625,0.0023421533
add,345,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0022626994,0.00372607
add,360,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0010236067,0.0012846815
add,362,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.015146073,0.009490263
add,375,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.07728465,0.015891012
add,379,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0020402109,0.0029856937
add,393,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.004733174,0.0055919844
add,394,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.011877223,0.013177546
add,417,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0010333095,0.0028240683
add,418,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.24836257,0.48159128
add,436,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.028575728,0.013803604
add,453,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0007494463,0.0007446119
add,455,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.033172105,0.05332596
add,472,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.0009279902,0.00093815045
add,484,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.06542414,0.037348248
add,485,NLI1Score(crosslingual(xlm-roberta-base+2)_hr),xlm-roberta-base,hr,c,0.005601343,0.0019392116
