error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,1015,XMoverScore(UMD),None,,,-0.5191319585075034,-0.5982693740809907
add,1021,XMoverScore(UMD),None,,,-0.7275026814105197,-0.7766572094706058
add,1026,XMoverScore(UMD),None,,,-0.37984758054533585,-0.5522482445994752
add,1059,XMoverScore(UMD),None,,,-0.5037204762255318,-0.7230366846270069
add,1080,XMoverScore(UMD),None,,,-0.5015803545718174,-0.5412264973493284
add,1081,XMoverScore(UMD),None,,,-0.26315428242728334,-0.33314366319165656
add,1100,XMoverScore(UMD),None,,,-0.5019583863253585,-0.643804409521714
add,1129,XMoverScore(UMD),None,,,-0.5061656377314402,-0.7414953063635049
add,1139,XMoverScore(UMD),None,,,-0.5308611954209144,-0.6287519446120182
add,1143,XMoverScore(UMD),None,,,-0.4363864698479727,-0.3655883594403324
add,115,XMoverScore(UMD),None,,,-0.5250961402278018,-0.6769528026052714
add,1177,XMoverScore(UMD),None,,,-0.4812099366685706,-0.7735357367335616
add,1199,XMoverScore(UMD),None,,,-0.6295029015281939,-0.7538544055283656
add,1201,XMoverScore(UMD),None,,,-0.18796414991481986,-0.2624790798568952
add,1208,XMoverScore(UMD),None,,,-0.4700216941430844,-0.41830244713053394
add,1223,XMoverScore(UMD),None,,,-0.4537866797151332,-0.7375095647138655
add,1242,XMoverScore(UMD),None,,,-0.41639846028395755,-0.5936146875357139
add,1247,XMoverScore(UMD),None,,,-0.6911418934640176,-0.6971480961626025
add,1256,XMoverScore(UMD),None,,,-0.2380727409614269,-0.36668696676354795
add,1260,XMoverScore(UMD),None,,,-0.4415949546279805,-0.4771367448425249
add,1267,XMoverScore(UMD),None,,,-0.5955966415350393,-0.6879428766300604
add,1271,XMoverScore(UMD),None,,,-0.5922161166399456,-0.6261791415321483
add,1304,XMoverScore(UMD),None,,,-0.528891266491591,-0.5603623457148179
add,1305,XMoverScore(UMD),None,,,-0.5689434988661999,-0.5734979755620551
add,1320,XMoverScore(UMD),None,,,-0.4556707251083682,-0.5011111601494682
add,1366,XMoverScore(UMD),None,,,-0.6007593996666248,-0.482978331650457
add,1368,XMoverScore(UMD),None,,,-0.4890809333317016,-0.5504817512828193
add,1379,XMoverScore(UMD),None,,,-0.49752431161031496,-0.6575890684900613
add,1384,XMoverScore(UMD),None,,,-0.4451263257549466,-0.562543414111474
add,1439,XMoverScore(UMD),None,,,-0.38313749497461735,-0.526797963092229
add,1444,XMoverScore(UMD),None,,,-0.49711854399134475,-0.5887337556709651
add,145,XMoverScore(UMD),None,,,-0.36891955722902464,-0.5950161315842203
add,1466,XMoverScore(UMD),None,,,-0.533787449226883,-0.533056070815436
add,1479,XMoverScore(UMD),None,,,-0.2503246875075315,-0.37765878327442115
add,1482,XMoverScore(UMD),None,,,-0.5758289253314233,-0.6232130614773249
add,1498,XMoverScore(UMD),None,,,-0.47038309455218236,-0.5196388810748099
add,150,XMoverScore(UMD),None,,,-0.5620603892882632,-0.7220457939721923
add,1520,XMoverScore(UMD),None,,,-0.3011142495308933,-0.47759343465541726
add,153,XMoverScore(UMD),None,,,-0.3954517531153881,-0.5241017868478728
add,1560,XMoverScore(UMD),None,,,-0.2862814601880828,-0.3587366349382628
add,1565,XMoverScore(UMD),None,,,-0.07731081363340314,-0.20108672878216438
add,1579,XMoverScore(UMD),None,,,-0.4224285353844829,-0.7374565493170541
add,159,XMoverScore(UMD),None,,,-0.43211009478220996,-0.5271227012415967
add,1604,XMoverScore(UMD),None,,,-0.24004298350691006,-0.31776488678086695
add,1605,XMoverScore(UMD),None,,,-0.525846827294342,-0.6471667166349013
add,1610,XMoverScore(UMD),None,,,-0.6547279648506645,-0.6902023063567222
add,1643,XMoverScore(UMD),None,,,-0.3760529629653016,-0.4406049217229221
add,1666,XMoverScore(UMD),None,,,-0.6109250422250855,-0.6143782336264235
add,1683,XMoverScore(UMD),None,,,-0.6226512808019085,-0.6266288121819146
add,1699,XMoverScore(UMD),None,,,-0.3973823204004701,-0.5336427165949836
add,1710,XMoverScore(UMD),None,,,-0.5412810590862789,-0.668239899726099
add,1726,XMoverScore(UMD),None,,,-0.16068664809866345,-0.42032470558681906
add,1728,XMoverScore(UMD),None,,,-0.26155543565594636,-0.4322487300343976
add,1739,XMoverScore(UMD),None,,,-0.3995169577808757,-0.5703388326402209
add,1747,XMoverScore(UMD),None,,,-0.42830863830052923,-0.5525890387145972
add,1763,XMoverScore(UMD),None,,,-0.4179214237405058,-0.7123253678206231
add,1804,XMoverScore(UMD),None,,,-0.2778661315286224,-0.4311925745579952
add,1829,XMoverScore(UMD),None,,,-0.4552160777207512,-0.47470626320284326
add,1835,XMoverScore(UMD),None,,,-0.6961389753146385,-0.670339080434091
add,185,XMoverScore(UMD),None,,,-0.5741967050145511,-0.630537243633886
add,1883,XMoverScore(UMD),None,,,-0.32239236858522763,-0.6213199757196363
add,1915,XMoverScore(UMD),None,,,-0.32590196958189893,-0.5589672911222685
add,1917,XMoverScore(UMD),None,,,-0.4015084566938711,-0.46159263826127234
add,1941,XMoverScore(UMD),None,,,-0.6232976749478325,-0.4959059045186424
add,1946,XMoverScore(UMD),None,,,-0.3387331843101443,-0.40848598006071224
