error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,6,XMoverScore(CLP),None,,,-0.48346756780050826,-0.6972820090971997
add,7,XMoverScore(CLP),None,,,-0.34582411100516475,-0.541242965741794
add,9,XMoverScore(CLP),None,,,-0.193724786032497,-0.2391319938173489
add,23,XMoverScore(CLP),None,,,-0.22587543150430334,-0.27180484032871693
add,66,XMoverScore(CLP),None,,,-0.43670322011399687,-0.537670232362319
add,94,XMoverScore(CLP),None,,,-0.5554988614126971,-0.6775435008412954
add,115,XMoverScore(CLP),None,,,-0.3233651885257538,-0.4576558385453245
add,145,XMoverScore(CLP),None,,,-0.4252080765509663,-0.4579437647670344
add,150,XMoverScore(CLP),None,,,-0.4817389918035275,-0.48945664462687954
add,153,XMoverScore(CLP),None,,,-0.24799928058966253,-0.44212729312996146
add,157,XMoverScore(CLP),None,,,-0.49182506074895027,-0.6706756792560619
add,159,XMoverScore(CLP),None,,,-0.18480591173968364,-0.38640385228842156
add,185,XMoverScore(CLP),None,,,-0.7063278311654566,-0.7671447247834294
add,293,XMoverScore(CLP),None,,,-0.24854879066812507,-0.3470745499074987
add,299,XMoverScore(CLP),None,,,-0.48161575928786815,-0.5172920795807656
add,308,XMoverScore(CLP),None,,,-0.3072927446593892,-0.4267034604174313
add,319,XMoverScore(CLP),None,,,-0.5123408934111982,-0.7066859212419869
add,324,XMoverScore(CLP),None,,,-0.5776446819369275,-0.6669254543123401
add,345,XMoverScore(CLP),None,,,-0.4039642458639918,-0.4763735585046455
add,360,XMoverScore(CLP),None,,,-0.07151678070099143,-0.1866718372833545
add,362,XMoverScore(CLP),None,,,-0.5285481158896019,-0.4837149158355962
add,375,XMoverScore(CLP),None,,,-0.31215078207451097,-0.35681540570761755
add,379,XMoverScore(CLP),None,,,-0.27510053286219543,-0.4709220761785884
add,393,XMoverScore(CLP),None,,,-0.36215733672241657,-0.42563281116509255
add,417,XMoverScore(CLP),None,,,-0.34636908361366553,-0.59798886093421
add,418,XMoverScore(CLP),None,,,-0.3467703157849834,-0.5166837120745316
add,436,XMoverScore(CLP),None,,,-0.482869894437465,-0.5227643689404271
add,453,XMoverScore(CLP),None,,,-0.5462571646010781,-0.6522598711009747
add,455,XMoverScore(CLP),None,,,-0.3994498183669589,-0.44305079907481915
add,472,XMoverScore(CLP),None,,,-0.33077248789710434,-0.4417241009705488
add,484,XMoverScore(CLP),None,,,-0.5682594930651904,-0.46813212987833475
add,485,XMoverScore(CLP),None,,,-0.348258358352749,-0.4152707042413257
add,493,XMoverScore(CLP),None,,,-0.30385203948767603,-0.24315853609704086
add,505,XMoverScore(CLP),None,,,-0.6302482758260652,-0.7576300816292713
add,510,XMoverScore(CLP),None,,,-0.5045291751763492,-0.6022907982046093
add,540,XMoverScore(CLP),None,,,-0.43276296180416896,-0.378474894921977
add,556,XMoverScore(CLP),None,,,-0.1298187528492688,-0.24025508385706523
add,581,XMoverScore(CLP),None,,,-0.4286431779647587,-0.47891336606991664
add,609,XMoverScore(CLP),None,,,-0.207481314790383,-0.2313395301596135
add,617,XMoverScore(CLP),None,,,-0.3839473298291041,-0.44532998798371226
add,622,XMoverScore(CLP),None,,,-0.25647118663335877,-0.3431522016039533
add,625,XMoverScore(CLP),None,,,-0.41043448795159226,-0.4896982807120853
add,630,XMoverScore(CLP),None,,,-0.4236559526384647,-0.5350924606194015
add,632,XMoverScore(CLP),None,,,-0.4499741116910463,-0.5601933698208568
add,644,XMoverScore(CLP),None,,,-0.47335472393597683,-0.47754422343284
add,669,XMoverScore(CLP),None,,,-0.863522379191831,-1.0107274464442284
add,675,XMoverScore(CLP),None,,,-0.2805513595838075,-0.5374050462996249
add,680,XMoverScore(CLP),None,,,-0.6160244593582556,-0.65028060021944
add,684,XMoverScore(CLP),None,,,-0.6696501607573274,-0.8020368814715412
add,692,XMoverScore(CLP),None,,,-0.3103583063792234,-0.32585225225953174
add,698,XMoverScore(CLP),None,,,-0.6477184654651553,-0.6480967075655591
add,729,XMoverScore(CLP),None,,,-0.5545830781085367,-0.6227376082628076
add,739,XMoverScore(CLP),None,,,-0.624914862223325,-0.8320693185493654
add,748,XMoverScore(CLP),None,,,-0.16997787929631952,-0.33615309102446045
add,765,XMoverScore(CLP),None,,,-0.3732129128692856,-0.5598850986358601
add,766,XMoverScore(CLP),None,,,-0.5544915173705196,-0.7337252957838838
add,775,XMoverScore(CLP),None,,,-0.5088869367421708,-0.49370185566111235
add,792,XMoverScore(CLP),None,,,-0.5076717763388106,-0.6020257609986743
add,796,XMoverScore(CLP),None,,,-0.3557428916897882,-0.3118962581387701
add,824,XMoverScore(CLP),None,,,-0.458911010447152,-0.4478147805368972
add,862,XMoverScore(CLP),None,,,-0.4064596570482668,-0.4709882434786527
add,863,XMoverScore(CLP),None,,,-0.41497976163849415,-0.4812163038404249
add,866,XMoverScore(CLP),None,,,-0.5460991281456553,-0.4795857623611707
