setup,metric,nli_metric,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,wmt15,mt,5.299564756798381,36.10674363372483,0.7531099564222598,0.582646741139325,0.7930215062527535
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,wmt15,mt,7.32589179070344,38.72590711040954,0.7531099564222598,0.582646741139325,0.8082819768947683
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,wmt15,mt,6.400388546102616,37.529632148248005,0.7531099564222598,0.582646741139325,0.8013119198126685
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,wmt15,mt,3.3494217136253592,33.58605307019517,0.7531099564222598,0.582646741139325,0.7783347848301414
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,wmt15,mt,-0.90534021428518,28.08648816427979,0.7531099564222598,0.582646741139325,0.7462917491289834
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,wmt15,mt,-5.6293812056916614,21.98034862213076,0.7531099564222598,0.582646741139325,0.7107145260772324
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,wmt15,mt,-10.352011705332556,15.876032235106624,0.7531099564222598,0.582646741139325,0.6751479255794025
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,wmt15,mt,-14.820403703518483,10.100336147884057,0.7531099564222598,0.582646741139325,0.6414960205490887
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,wmt15,mt,-18.924299401080592,4.795775954328564,0.7531099564222598,0.582646741139325,0.6105891734495638
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,wmt16,mt,4.727377036763543,46.04642910076293,0.7163618057337994,0.5136907036053541,0.7502269292382037
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,wmt16,mt,6.468070059489314,48.47389369810952,0.7163618057337994,0.5136907036053541,0.7626965892080843
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,wmt16,mt,5.271894230247146,46.80577965400302,0.7163618057337994,0.5136907036053541,0.7541276424379738
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,wmt16,mt,1.793802277410023,41.955444200479285,0.7163618057337994,0.5136907036053541,0.7292119201195478
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,wmt16,mt,-3.067241541007765,35.17652820477896,0.7163618057337994,0.5136907036053541,0.6943892588444189
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,wmt16,mt,-8.512319492039477,27.58315373647426,0.7163618057337994,0.5136907036053541,0.6553828001107952
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,wmt16,mt,-13.991383754152908,19.942384026235345,0.7163618057337994,0.5136907036053541,0.6161328764254042
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,wmt16,mt,-19.192836563336535,12.688754360224216,0.7163618057337994,0.5136907036053541,0.5788716551571449
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,wmt16,mt,-23.97371014843454,6.021638894889687,0.7163618057337994,0.5136907036053541,0.5446233028130866
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,wmt17,mt,6.274851467235772,34.61085931458629,0.7212746832667308,0.5694441014755729,0.7665335983124935
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,wmt17,mt,9.183550187405764,38.295102847309856,0.7212746832667308,0.5694441014755729,0.787513305793583
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,wmt17,mt,8.823253113956603,37.83873995434007,0.7212746832667308,0.5694441014755729,0.7849145742182433
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,wmt17,mt,5.995221925937147,34.25667229551005,0.7212746832667308,0.5694441014755729,0.7645167012241716
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,wmt17,mt,1.7153906993601427,28.835711916106042,0.7212746832667308,0.5694441014755729,0.7336473621003277
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,wmt17,mt,-3.1712573280377105,22.64613949088605,0.7212746832667308,0.5694441014755729,0.6984012070183538
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,wmt17,mt,-8.114094176031445,16.3853966493365,0.7212746832667308,0.5694441014755729,0.6627497761985958
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,wmt17,mt,-12.814316624202608,10.431956357650108,0.7212746832667308,0.5694441014755729,0.6288482616227175
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,wmt17,mt,-17.13915032861389,4.953994513375312,0.7212746832667308,0.5694441014755729,0.5976543310194121
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,wmt20_mqm,mt,9.570793682602526,36.53093769116522,0.4141544296754225,0.33237323594268464,0.45379229566701634
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,wmt20_mqm,mt,12.3399432102014,39.98144278383894,0.4141544296754225,0.33237323594268464,0.4652608510999031
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,wmt20_mqm,mt,10.158534136269326,37.26329302565889,0.4141544296754225,0.33237323594268464,0.4562264487908718
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,wmt20_mqm,mt,5.5832442517452545,31.562242616619475,0.4141544296754225,0.33237323594268464,0.43727768306362386
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,wmt20_mqm,mt,0.350082461913417,25.041449417612444,0.4141544296754225,0.33237323594268464,0.4156043116989537
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,wmt20_mqm,mt,-4.7003961631648945,18.748288993233643,0.4141544296754225,0.33237323594268464,0.3946875307533815
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,wmt20_mqm,mt,-9.257560599858204,13.069823839856195,0.4141544296754225,0.33237323594268464,0.3758138323712231
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,wmt20_mqm,mt,-13.257024274778836,8.086282994287156,0.4141544296754225,0.33237323594268464,0.3592498763982799
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,wmt20_mqm,mt,-16.731994208624783,3.7562887725520966,0.4141544296754225,0.33237323594268464,0.3448581344873678
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,wmt21.news_mqm,mt,8.157635163808784,38.46509411156503,0.32791524264904903,0.256140635346778,0.35466537179087676
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,wmt21.news_mqm,mt,9.104297163234047,39.67702559142529,0.32791524264904903,0.256140635346778,0.35776962078335844
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,wmt21.news_mqm,mt,5.797850048664117,35.44406034398399,0.32791524264904903,0.256140635346778,0.346927276704554
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,wmt21.news_mqm,mt,0.9155436223493449,29.193655388501167,0.32791524264904903,0.256140635346778,0.3309174497398338
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,wmt21.news_mqm,mt,-4.114234949861597,22.754454288119085,0.32791524264904903,0.256140635346778,0.3144240391300584
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,wmt21.news_mqm,mt,-8.729576027407324,16.845822542505793,0.32791524264904903,0.256140635346778,0.2992896322365431
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,wmt21.news_mqm,mt,-12.78056545059005,11.65968260077708,0.32791524264904903,0.256140635346778,0.28600582043982614
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,wmt21.news_mqm,mt,-16.279414307968683,7.1804016366054,0.32791524264904903,0.256140635346778,0.2745325617192295
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,wmt21.news_mqm,mt,-19.290687970929003,3.325322052940485,0.32791524264904903,0.256140635346778,0.2646581363805063
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,wmt21.news,mt,1.16557531803149,10.738624556781543,0.6861350359038629,0.6268205509224168,0.6941324565307249
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,wmt21.news,mt,1.896749258153139,11.538987686099924,0.6861350359038629,0.6268205509224168,0.6991492971072982
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,wmt21.news,mt,2.1692292898709895,11.837251832147288,0.6861350359038629,0.6268205509224168,0.7010188780707564
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,wmt21.news,mt,1.9677185150279453,11.616672588967592,0.6861350359038629,0.6268205509224168,0.6996362420434369
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,wmt21.news,mt,1.2877808150131829,10.872394058971272,0.6861350359038629,0.6268205509224168,0.6949709512613167
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,wmt21.news,mt,0.13682737094951283,9.612528725098317,0.6861350359038629,0.6268205509224168,0.6870738564346537
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,wmt21.news,mt,-1.466185837448908,7.8578263247378795,0.6861350359038629,0.6268205509224168,0.6760750211816655
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,wmt21.news,mt,-3.491849240291546,5.6404793829484685,0.6861350359038629,0.6268205509224168,0.6621762348652798
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,wmt21.news,mt,-5.901070033848846,3.0032799591976445,0.6861350359038629,0.6268205509224168,0.645645726908402
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,wmt20,mt,2.4729499123154994,-3.3418452081306262,0.8352951726495519,0.8855451521211586,0.8559516038891646
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,wmt20,mt,4.445456564394887,-1.4812678219245563,0.8352951726495519,0.8855451521211586,0.872427856734175
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,wmt20,mt,5.9519417041731995,-0.06026770475272913,0.8352951726495519,0.8855451521211586,0.8850114543834261
