dataset,metric,nli,nli_weight,level,correlation,litepyramid
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,summary,pearson,0.4781078400301716
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,summary,pearson,0.5256281649966907
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,summary,pearson,0.5466512383900062
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,summary,pearson,0.5563353832781001
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summary,pearson,0.5543042313735156
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summary,pearson,0.5541440393757144
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summary,pearson,0.5528704801279741
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summary,pearson,0.546921379356995
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summary,pearson,0.5473133938528305
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summary,pearson,0.5450342909415871
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,summary,pearson,0.5469013012493166
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,system,pearson,0.5309584244634032
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,system,pearson,0.6263162008499815
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,system,pearson,0.713363108086923
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,system,pearson,0.7851893492463577
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,system,pearson,0.8376294248170852
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,system,pearson,0.8703647769268892
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,system,pearson,0.8861740196498695
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,system,pearson,0.889231541664322
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,system,pearson,0.8836522797013763
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,system,pearson,0.8727629876642942
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,system,pearson,0.8589554882217096
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,summary,pearson,0.4781078400301716
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,summary,pearson,0.4984840941551523
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,summary,pearson,0.5127869742093467
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,summary,pearson,0.5090847525482599
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,summary,pearson,0.5290382370393517
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,summary,pearson,0.5358619966423852
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,summary,pearson,0.560501910637186
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,summary,pearson,0.5660569355249596
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,summary,pearson,0.5595012378573817
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,summary,pearson,0.5461374386923182
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,summary,pearson,0.49058368452380696
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,system,pearson,0.5309584244634032
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,system,pearson,0.5765009958094607
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,system,pearson,0.6254612430664496
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,system,pearson,0.6766380785713477
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,system,pearson,0.7277988981653994
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,system,pearson,0.7754781784208066
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,system,pearson,0.8151641774043438
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,system,pearson,0.8421509483095414
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,system,pearson,0.8529788491317385
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,system,pearson,0.8467632936731474
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,system,pearson,0.8255009888658169
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,summary,pearson,0.582589639366533
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,summary,pearson,0.5972973415017814
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,summary,pearson,0.6038009669557257
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,summary,pearson,0.5910847564213715
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,summary,pearson,0.5840714227424837
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,summary,pearson,0.5800556991477691
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,summary,pearson,0.570383619822348
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,summary,pearson,0.5668837439867993
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,summary,pearson,0.5569525299412723
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,summary,pearson,0.5477683574363782
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,1.0,summary,pearson,0.5469013012493166
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,system,pearson,0.6871432684440233
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,system,pearson,0.7837589428778015
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,system,pearson,0.8538800528707896
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,system,pearson,0.896669949527243
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,system,pearson,0.9168110150964549
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,system,pearson,0.9209507695036071
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,system,pearson,0.9150833611533464
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,system,pearson,0.9036055739768858
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,system,pearson,0.8893881776942635
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,system,pearson,0.8741722195990071
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,1.0,system,pearson,0.8589554882217096
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.0,summary,pearson,0.582589639366533
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,summary,pearson,0.5923699919086151
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.2,summary,pearson,0.5963051610083729
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.3,summary,pearson,0.5973644378482402
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.4,summary,pearson,0.6035304686609242
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.5,summary,pearson,0.5912462555248433
