dataset,metric,nli,nli_weight,level,correlation,litepyramid
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,summary,pearson,0.4781078400301716
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,summary,pearson,0.5204232720255576
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,summary,pearson,0.5169455002213467
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,summary,pearson,0.5117582183192537
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summary,pearson,0.4940723851060782
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summary,pearson,0.5004599391899864
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summary,pearson,0.4078693783034564
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summary,pearson,0.40064215744909565
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summary,pearson,0.354495488966696
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summary,pearson,0.30589912705473055
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,summary,pearson,0.28023372214312803
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,system,pearson,0.5309584244634032
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,system,pearson,0.598313812045767
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,system,pearson,0.6634567643423899
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,system,pearson,0.7184087968706057
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,system,pearson,0.7548457742551985
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,system,pearson,0.7679675060076034
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,system,pearson,0.7589591711263112
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,system,pearson,0.7336858423137003
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,system,pearson,0.6992420449084213
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,system,pearson,0.6613836228560934
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,system,pearson,0.6237893160953228
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,summary,pearson,0.4781078400301716
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,summary,pearson,0.4791199552938565
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,summary,pearson,0.47603280238568474
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,summary,pearson,0.46635663146195805
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,summary,pearson,0.46448232978737486
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,summary,pearson,0.4631897783279057
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,summary,pearson,0.4639650214620519
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,summary,pearson,0.5097484336890263
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,summary,pearson,0.5057643669012749
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,summary,pearson,0.5100346118522315
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,summary,pearson,0.5276799649155213
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,system,pearson,0.5309584244634032
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,system,pearson,0.5499425935377111
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,system,pearson,0.5700230673917402
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,system,pearson,0.5899031738148444
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,system,pearson,0.6068451165250394
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,system,pearson,0.6158699887955764
