dataset,metric,nli,nli_weight,level,correlation,litepyramid
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,summary,pearson,0.17766330488528692
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,summary,pearson,0.18389320298798853
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,summary,pearson,0.19085305331367045
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,summary,pearson,0.19552635702741705
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summary,pearson,0.19711649307087695
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summary,pearson,0.238915030502494
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summary,pearson,0.24261218448909946
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summary,pearson,0.25444517898571833
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summary,pearson,0.29339380434773243
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summary,pearson,0.24315826347204664
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,summary,pearson,0.30013608296545796
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,system,pearson,-0.023042313024402183
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,system,pearson,-0.015637538182831732
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,system,pearson,-0.006380183822162164
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,system,pearson,0.005516796149272737
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,system,pearson,0.02135294010913276
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,system,pearson,0.04342868581834411
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,system,pearson,0.07620119227426385
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,system,pearson,0.12939627375365742
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,system,pearson,0.22761601804426884
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,system,pearson,0.4362220167349655
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,system,pearson,0.6879147771811381
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,summary,pearson,0.17766330488528692
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,summary,pearson,0.19627900731784478
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,summary,pearson,0.19880476409734274
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,summary,pearson,0.20092173523006204
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,summary,pearson,0.2026258989491345
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,summary,pearson,0.18808919404555824
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,summary,pearson,0.18900502813556821
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,summary,pearson,0.17115631720143834
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,summary,pearson,0.22778725762753838
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,summary,pearson,0.16789121267797602
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,summary,pearson,-0.07612301625651761
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,system,pearson,-0.023042313024402183
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,system,pearson,-0.017192909413171788
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,system,pearson,-0.00993546388380312
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,system,pearson,-0.0006965837214778942
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,system,pearson,0.011453474396041158
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,system,pearson,0.028123424870799146
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,system,pearson,0.052340884986594886
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,system,pearson,0.09047558620328805
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,system,pearson,0.15805533167675678
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,system,pearson,0.29898424821891095
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,system,pearson,0.5682362799519799
realsumm,SUPERT_default,NLI1Score_monolingual,0.0,summary,pearson,0.5217287156629147
realsumm,SUPERT_default,NLI1Score_monolingual,0.1,summary,pearson,0.5624541853060626
realsumm,SUPERT_default,NLI1Score_monolingual,0.2,summary,pearson,0.5648265291176545
realsumm,SUPERT_default,NLI1Score_monolingual,0.3,summary,pearson,0.5707401014145784
realsumm,SUPERT_default,NLI1Score_monolingual,0.4,summary,pearson,0.5687141776985886
realsumm,SUPERT_default,NLI1Score_monolingual,0.5,summary,pearson,0.5639972899768403
realsumm,SUPERT_default,NLI1Score_monolingual,0.6,summary,pearson,0.5304535504859016
realsumm,SUPERT_default,NLI1Score_monolingual,0.7,summary,pearson,0.5128317781095998
realsumm,SUPERT_default,NLI1Score_monolingual,0.8,summary,pearson,0.502359699230713
realsumm,SUPERT_default,NLI1Score_monolingual,0.9,summary,pearson,0.4898168556803231
realsumm,SUPERT_default,NLI1Score_monolingual,1.0,summary,pearson,0.30013608296545796
realsumm,SUPERT_default,NLI1Score_monolingual,0.0,system,pearson,0.6263008981528478
realsumm,SUPERT_default,NLI1Score_monolingual,0.1,system,pearson,0.6322440990558758
realsumm,SUPERT_default,NLI1Score_monolingual,0.2,system,pearson,0.6395298503909799
realsumm,SUPERT_default,NLI1Score_monolingual,0.3,system,pearson,0.6486616925523299
realsumm,SUPERT_default,NLI1Score_monolingual,0.4,system,pearson,0.6604225879184881
realsumm,SUPERT_default,NLI1Score_monolingual,0.5,system,pearson,0.6760880394742226
realsumm,SUPERT_default,NLI1Score_monolingual,0.6,system,pearson,0.697841977977529
realsumm,SUPERT_default,NLI1Score_monolingual,0.7,system,pearson,0.729554346123604
realsumm,SUPERT_default,NLI1Score_monolingual,0.8,system,pearson,0.7773964784993876
realsumm,SUPERT_default,NLI1Score_monolingual,0.9,system,pearson,0.836177042630089
realsumm,SUPERT_default,NLI1Score_monolingual,1.0,system,pearson,0.6879147771811381
realsumm,SUPERT_default,NLI2Score_monolingual,0.0,summary,pearson,0.5217287156629147
