dataset,metric,nli,nli_weight,level,correlation,litepyramid
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,summary,pearson,0.17766330488528692
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,summary,pearson,0.18225160909824187
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,summary,pearson,0.18529786658240122
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,summary,pearson,0.16317981925082306
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summary,pearson,0.07937504468174189
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summary,pearson,-0.011574522888846405
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summary,pearson,-0.09106414460282937
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summary,pearson,-0.11061391806828355
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summary,pearson,-0.09420397232188302
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summary,pearson,-0.16918574250027754
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,summary,pearson,-0.19955921087256312
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,system,pearson,-0.023042313024402183
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,system,pearson,-0.033811955071751026
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,system,pearson,-0.04754811872718287
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,system,pearson,-0.06554240151082241
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,system,pearson,-0.08981997085669766
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,system,pearson,-0.12349266423583712
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,system,pearson,-0.1706098022448902
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,system,pearson,-0.23231290786278022
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,system,pearson,-0.2918592102797961
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,system,pearson,-0.31039147031450276
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,system,pearson,-0.2849185399021075
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,summary,pearson,0.17766330488528692
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,summary,pearson,0.1996714253533341
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,summary,pearson,0.20271389087322286
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,summary,pearson,0.1578594427483673
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,summary,pearson,0.19448161085156326
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,summary,pearson,0.05300263999861495
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,summary,pearson,0.08149119692250684
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,summary,pearson,0.08733809542291072
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,summary,pearson,-0.026976153020900714
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,summary,pearson,-0.10922762064258836
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,summary,pearson,-0.08768207249236018
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,system,pearson,-0.023042313024402183
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,system,pearson,-0.02636776318817714
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,system,pearson,-0.030341293035108744
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,system,pearson,-0.03516407612178364
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,system,pearson,-0.04112460203746514
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,system,pearson,-0.048646597073292414
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,system,pearson,-0.058365230871386065
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,system,pearson,-0.07123846185648192
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,system,pearson,-0.08865229850710399
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,system,pearson,-0.11220229735891595
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,system,pearson,-0.14170553130296545
realsumm,SUPERT_default,NLI1Score_monolingual,0.0,summary,pearson,0.5217287156629147
realsumm,SUPERT_default,NLI1Score_monolingual,0.1,summary,pearson,0.5544593994944065
realsumm,SUPERT_default,NLI1Score_monolingual,0.2,summary,pearson,0.5660538505516454
realsumm,SUPERT_default,NLI1Score_monolingual,0.3,summary,pearson,0.5537154108546085
realsumm,SUPERT_default,NLI1Score_monolingual,0.4,summary,pearson,0.5402650393347108
realsumm,SUPERT_default,NLI1Score_monolingual,0.5,summary,pearson,0.5329593639123696
realsumm,SUPERT_default,NLI1Score_monolingual,0.6,summary,pearson,0.477124486759066
realsumm,SUPERT_default,NLI1Score_monolingual,0.7,summary,pearson,0.4143597714401728
realsumm,SUPERT_default,NLI1Score_monolingual,0.8,summary,pearson,0.25874547835896383
realsumm,SUPERT_default,NLI1Score_monolingual,0.9,summary,pearson,-0.026111317027290082
realsumm,SUPERT_default,NLI1Score_monolingual,1.0,summary,pearson,-0.19955921087256312
realsumm,SUPERT_default,NLI1Score_monolingual,0.0,system,pearson,0.6263008981528478
realsumm,SUPERT_default,NLI1Score_monolingual,0.1,system,pearson,0.632520803511491
realsumm,SUPERT_default,NLI1Score_monolingual,0.2,system,pearson,0.6401055622139927
realsumm,SUPERT_default,NLI1Score_monolingual,0.3,system,pearson,0.6493409002484554
realsumm,SUPERT_default,NLI1Score_monolingual,0.4,system,pearson,0.6601609802979275
realsumm,SUPERT_default,NLI1Score_monolingual,0.5,system,pearson,0.6704519032944632
realsumm,SUPERT_default,NLI1Score_monolingual,0.6,system,pearson,0.6673379340764654
realsumm,SUPERT_default,NLI1Score_monolingual,0.7,system,pearson,0.5846584973260666
realsumm,SUPERT_default,NLI1Score_monolingual,0.8,system,pearson,0.26662690593868016
realsumm,SUPERT_default,NLI1Score_monolingual,0.9,system,pearson,-0.09655972560541193
realsumm,SUPERT_default,NLI1Score_monolingual,1.0,system,pearson,-0.2849185399021075
realsumm,SUPERT_default,NLI2Score_monolingual,0.0,summary,pearson,0.5217287156629147
realsumm,SUPERT_default,NLI2Score_monolingual,0.1,summary,pearson,0.5463678770550849
realsumm,SUPERT_default,NLI2Score_monolingual,0.2,summary,pearson,0.5439639144528279
realsumm,SUPERT_default,NLI2Score_monolingual,0.3,summary,pearson,0.547604115817591
realsumm,SUPERT_default,NLI2Score_monolingual,0.4,summary,pearson,0.5151425862450302
realsumm,SUPERT_default,NLI2Score_monolingual,0.5,summary,pearson,0.46086666074584653
realsumm,SUPERT_default,NLI2Score_monolingual,0.6,summary,pearson,0.4008740223951153
realsumm,SUPERT_default,NLI2Score_monolingual,0.7,summary,pearson,0.36730766445979784
realsumm,SUPERT_default,NLI2Score_monolingual,0.8,summary,pearson,0.2695014107291819
realsumm,SUPERT_default,NLI2Score_monolingual,0.9,summary,pearson,0.1631966350149095
realsumm,SUPERT_default,NLI2Score_monolingual,1.0,summary,pearson,-0.08768207249236018
realsumm,SUPERT_default,NLI2Score_monolingual,0.0,system,pearson,0.6263008981528478
realsumm,SUPERT_default,NLI2Score_monolingual,0.1,system,pearson,0.6165415576397414
realsumm,SUPERT_default,NLI2Score_monolingual,0.2,system,pearson,0.604057936932085
realsumm,SUPERT_default,NLI2Score_monolingual,0.3,system,pearson,0.5876486889136046
realsumm,SUPERT_default,NLI2Score_monolingual,0.4,system,pearson,0.56536572908208
realsumm,SUPERT_default,NLI2Score_monolingual,0.5,system,pearson,0.5339099257374572
realsumm,SUPERT_default,NLI2Score_monolingual,0.6,system,pearson,0.48745329958524475
realsumm,SUPERT_default,NLI2Score_monolingual,0.7,system,pearson,0.41542329032280345
realsumm,SUPERT_default,NLI2Score_monolingual,0.8,system,pearson,0.29929378457418265
realsumm,SUPERT_default,NLI2Score_monolingual,0.9,system,pearson,0.11406252469269318
realsumm,SUPERT_default,NLI2Score_monolingual,1.0,system,pearson,-0.14170553130296545
