dataset,metric,nli,nli_weight,level,correlation,litepyramid
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,summary,pearson,0.17766330488528692
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,summary,pearson,0.18111484666402802
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,summary,pearson,0.1608082590894304
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,summary,pearson,0.07992541549598174
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summary,pearson,0.06362934481173722
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summary,pearson,-0.06550063924503151
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summary,pearson,-0.12679074619330993
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summary,pearson,-0.16731262580229922
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summary,pearson,-0.22097833735815292
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summary,pearson,-0.24961278152419994
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,summary,pearson,-0.26111849907843027
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,system,pearson,-0.023042313024402183
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,system,pearson,-0.039916613296060215
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,system,pearson,-0.06155506724543655
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,system,pearson,-0.0899381599814024
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,system,pearson,-0.12789580586229127
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,system,pearson,-0.17883962782925183
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,system,pearson,-0.24412500497600603
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,system,pearson,-0.314152861930477
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,system,pearson,-0.36054832354533783
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,system,pearson,-0.3631829176868174
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,system,pearson,-0.337578315106261
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,summary,pearson,0.17766330488528692
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,summary,pearson,0.200275575193563
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,summary,pearson,0.15889740956366172
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,summary,pearson,0.19620422433499043
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,summary,pearson,0.0779981500822975
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,summary,pearson,0.05836812865335797
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,summary,pearson,0.10290855106758312
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,summary,pearson,0.050682433260726766
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,summary,pearson,-0.05956805100842951
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,summary,pearson,-0.11079349301747625
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,summary,pearson,-0.08659123933276261
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,system,pearson,-0.023042313024402183
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,system,pearson,-0.029343884904737435
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,system,pearson,-0.036789784745203495
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,system,pearson,-0.0456977580115425
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,system,pearson,-0.05650067362328174
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,system,pearson,-0.06979154868359956
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,system,pearson,-0.08637611787900483
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,system,pearson,-0.10730349207337113
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,system,pearson,-0.13375984571670774
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,system,pearson,-0.16646963721451258
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,system,pearson,-0.20383664796491174
realsumm,SUPERT_default,NLI1Score_monolingual,0.0,summary,pearson,0.5217287156629147
realsumm,SUPERT_default,NLI1Score_monolingual,0.1,summary,pearson,0.553292803533872
realsumm,SUPERT_default,NLI1Score_monolingual,0.2,summary,pearson,0.5598152182493138
realsumm,SUPERT_default,NLI1Score_monolingual,0.3,summary,pearson,0.5413176115327872
realsumm,SUPERT_default,NLI1Score_monolingual,0.4,summary,pearson,0.5388454074562631
realsumm,SUPERT_default,NLI1Score_monolingual,0.5,summary,pearson,0.5277273087763474
realsumm,SUPERT_default,NLI1Score_monolingual,0.6,summary,pearson,0.4632443979671897
realsumm,SUPERT_default,NLI1Score_monolingual,0.7,summary,pearson,0.2893729028758081
realsumm,SUPERT_default,NLI1Score_monolingual,0.8,summary,pearson,0.10897095248006426
realsumm,SUPERT_default,NLI1Score_monolingual,0.9,summary,pearson,-0.07807614694691155
realsumm,SUPERT_default,NLI1Score_monolingual,1.0,summary,pearson,-0.26111849907843027
realsumm,SUPERT_default,NLI1Score_monolingual,0.0,system,pearson,0.6263008981528478
realsumm,SUPERT_default,NLI1Score_monolingual,0.1,system,pearson,0.6325329657820038
realsumm,SUPERT_default,NLI1Score_monolingual,0.2,system,pearson,0.6398281933950895
realsumm,SUPERT_default,NLI1Score_monolingual,0.3,system,pearson,0.6478868738030398
realsumm,SUPERT_default,NLI1Score_monolingual,0.4,system,pearson,0.6547651205945093
realsumm,SUPERT_default,NLI1Score_monolingual,0.5,system,pearson,0.6515423588849045
realsumm,SUPERT_default,NLI1Score_monolingual,0.6,system,pearson,0.5994908277033226
realsumm,SUPERT_default,NLI1Score_monolingual,0.7,system,pearson,0.38378633481588487
realsumm,SUPERT_default,NLI1Score_monolingual,0.8,system,pearson,0.024239779052555987
realsumm,SUPERT_default,NLI1Score_monolingual,0.9,system,pearson,-0.21709901152731131
realsumm,SUPERT_default,NLI1Score_monolingual,1.0,system,pearson,-0.337578315106261
realsumm,SUPERT_default,NLI2Score_monolingual,0.0,summary,pearson,0.5217287156629147
realsumm,SUPERT_default,NLI2Score_monolingual,0.1,summary,pearson,0.5442321890561751
realsumm,SUPERT_default,NLI2Score_monolingual,0.2,summary,pearson,0.5374351599548116
realsumm,SUPERT_default,NLI2Score_monolingual,0.3,summary,pearson,0.5454585916869427
realsumm,SUPERT_default,NLI2Score_monolingual,0.4,summary,pearson,0.4705685243046427
realsumm,SUPERT_default,NLI2Score_monolingual,0.5,summary,pearson,0.41247822633809766
realsumm,SUPERT_default,NLI2Score_monolingual,0.6,summary,pearson,0.3813429262332796
