dataset,metric,nli,nli_weight,level,correlation,litepyramid
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,summary,pearson,0.17766330488528692
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,summary,pearson,0.15759237197617626
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,summary,pearson,0.043665246233997895
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,summary,pearson,0.06713749282888146
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summary,pearson,-0.11650430599783478
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summary,pearson,-0.15135353126988502
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summary,pearson,-0.16253737260621673
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summary,pearson,-0.3097435638383618
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summary,pearson,-0.3286778767567426
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summary,pearson,-0.4133058548538529
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,summary,pearson,-0.41959335781776147
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,system,pearson,-0.023042313024402183
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,system,pearson,-0.056803422973142996
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,system,pearson,-0.10043290185984989
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,system,pearson,-0.15714576799974858
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,system,pearson,-0.22949483472350124
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,system,pearson,-0.3150622938872998
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,system,pearson,-0.39896515239308017
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,system,pearson,-0.4556813812058589
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,system,pearson,-0.47255691735662825
