dataset,metric,nli,nli_weight,level,correlation,litepyramid
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,summary,pearson,0.17766330488528692
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,summary,pearson,0.1779366720700785
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,summary,pearson,0.07689324033652473
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,summary,pearson,0.06967669934082749
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summary,pearson,-0.11414420350871718
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summary,pearson,-0.1688850242830014
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summary,pearson,-0.16310762522803798
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summary,pearson,-0.2988379062323595
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summary,pearson,-0.3046397215238914
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summary,pearson,-0.27191164643824356
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,summary,pearson,-0.33981787777480404
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,system,pearson,-0.023042313024402183
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,system,pearson,-0.052181081478112804
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,system,pearson,-0.08981712305248335
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,system,pearson,-0.13880256438982438
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,system,pearson,-0.20162006483310035
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,system,pearson,-0.27684724387117604
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,system,pearson,-0.3522984327099425
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,system,pearson,-0.40489360186683326
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,system,pearson,-0.42121643436699335
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,system,pearson,-0.41055723719887777
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,system,pearson,-0.38875894918255494
