dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,max,system,kendall,0.49999999999999994,0.10294117647058822,0.3321055820775357,0.5147058823529411,0.36243816022526626
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,max,system,kendall,0.5441176470588235,0.20588235294117643,0.4354273187238802,0.5588235294117646,0.4360627120339111
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,max,system,kendall,0.588235294117647,0.24999999999999997,0.479708063000885,0.6029411764705882,0.48022113339728
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,max,system,kendall,0.6029411764705882,0.2941176470588235,0.4354273187238802,0.6176470588235293,0.48753330026920527
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,max,system,kendall,0.5735294117647058,0.3529411764705882,0.46494781490855003,0.5588235294117646,0.4875604831389022
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,max,system,kendall,0.5147058823529411,0.41176470588235287,0.40590682253921034,0.49999999999999994,0.4580943526936261
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,max,system,kendall,0.4264705882352941,0.5588235294117646,0.49446831109321987,0.5294117647058822,0.5022935483615402
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,max,system,kendall,0.2794117647058823,0.676470588235294,0.5092285591855548,0.49999999999999994,0.4912777280316828
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,max,system,kendall,0.20588235294117643,0.6617647058823529,0.46494781490855003,0.39705882352941174,0.4324134243153728
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,max,system,kendall,0.1176470588235294,0.6029411764705882,0.3763863263545405,0.30882352941176466,0.3514495227651057
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,mean,system,kendall,0.588235294117647,0.2205882352941176,0.45018756681621513,0.5735294117647058,0.4581351269981714
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,mean,system,kendall,0.6470588235294118,0.2794117647058823,0.45018756681621513,0.6323529411764706,0.502252774056995
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,mean,system,kendall,0.6323529411764706,0.2941176470588235,0.46494781490855003,0.6176470588235293,0.5022663654918433
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,mean,system,kendall,0.5588235294117646,0.3676470588235294,0.39114657444687545,0.5147058823529411,0.4580807612587776
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,mean,system,kendall,0.5441176470588235,0.3823529411764705,0.34686583016987066,0.49999999999999994,0.44333410460129113
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,mean,system,kendall,0.5441176470588235,0.4411764705882352,0.3763863263545405,0.4705882352941176,0.4580671698239292
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,mean,system,kendall,0.3823529411764705,0.5735294117647058,0.4354273187238802,0.39705882352941174,0.44709212379861707
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,mean,system,kendall,0.30882352941176466,0.6470588235294118,0.479708063000885,0.41176470588235287,0.46183878045610355
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,mean,system,kendall,0.19117647058823525,0.6470588235294118,0.45018756681621513,0.3529411764705882,0.4103410093511126
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,mean,system,kendall,0.08823529411764705,0.6029411764705882,0.4354273187238802,0.24999999999999997,0.34415094732802887
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,max,system,kendall,0.49999999999999994,0.13235294117647056,0.3616260782622056,0.48529411764705876,0.3698182842714337
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,max,system,kendall,0.6176470588235293,0.24999999999999997,0.39114657444687545,0.6029411764705882,0.4654337024352483
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,max,system,kendall,0.6176470588235293,0.24999999999999997,0.39114657444687545,0.6029411764705882,0.4654337024352483
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,max,system,kendall,0.6176470588235293,0.2794117647058823,0.4206670706315453,0.6029411764705882,0.48016676765788635
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,max,system,kendall,0.5735294117647058,0.3823529411764705,0.4354273187238802,0.5294117647058822,0.4801803590927347
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,max,system,kendall,0.5441176470588235,0.4411764705882352,0.4354273187238802,0.5588235294117646,0.49488624144567583
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,max,system,kendall,0.4411764705882352,0.6029411764705882,0.49446831109321987,0.45588235294117646,0.49861707777330494
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,max,system,kendall,0.3529411764705882,0.7205882352941176,0.5239888072778897,0.5147058823529411,0.5280560253488842
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,max,system,kendall,0.2941176470588235,0.7205882352941176,0.5830297996472293,0.48529411764705876,0.5207574499118073
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,max,system,kendall,0.1764705882352941,0.6323529411764706,0.5535093034625596,0.3676470588235294,0.43249497292446343
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,mean,system,kendall,0.5441176470588235,0.20588235294117643,0.40590682253921034,0.5588235294117646,0.4286825879877437
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,mean,system,kendall,0.6176470588235293,0.2794117647058823,0.4206670706315453,0.6323529411764706,0.4875197088343569
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,mean,system,kendall,0.6323529411764706,0.2941176470588235,0.4354273187238802,0.6470588235294118,0.5022391826221465
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,mean,system,kendall,0.6323529411764706,0.2941176470588235,0.4354273187238802,0.6470588235294118,0.5022391826221465
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,mean,system,kendall,0.6617647058823529,0.2941176470588235,0.4354273187238802,0.6176470588235293,0.5022391826221465
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,mean,system,kendall,0.6029411764705882,0.3823529411764705,0.3763863263545405,0.5294117647058822,0.4727730521768704
