dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,max,system,kendall,0.4411764705882352,0.07352941176470587,0.30258508589286587,0.45588235294117646,0.31829333029674584
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,max,system,kendall,0.5294117647058822,0.19117647058823525,0.4206670706315453,0.5441176470588235,0.4213432382461215
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,max,system,kendall,0.5735294117647058,0.2352941176470588,0.46494781490855003,0.588235294117647,0.4655016596094904
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,max,system,kendall,0.6029411764705882,0.2647058823529411,0.46494781490855003,0.6176470588235293,0.4875604831389022
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,max,system,kendall,0.588235294117647,0.30882352941176466,0.45018756681621513,0.6029411764705882,0.48754689170405374
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,max,system,kendall,0.5294117647058822,0.4264705882352941,0.4206670706315453,0.5147058823529411,0.4728138264814157
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,max,system,kendall,0.45588235294117646,0.4705882352941176,0.40590682253921034,0.49999999999999994,0.4580943526936261
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,max,system,kendall,0.2941176470588235,0.6617647058823529,0.49446831109321987,0.45588235294117646,0.47655825424389314
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,max,system,kendall,0.19117647058823525,0.676470588235294,0.479708063000885,0.3823529411764705,0.43242701575022124
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,max,system,kendall,0.13235294117647056,0.6470588235294118,0.39114657444687545,0.3235294117647059,0.3735219377293659
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,mean,system,kendall,0.588235294117647,0.2205882352941176,0.45018756681621513,0.5735294117647058,0.4581351269981714
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,mean,system,kendall,0.6323529411764706,0.2647058823529411,0.4354273187238802,0.6176470588235293,0.48753330026920527
