dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,max,system,kendall,0.5294117647058822,0.13235294117647056,0.4206670706315453,0.5147058823529411,0.39928441471670983
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,max,system,kendall,0.6029411764705882,0.2352941176470588,0.49446831109321987,0.588235294117647,0.4802347248321284
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,max,system,kendall,0.6323529411764706,0.2647058823529411,0.46494781490855003,0.6176470588235293,0.4949134243153728
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,max,system,kendall,0.6617647058823529,0.2941176470588235,0.46494781490855003,0.6470588235294118,0.5169722478447846
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,max,system,kendall,0.6176470588235293,0.3676470588235294,0.4206670706315453,0.5735294117647058,0.4948726500108274
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,max,system,kendall,0.5294117647058822,0.48529411764705876,0.45018756681621513,0.6029411764705882,0.5169586564099361
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,max,system,kendall,0.3823529411764705,0.6029411764705882,0.5092285591855548,0.5441176470588235,0.5096600809728592
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,max,system,kendall,0.2941176470588235,0.6323529411764706,0.49446831109321987,0.45588235294117646,0.4692053130674226
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,max,system,kendall,0.20588235294117643,0.6029411764705882,0.46494781490855003,0.3676470588235294,0.41035460078596103
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,max,system,kendall,0.08823529411764705,0.5735294117647058,0.40590682253921034,0.24999999999999997,0.3294178821053908
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,mean,system,kendall,0.6176470588235293,0.24999999999999997,0.4206670706315453,0.6029411764705882,0.4728138264814157
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,mean,system,kendall,0.6323529411764706,0.2647058823529411,0.4354273187238802,0.588235294117647,0.4801803590927347
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,mean,system,kendall,0.5441176470588235,0.3235294117647059,0.34686583016987066,0.49999999999999994,0.42862822224835
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,mean,system,kendall,0.5441176470588235,0.3529411764705882,0.34686583016987066,0.49999999999999994,0.4359811634248206
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,mean,system,kendall,0.4705882352941176,0.48529411764705876,0.4206670706315453,0.48529411764705876,0.4654608853049451
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,mean,system,kendall,0.3529411764705882,0.6029411764705882,0.49446831109321987,0.45588235294117646,0.47655825424389314
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,mean,system,kendall,0.2941176470588235,0.6029411764705882,0.49446831109321987,0.45588235294117646,0.461852371890952
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,mean,system,kendall,0.24999999999999997,0.6176470588235293,0.479708063000885,0.41176470588235287,0.4397799569266918
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,mean,system,kendall,0.19117647058823525,0.588235294117647,0.45018756681621513,0.3529411764705882,0.3956351269981714
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,mean,system,kendall,0.13235294117647056,0.588235294117647,0.4206670706315453,0.2941176470588235,0.3588432382461215
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,max,system,kendall,0.5588235294117646,0.16176470588235295,0.4206670706315453,0.5147058823529411,0.41399029706965096
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,max,system,kendall,0.6617647058823529,0.2647058823529411,0.4354273187238802,0.6470588235294118,0.5022391826221465
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,max,system,kendall,0.6911764705882353,0.2941176470588235,0.46494781490855003,0.676470588235294,0.5316781301977257
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,max,system,kendall,0.6911764705882353,0.2941176470588235,0.46494781490855003,0.6470588235294118,0.5243251890212551
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,max,system,kendall,0.6617647058823529,0.41176470588235287,0.49446831109321987,0.6470588235294118,0.5537641365968343
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,max,system,kendall,0.5294117647058822,0.5147058823529411,0.5092285591855548,0.5735294117647058,0.531718904502271
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,max,system,kendall,0.41176470588235287,0.6323529411764706,0.5830297996472293,0.5735294117647058,0.5501692146176896
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,max,system,kendall,0.3529411764705882,0.6617647058823529,0.5830297996472293,0.5147058823529411,0.5281103910882778
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,max,system,kendall,0.2941176470588235,0.6617647058823529,0.5830297996472293,0.4264705882352941,0.491345685205925
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,max,system,kendall,0.20588235294117643,0.6323529411764706,0.5239888072778897,0.3676470588235294,0.43246779005476654
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,mean,system,kendall,0.588235294117647,0.2205882352941176,0.4206670706315453,0.5735294117647058,0.45075500295200394
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,mean,system,kendall,0.6323529411764706,0.2352941176470588,0.40590682253921034,0.6176470588235293,0.4728002350465672
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,mean,system,kendall,0.6029411764705882,0.2352941176470588,0.40590682253921034,0.588235294117647,0.4580943526936261
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,mean,system,kendall,0.5735294117647058,0.2352941176470588,0.3763863263545405,0.5294117647058822,0.42865540511804684
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,mean,system,kendall,0.588235294117647,0.2794117647058823,0.3616260782622056,0.5147058823529411,0.435994754859669
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,mean,system,kendall,0.5588235294117646,0.338235294117647,0.3616260782622056,0.45588235294117646,0.4286418136831984
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,mean,system,kendall,0.45588235294117646,0.3823529411764705,0.3616260782622056,0.41176470588235287,0.40290651956555135
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,mean,system,kendall,0.3235294117647059,0.45588235294117646,0.3763863263545405,0.39705882352941174,0.38821422864745864
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,mean,system,kendall,0.20588235294117643,0.45588235294117646,0.40590682253921034,0.3676470588235294,0.35882964681127316
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,mean,system,kendall,0.1176470588235294,0.45588235294117646,0.3763863263545405,0.2794117647058823,0.3073318757062822
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,max,system,kendall,0.6470588235294118,0.24999999999999997,0.45018756681621513,0.6323529411764706,0.49489983288052436
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,max,system,kendall,0.676470588235294,0.2794117647058823,0.4206670706315453,0.6617647058823529,0.5095785323637686
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,max,system,kendall,0.7205882352941176,0.3235294117647059,0.49446831109321987,0.676470588235294,0.5537641365968343
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,max,system,kendall,0.6911764705882353,0.3823529411764705,0.5535093034625596,0.7058823529411764,0.5832302670421105
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,max,system,kendall,0.5147058823529411,0.49999999999999994,0.5239888072778897,0.6470588235294118,0.5464383782900606
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,max,system,kendall,0.4411764705882352,0.5735294117647058,0.5387490553702247,0.6029411764705882,0.5390990285484385
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,max,system,kendall,0.3529411764705882,0.6323529411764706,0.5387490553702247,0.5147058823529411,0.5096872638425561
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,max,system,kendall,0.30882352941176466,0.6470588235294118,0.5092285591855548,0.4705882352941176,0.4839247868552122
