dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,max,system,kendall,0.5441176470588235,0.1176470588235294,0.3763863263545405,0.5294117647058822,0.3918906992356939
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,max,system,kendall,0.6176470588235293,0.16176470588235295,0.45018756681621513,0.6029411764705882,0.4581351269981714
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,max,system,kendall,0.588235294117647,0.16176470588235295,0.39114657444687545,0.5441176470588235,0.4213160553764247
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,max,system,kendall,0.588235294117647,0.19117647058823525,0.3616260782622056,0.5441176470588235,0.42128887250672786
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,max,system,kendall,0.4705882352941176,0.24999999999999997,0.2435440935235262,0.39705882352941174,0.34029778808676386
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,max,system,kendall,0.41176470588235287,0.24999999999999997,0.18450310115418653,0.338235294117647,0.2961257752885466
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,max,system,kendall,0.3529411764705882,0.19117647058823525,0.12546210878484682,0.2794117647058823,0.23724788013738812
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,max,system,kendall,0.3676470588235294,0.3235294117647059,0.19926334924652145,0.2352941176470588,0.2814334843704539
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,max,system,kendall,0.16176470588235295,0.4411764705882352,0.273064589708196,0.1764705882352941,0.26311908860351957
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,max,system,kendall,0.044117647058823525,0.3529411764705882,0.15498260496951666,0.0588235294117647,0.15271623947767327
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,mean,system,kendall,0.588235294117647,0.2205882352941176,0.45018756681621513,0.5441176470588235,0.4507821858217008
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,mean,system,kendall,0.5735294117647058,0.20588235294117643,0.4354273187238802,0.5294117647058822,0.43606271203391117
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,mean,system,kendall,0.5441176470588235,0.1764705882352941,0.34686583016987066,0.49999999999999994,0.39186351636599703
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,mean,system,kendall,0.4264705882352941,0.2647058823529411,0.25830434161586113,0.3529411764705882,0.32560549716867115
