dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,None,system,kendall,0.7352941176470588,0.13235294117647056,0.39114657444687545,0.6617647058823529,0.4801395847881894
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,None,system,kendall,0.7352941176470588,0.10294117647058822,0.3321055820775357,0.6323529411764706,0.4506734543429133
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,None,system,kendall,0.764705882352941,0.07352941176470587,0.30258508589286587,0.6029411764705882,0.4359403891202752
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,None,system,kendall,0.7205882352941176,0.0588235294117647,0.287824837800531,0.5588235294117646,0.4065150329795445
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,None,system,kendall,0.7058823529411764,0.044117647058823525,0.273064589708196,0.5441176470588235,0.3917955591917548
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,None,system,kendall,0.6617647058823529,0.02941176470588235,0.2287838454311913,0.49999999999999994,0.35499007900485663
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,None,system,kendall,0.6176470588235293,-0.014705882352941175,0.18450310115418653,0.45588235294117646,0.3108316576414878
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,None,system,kendall,0.5147058823529411,-0.08823529411764705,0.08118136450784207,0.3823529411764705,0.22250122347990164
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,None,system,kendall,0.45588235294117646,-0.14705882352941174,0.02214037213850238,0.3235294117647059,0.16362332832874327
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,None,system,kendall,0.338235294117647,-0.2352941176470588,-0.09594161260017699,0.20588235294117643,0.05322047920289692
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,None,system,kendall,0.20588235294117643,-0.30882352941176466,-0.19926334924652145,0.07352941176470587,-0.057168778488100945
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,None,system,kendall,0.7352941176470588,0.13235294117647056,0.39114657444687545,0.6617647058823529,0.4801395847881894
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,None,system,kendall,0.764705882352941,0.13235294117647056,0.3616260782622056,0.6617647058823529,0.48011240191849247
