dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,None,system,kendall,0.7352941176470588,0.13235294117647056,0.39114657444687545,0.6617647058823529,0.4801395847881894
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,None,system,kendall,0.7499999999999999,0.08823529411764705,0.3173453339852008,0.6176470588235293,0.44330692173159425
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,None,system,kendall,0.7352941176470588,0.07352941176470587,0.273064589708196,0.5735294117647058,0.41385438272116665
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,None,system,kendall,0.6911764705882353,0.0588235294117647,0.25830434161586113,0.5294117647058822,0.3844290265804359
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,None,system,kendall,0.6617647058823529,0.02941176470588235,0.2287838454311913,0.49999999999999994,0.35499007900485663
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,None,system,kendall,0.6029411764705882,-0.02941176470588235,0.1697428530618516,0.4411764705882352,0.2961121838536982
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,None,system,kendall,0.5147058823529411,-0.08823529411764705,0.08118136450784207,0.3823529411764705,0.22250122347990164
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,None,system,kendall,0.4411764705882352,-0.16176470588235295,0.0073801240461674605,0.30882352941176466,0.1489038545409536
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,None,system,kendall,0.3676470588235294,-0.2352941176470588,-0.06642111641550714,0.2352941176470588,0.07530648560200556
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,None,system,kendall,0.19117647058823525,-0.3529411764705882,-0.2435440935235262,0.0588235294117647,-0.08662131749852861
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,None,system,kendall,0.16176470588235295,-0.3823529411764705,-0.30258508589286587,0.0,-0.13079333029674586
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,None,system,kendall,0.7352941176470588,0.13235294117647056,0.39114657444687545,0.6617647058823529,0.4801395847881894
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,None,system,kendall,0.764705882352941,0.13235294117647056,0.3616260782622056,0.6617647058823529,0.48011240191849247
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,None,system,kendall,0.7941176470588235,0.16176470588235295,0.39114657444687545,0.6323529411764706,0.4948454671411306
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,None,system,kendall,0.7352941176470588,0.30882352941176466,0.5387490553702247,0.7499999999999999,0.583216675607262
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,None,system,kendall,0.6617647058823529,0.3529411764705882,0.5239888072778897,0.7352941176470588,0.5684972018194724
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,None,system,kendall,0.5735294117647058,0.41176470588235287,0.46494781490855003,0.676470588235294,0.5316781301977257
