dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.697334729981378
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.7682635009310986
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.8295111731843576
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.8625256052141528
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.8655889199255121
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.8698044692737429
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.8673044692737429
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.868235567970205
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.8691666666666666
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.8645833333333334
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.8824511173184358
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.697334729981378
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.7577467411545622
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.8107844506517691
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.8416666666666668
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.8545833333333333
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.86
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.8629166666666666
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.8650000000000001
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.8645833333333334
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.8574999999999999
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.84375
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,0.7883100558659217
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,0.8468389199255122
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,0.8820344506517691
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,0.8862011173184356
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,0.885784450651769
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,0.8841177839851024
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,0.8799511173184357
