dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.697334729981378
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.7677234636871507
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.8270600558659219
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.847574487895717
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.8476722532588455
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.8476722532588453
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.8472555865921786
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.8474022346368716
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.8503677839851025
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.8553677839851024
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.866568901303538
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.697334729981378
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.7544134078212291
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.8065689013035381
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.8329166666666664
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.8395833333333331
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.8416666666666667
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.8404166666666666
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.84125
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.8425000000000001
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.8454166666666666
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.8987499999999998
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,0.7883100558659217
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,0.8444855679702048
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,0.8740689013035383
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,0.8728189013035382
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,0.873235567970205
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,0.8694855679702048
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,0.8674022346368716
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,0.8690689013035381
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,0.8690689013035381
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,0.8695344506517692
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,1.0,0.866568901303538
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.0,0.7883100558659217
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,0.8336522346368714
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.2,0.86125
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.3,0.8670833333333333
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.4,0.87
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.5,0.8695833333333333
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.6,0.8687499999999999
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.7,0.8704166666666665
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.8,0.8724999999999999
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.9,0.8775000000000001
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,1.0,0.8987499999999998
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.0,0.5980051210428305
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.1,0.6742225325884544
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.2,0.7458612662942272
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.3,0.7932867783985103
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.4,0.812697858472998
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.5,0.8147811918063316
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.6,0.8174767225325885
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.7,0.8179911545623836
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.8,0.8201233705772811
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.9,0.8260544692737429
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,1.0,0.866568901303538
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.0,0.5980051210428305
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.1,0.6601769087523277
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.2,0.7231634078212291
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.3,0.7647067039106145
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.4,0.7811522346368713
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.5,0.7903677839851024
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.6,0.7920833333333333
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.7,0.7966666666666667
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.8,0.8000000000000002
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.9,0.8054166666666668
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,1.0,0.8987499999999998
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.0,0.2867295158286778
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.1,0.35169692737430164
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.2,0.42831238361266294
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.3,0.5362523277467411
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.4,0.5872323091247672
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.5,0.6132122905027934
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.6,0.6237267225325885
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.7,0.6354422718808195
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.8,0.6492411545623836
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.9,0.6752211359404097
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,1.0,0.866568901303538
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.0,0.2867295158286778
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.1,0.3398580074487895
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.2,0.3918156424581005
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.3,0.44679003724394795
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.4,0.4828677839851024
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.5,0.4928677839851024
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.6,0.5041666666666667
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.7,0.5129166666666667
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.8,0.52375
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.9,0.5404166666666668
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,1.0,0.8987499999999998
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.0,0.3340153631284916
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.1,0.5340223463687152
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.2,0.6072811918063313
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.3,0.6487756052141528
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.4,0.6688733705772812
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.5,0.6834567039106146
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.6,0.6960055865921788
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.7,0.7061033519553073
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.8,0.7198533519553073
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.9,0.744020018621974
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,1.0,0.866568901303538
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.0,0.3340153631284916
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.1,0.4893389199255121
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.2,0.5307355679702048
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.3,0.5562011173184359
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.4,0.5708333333333334
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.5,0.5829166666666666
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.6,0.5908333333333333
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.7,0.6004166666666667
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.8,0.61375
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.9,0.6354166666666666
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,1.0,0.8987499999999998
