dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.4271927374301676
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.42922718808193666
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.43510940409683424
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.4459427374301676
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.46010940409683426
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.4685405027932961
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.47692271880819365
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.49711824953445055
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.5130982309124767
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.5394203910614526
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.7200814711359403
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.4271927374301676
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.4306238361266294
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.43503491620111734
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.45339152700186225
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.4688314711359405
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.479909217877095
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.4870903165735568
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.49353584729981376
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.5118924581005587
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.532455772811918
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.624292364990689
summ_google,SUPERT_default,NLI1Score_monolingual,0.0,0.29567970204841715
summ_google,SUPERT_default,NLI1Score_monolingual,0.1,0.30114525139664805
summ_google,SUPERT_default,NLI1Score_monolingual,0.2,0.31207635009310986
summ_google,SUPERT_default,NLI1Score_monolingual,0.3,0.3195274674115456
summ_google,SUPERT_default,NLI1Score_monolingual,0.4,0.3249930167597765
summ_google,SUPERT_default,NLI1Score_monolingual,0.5,0.3370763500931098
summ_google,SUPERT_default,NLI1Score_monolingual,0.6,0.35045856610800746
summ_google,SUPERT_default,NLI1Score_monolingual,0.7,0.3635707635009311
summ_google,SUPERT_default,NLI1Score_monolingual,0.8,0.38173184357541895
summ_google,SUPERT_default,NLI1Score_monolingual,0.9,0.4253561452513966
summ_google,SUPERT_default,NLI1Score_monolingual,1.0,0.7200814711359403
summ_google,SUPERT_default,NLI2Score_monolingual,0.0,0.29567970204841715
summ_google,SUPERT_default,NLI2Score_monolingual,0.1,0.30675744878957173
summ_google,SUPERT_default,NLI2Score_monolingual,0.2,0.3237174115456238
summ_google,SUPERT_default,NLI2Score_monolingual,0.3,0.340677374301676
summ_google,SUPERT_default,NLI2Score_monolingual,0.4,0.3464851024208566
