dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.4271927374301676
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.4256727188081937
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.42072160148975785
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.4309916201117318
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.4307216014897579
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.4282216014897579
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.4320204841713222
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.4395204841713222
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.4474371508379888
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.4540549348230913
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.4540572625698323
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.4271927374301676
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.43175046554934826
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.4423626629422719
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.4558915270018622
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.4760125698324022
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.4987081005586593
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.5155702979515828
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.5329958100558659
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.5501280260707635
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.5467458100558659
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.5488291433891993
summ_google,SUPERT_default,NLI1Score_monolingual,0.0,0.29567970204841715
summ_google,SUPERT_default,NLI1Score_monolingual,0.1,0.2929096834264432
summ_google,SUPERT_default,NLI1Score_monolingual,0.2,0.3008752327746741
summ_google,SUPERT_default,NLI1Score_monolingual,0.3,0.31386405959031655
summ_google,SUPERT_default,NLI1Score_monolingual,0.4,0.3252607076350093
summ_google,SUPERT_default,NLI1Score_monolingual,0.5,0.33405959031657356
summ_google,SUPERT_default,NLI1Score_monolingual,0.6,0.3478095903165736
summ_google,SUPERT_default,NLI1Score_monolingual,0.7,0.3586918063314711
summ_google,SUPERT_default,NLI1Score_monolingual,0.8,0.3742551210428305
summ_google,SUPERT_default,NLI1Score_monolingual,0.9,0.3925884543761638
summ_google,SUPERT_default,NLI1Score_monolingual,1.0,0.4540572625698323
summ_google,SUPERT_default,NLI2Score_monolingual,0.0,0.29567970204841715
summ_google,SUPERT_default,NLI2Score_monolingual,0.1,0.31227188081936685
summ_google,SUPERT_default,NLI2Score_monolingual,0.2,0.3403584729981379
summ_google,SUPERT_default,NLI2Score_monolingual,0.3,0.3559450651769087
summ_google,SUPERT_default,NLI2Score_monolingual,0.4,0.37018389199255114
summ_google,SUPERT_default,NLI2Score_monolingual,0.5,0.38883379888268155
summ_google,SUPERT_default,NLI2Score_monolingual,0.6,0.41603817504655494
summ_google,SUPERT_default,NLI2Score_monolingual,0.7,0.44022811918063315
summ_google,SUPERT_default,NLI2Score_monolingual,0.8,0.46042364990689016
summ_google,SUPERT_default,NLI2Score_monolingual,0.9,0.4973347299813781
summ_google,SUPERT_default,NLI2Score_monolingual,1.0,0.5488291433891993
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.7962466487935657
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.8552278820375335
