dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.4271927374301676
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.42442271880819366
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.4219716014897579
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.42890828677839843
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.4323882681564246
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.43030493482309123
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.43660381750465543
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.43827048417132214
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.44452048417132217
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.44608938547486027
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.4402583798882682
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.4271927374301676
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.4338826815642458
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.446627094972067
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.46775372439478585
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.484518156424581
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.5058403165735568
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.5163058659217877
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.5320903165735568
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.5326047486033519
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.5316247672253258
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.5375069832402234
summ_google,SUPERT_default,NLI1Score_monolingual,0.0,0.29567970204841715
summ_google,SUPERT_default,NLI1Score_monolingual,0.1,0.29374301675977654
summ_google,SUPERT_default,NLI1Score_monolingual,0.2,0.3004585661080074
summ_google,SUPERT_default,NLI1Score_monolingual,0.3,0.3188640595903166
summ_google,SUPERT_default,NLI1Score_monolingual,0.4,0.3352607076350093
summ_google,SUPERT_default,NLI1Score_monolingual,0.5,0.341927374301676
summ_google,SUPERT_default,NLI1Score_monolingual,0.6,0.35280959031657355
