dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.3890347610180012
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.39063625077591557
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.39847920546244564
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.411812538795779
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.4290347610180012
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.44083178150217256
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.44700806952203603
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.47060211049037864
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.48968653010552454
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.5208938547486034
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.7217752948479205
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.3890347610180012
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.3936095592799503
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.40060211049037864
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.42507759155803854
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.4456641837368094
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.4621011793916822
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.4727870887647424
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.4819366852886406
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.5053010552451893
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.5282743637492241
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.6285009310986964
summ_google,SUPERT_default,NLI1Score_monolingual,0.0,0.27312849162011177
summ_google,SUPERT_default,NLI1Score_monolingual,0.1,0.27930477963997524
summ_google,SUPERT_default,NLI1Score_monolingual,0.2,0.2933240223463687
summ_google,SUPERT_default,NLI1Score_monolingual,0.3,0.2988144009931719
summ_google,SUPERT_default,NLI1Score_monolingual,0.4,0.305546244568591
summ_google,SUPERT_default,NLI1Score_monolingual,0.5,0.31999068901303535
summ_google,SUPERT_default,NLI1Score_monolingual,0.6,0.33394475481067665
summ_google,SUPERT_default,NLI1Score_monolingual,0.7,0.3480943513345748
summ_google,SUPERT_default,NLI1Score_monolingual,0.8,0.3711980136561142
summ_google,SUPERT_default,NLI1Score_monolingual,0.9,0.4193637492240845
summ_google,SUPERT_default,NLI1Score_monolingual,1.0,0.7217752948479205
summ_google,SUPERT_default,NLI2Score_monolingual,0.0,0.27312849162011177
summ_google,SUPERT_default,NLI2Score_monolingual,0.1,0.2873432650527623
summ_google,SUPERT_default,NLI2Score_monolingual,0.2,0.3071787709497207
summ_google,SUPERT_default,NLI2Score_monolingual,0.3,0.32868094351334576
summ_google,SUPERT_default,NLI2Score_monolingual,0.4,0.33809124767225324
summ_google,SUPERT_default,NLI2Score_monolingual,0.5,0.3490378646803227
summ_google,SUPERT_default,NLI2Score_monolingual,0.6,0.3651148355058969
summ_google,SUPERT_default,NLI2Score_monolingual,0.7,0.37563625077591556
summ_google,SUPERT_default,NLI2Score_monolingual,0.8,0.39301986343885786
summ_google,SUPERT_default,NLI2Score_monolingual,0.9,0.4254686530105525
summ_google,SUPERT_default,NLI2Score_monolingual,1.0,0.6285009310986964
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.7962466487935657
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.839142091152815
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.8632707774798928
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.871313672922252
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.8766756032171582
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.8847184986595175
