dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.3890347610180012
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.38923029174425827
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.3854065797641217
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.3952110490378647
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.3942954686530106
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.39151769087523275
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.39658286778398505
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.4043606455617629
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.41324953445065177
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.42262880198634384
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.4459652389819988
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.3890347610180012
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.39622284295468657
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.4070391061452514
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.4272998137802607
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.4513500931098696
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.4793885785226567
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.49853817504655495
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.5201055245189323
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.5412818125387957
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.5484388578522656
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.551772191185599
summ_google,SUPERT_default,NLI1Score_monolingual,0.0,0.27312849162011177
summ_google,SUPERT_default,NLI1Score_monolingual,0.1,0.2694351334574798
summ_google,SUPERT_default,NLI1Score_monolingual,0.2,0.27727808814401
summ_google,SUPERT_default,NLI1Score_monolingual,0.3,0.29181874612042213
summ_google,SUPERT_default,NLI1Score_monolingual,0.4,0.3020142768466791
summ_google,SUPERT_default,NLI1Score_monolingual,0.5,0.31096834264432033
summ_google,SUPERT_default,NLI1Score_monolingual,0.6,0.32485723153320917
summ_google,SUPERT_default,NLI1Score_monolingual,0.7,0.3377001862197393
summ_google,SUPERT_default,NLI1Score_monolingual,0.8,0.3556734947237741
summ_google,SUPERT_default,NLI1Score_monolingual,0.9,0.3784512725015518
summ_google,SUPERT_default,NLI1Score_monolingual,1.0,0.4459652389819988
summ_google,SUPERT_default,NLI2Score_monolingual,0.0,0.27312849162011177
summ_google,SUPERT_default,NLI2Score_monolingual,0.1,0.2930291744258225
summ_google,SUPERT_default,NLI2Score_monolingual,0.2,0.32547796399751705
summ_google,SUPERT_default,NLI2Score_monolingual,0.3,0.3451489757914339
summ_google,SUPERT_default,NLI2Score_monolingual,0.4,0.3613563004345128
summ_google,SUPERT_default,NLI2Score_monolingual,0.5,0.38400062073246427
summ_google,SUPERT_default,NLI2Score_monolingual,0.6,0.41471756672873994
summ_google,SUPERT_default,NLI2Score_monolingual,0.7,0.44141527001862196
summ_google,SUPERT_default,NLI2Score_monolingual,0.8,0.4588981998758535
summ_google,SUPERT_default,NLI2Score_monolingual,0.9,0.4970018621973929
summ_google,SUPERT_default,NLI2Score_monolingual,1.0,0.551772191185599
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.7962466487935657
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.8552278820375335
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.8659517426273459
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.8739946380697051
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.8820375335120644
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.8900804289544236
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.8820375335120644
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.900804289544236
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.8981233243967829
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.900804289544236
Rank19,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.8927613941018767
Rank19,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.7962466487935657
Rank19,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.8284182305630027
Rank19,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.8445040214477212
Rank19,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.8525469168900804
Rank19,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.8659517426273459
Rank19,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.868632707774799
Rank19,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.868632707774799
Rank19,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.8739946380697051
Rank19,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.8820375335120644
Rank19,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.8766756032171582
Rank19,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.8418230563002681
Rank19,SUPERT_default,NLI1Score_monolingual,0.0,0.6675603217158177
Rank19,SUPERT_default,NLI1Score_monolingual,0.1,0.7533512064343163
Rank19,SUPERT_default,NLI1Score_monolingual,0.2,0.7989276139410187
Rank19,SUPERT_default,NLI1Score_monolingual,0.3,0.8310991957104558
Rank19,SUPERT_default,NLI1Score_monolingual,0.4,0.8418230563002681
Rank19,SUPERT_default,NLI1Score_monolingual,0.5,0.8579088471849866
Rank19,SUPERT_default,NLI1Score_monolingual,0.6,0.8605898123324397
Rank19,SUPERT_default,NLI1Score_monolingual,0.7,0.8579088471849866
Rank19,SUPERT_default,NLI1Score_monolingual,0.8,0.8659517426273459
Rank19,SUPERT_default,NLI1Score_monolingual,0.9,0.8954423592493298
Rank19,SUPERT_default,NLI1Score_monolingual,1.0,0.8927613941018767
Rank19,SUPERT_default,NLI2Score_monolingual,0.0,0.6675603217158177
Rank19,SUPERT_default,NLI2Score_monolingual,0.1,0.7265415549597856
Rank19,SUPERT_default,NLI2Score_monolingual,0.2,0.7453083109919572
Rank19,SUPERT_default,NLI2Score_monolingual,0.3,0.7667560321715817
Rank19,SUPERT_default,NLI2Score_monolingual,0.4,0.7828418230563002
Rank19,SUPERT_default,NLI2Score_monolingual,0.5,0.7855227882037533
Rank19,SUPERT_default,NLI2Score_monolingual,0.6,0.7962466487935657
Rank19,SUPERT_default,NLI2Score_monolingual,0.7,0.806970509383378
Rank19,SUPERT_default,NLI2Score_monolingual,0.8,0.8203753351206434
Rank19,SUPERT_default,NLI2Score_monolingual,0.9,0.8310991957104558
Rank19,SUPERT_default,NLI2Score_monolingual,1.0,0.8418230563002681
