dataset,metric,nli,nli_weight,level,correlation,litepyramid
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,summary,pearson,0.4781078400301717
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,summary,pearson,0.48390268994894514
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,summary,pearson,0.49025942895457536
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,summary,pearson,0.4829602615089668
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summary,pearson,0.4787318255105906
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summary,pearson,0.48820946276496663
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summary,pearson,0.4795810507755035
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summary,pearson,0.5102737652294825
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summary,pearson,0.5004627987921751
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summary,pearson,0.48130473597580636
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,summary,pearson,0.4060487645767713
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,system,pearson,0.5309584244634034
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,system,pearson,0.5512062009574848
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,system,pearson,0.5745323561082324
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,system,pearson,0.6013715172406465
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,system,pearson,0.6319690121036852
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,system,pearson,0.6659634905754265
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,system,pearson,0.7014593476150146
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,system,pearson,0.7332515604184521
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,system,pearson,0.7504721512276397
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,system,pearson,0.7367131342533363
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,system,pearson,0.6789947853449463
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,summary,pearson,0.4781078400301717
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,summary,pearson,0.4897658705605402
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,summary,pearson,0.5180685523638953
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,summary,pearson,0.5225318621317929
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,summary,pearson,0.5207888368394079
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,summary,pearson,0.5177515667272834
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,summary,pearson,0.5043324623134136
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,summary,pearson,0.49993896131868715
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,summary,pearson,0.5022036039079608
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,summary,pearson,0.49928288220546113
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,summary,pearson,0.4798518373613167
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,system,pearson,0.5309584244634034
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,system,pearson,0.5421273975340333
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,system,pearson,0.5547476150140028
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,system,pearson,0.5687661343015317
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,system,pearson,0.5836764759536409
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,system,pearson,0.5978437607891894
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,system,pearson,0.6070251840602071
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,system,pearson,0.6017204340012074
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,system,pearson,0.5651649605044727
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,system,pearson,0.4807849663982539
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,system,pearson,0.35443278998351957
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,summary,pearson,0.582589639366533
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,summary,pearson,0.5801230919502526
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,summary,pearson,0.5837679060086383
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,summary,pearson,0.5713268612738601
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,summary,pearson,0.5661169043685714
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,summary,pearson,0.5746727667828562
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,summary,pearson,0.5678407899181755
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,summary,pearson,0.5650033950952001
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,summary,pearson,0.5393505578535691
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,summary,pearson,0.5099864937753114
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,1.0,summary,pearson,0.4060487645767713
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,system,pearson,0.687143268444023
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,system,pearson,0.7071928993992829
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,system,pearson,0.7285618445220334
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,system,pearson,0.750668019302525
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,system,pearson,0.7722997736523358
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,system,pearson,0.7912193166247109
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,system,pearson,0.8036987922624681
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,system,pearson,0.80428129792939
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,system,pearson,0.7864428158089605
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,system,pearson,0.7448955044660538
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,1.0,system,pearson,0.6789947853449463
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.0,summary,pearson,0.582589639366533
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,summary,pearson,0.5856825992478547
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.2,summary,pearson,0.5840719208652874
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.3,summary,pearson,0.5755124546084847
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.4,summary,pearson,0.5766903521646832
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.5,summary,pearson,0.5603602033202969
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.6,summary,pearson,0.5513285545269085
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.7,summary,pearson,0.5460649398146011
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.8,summary,pearson,0.5488873680681888
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.9,summary,pearson,0.5458392433500019
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,1.0,summary,pearson,0.4798518373613167
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.0,system,pearson,0.687143268444023
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,system,pearson,0.698986116621073
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.2,system,pearson,0.7108249629804109
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.3,system,pearson,0.7214516923954086
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.4,system,pearson,0.7284700659144921
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.5,system,pearson,0.7274419899621813
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.6,system,pearson,0.710958178524012
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.7,system,pearson,0.668885716987395
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.8,system,pearson,0.5924624091475146
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.9,system,pearson,0.4826872431641576
realsumm,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,1.0,system,pearson,0.35443278998351957
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.0,summary,pearson,0.5737708631781988
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.1,summary,pearson,0.5722615359591101
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.2,summary,pearson,0.5641250167696601
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.3,summary,pearson,0.5615982454518166
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.4,summary,pearson,0.5649662282877481
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.5,summary,pearson,0.559551973296708
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.6,summary,pearson,0.5599005581906089
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.7,summary,pearson,0.5393609140298123
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.8,summary,pearson,0.5224469870253523
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.9,summary,pearson,0.4511117617747542
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,1.0,summary,pearson,0.4060487645767713
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.0,system,pearson,0.3802640013239589
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.1,system,pearson,0.43460309456952606
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.2,system,pearson,0.4940437308472768
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.3,system,pearson,0.5562321346140077
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.4,system,pearson,0.6166876898383199
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.5,system,pearson,0.6689389689077092
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.6,system,pearson,0.7061459529819972
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.7,system,pearson,0.7239222469347679
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.8,system,pearson,0.7223656398230491
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.9,system,pearson,0.7055199333693744
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,1.0,system,pearson,0.6789947853449463
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.0,summary,pearson,0.5737708631781988
realsumm,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.1,summary,pearson,0.5732268462154924
