dataset,metric,nli,nli_weight,level,correlation,litepyramid
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,summary,pearson,0.177663304885287
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,summary,pearson,0.18389320298798853
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,summary,pearson,0.19085305331367045
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,summary,pearson,0.19552635702741714
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summary,pearson,0.19711649307087686
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summary,pearson,0.23891503050249394
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summary,pearson,0.2426121844890994
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summary,pearson,0.2544451789857184
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summary,pearson,0.29339380434773243
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summary,pearson,0.24315826347204664
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,summary,pearson,0.30013608296545796
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,system,pearson,-0.023042313024402166
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,system,pearson,-0.015637538182831714
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,system,pearson,-0.0063801838221622005
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,system,pearson,0.005516796149272717
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,system,pearson,0.021352940109132735
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,system,pearson,0.043428685818344095
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,system,pearson,0.07620119227426388
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,system,pearson,0.12939627375365742
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,system,pearson,0.22761601804426876
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,system,pearson,0.43622201673496547
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,system,pearson,0.6879147771811379
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,summary,pearson,0.177663304885287
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,summary,pearson,0.19627900731784478
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,summary,pearson,0.1988047640973427
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,summary,pearson,0.20092173523006204
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,summary,pearson,0.20262589894913452
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,summary,pearson,0.18808919404555827
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,summary,pearson,0.1890050281355682
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,summary,pearson,0.17115631720143834
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,summary,pearson,0.22778725762753838
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,summary,pearson,0.16789121267797602
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,summary,pearson,-0.0761230162565176
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,system,pearson,-0.023042313024402166
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,system,pearson,-0.017192909413171774
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,system,pearson,-0.009935463883803121
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,system,pearson,-0.0006965837214779226
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,system,pearson,0.011453474396041162
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,system,pearson,0.028123424870799163
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,system,pearson,0.05234088498659485
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,system,pearson,0.09047558620328801
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,system,pearson,0.15805533167675684
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,system,pearson,0.2989842482189109
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,system,pearson,0.5682362799519799
realsumm,SUPERT_default,NLI1Score_monolingual,0.0,summary,pearson,0.5217287156629147
realsumm,SUPERT_default,NLI1Score_monolingual,0.1,summary,pearson,0.5624541853060626
realsumm,SUPERT_default,NLI1Score_monolingual,0.2,summary,pearson,0.5648265291176545
realsumm,SUPERT_default,NLI1Score_monolingual,0.3,summary,pearson,0.5707401014145784
realsumm,SUPERT_default,NLI1Score_monolingual,0.4,summary,pearson,0.5687141776985886
realsumm,SUPERT_default,NLI1Score_monolingual,0.5,summary,pearson,0.5639972899768403
realsumm,SUPERT_default,NLI1Score_monolingual,0.6,summary,pearson,0.5304535504859016
realsumm,SUPERT_default,NLI1Score_monolingual,0.7,summary,pearson,0.5128317781095998
realsumm,SUPERT_default,NLI1Score_monolingual,0.8,summary,pearson,0.502359699230713
realsumm,SUPERT_default,NLI1Score_monolingual,0.9,summary,pearson,0.4898168556803231
realsumm,SUPERT_default,NLI1Score_monolingual,1.0,summary,pearson,0.30013608296545796
realsumm,SUPERT_default,NLI1Score_monolingual,0.0,system,pearson,0.6263008981528477
realsumm,SUPERT_default,NLI1Score_monolingual,0.1,system,pearson,0.6322440990558756
realsumm,SUPERT_default,NLI1Score_monolingual,0.2,system,pearson,0.6395298503909798
realsumm,SUPERT_default,NLI1Score_monolingual,0.3,system,pearson,0.64866169255233
realsumm,SUPERT_default,NLI1Score_monolingual,0.4,system,pearson,0.660422587918488
realsumm,SUPERT_default,NLI1Score_monolingual,0.5,system,pearson,0.6760880394742225
realsumm,SUPERT_default,NLI1Score_monolingual,0.6,system,pearson,0.6978419779775292
realsumm,SUPERT_default,NLI1Score_monolingual,0.7,system,pearson,0.7295543461236039
realsumm,SUPERT_default,NLI1Score_monolingual,0.8,system,pearson,0.7773964784993876
realsumm,SUPERT_default,NLI1Score_monolingual,0.9,system,pearson,0.8361770426300889
realsumm,SUPERT_default,NLI1Score_monolingual,1.0,system,pearson,0.6879147771811379
realsumm,SUPERT_default,NLI2Score_monolingual,0.0,summary,pearson,0.5217287156629147
realsumm,SUPERT_default,NLI2Score_monolingual,0.1,summary,pearson,0.5241898479083453
realsumm,SUPERT_default,NLI2Score_monolingual,0.2,summary,pearson,0.5551752370202284
realsumm,SUPERT_default,NLI2Score_monolingual,0.3,summary,pearson,0.5499645879097216
