dataset,metric,nli,nli_weight,level,correlation,litepyramid
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,summary,pearson,0.177663304885287
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,summary,pearson,0.1822516090982418
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,summary,pearson,0.18529786658240124
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,summary,pearson,0.16317981925082306
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summary,pearson,0.07937504468174189
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summary,pearson,-0.01157452288884642
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summary,pearson,-0.0910641446028294
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summary,pearson,-0.11061391806828354
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summary,pearson,-0.09420397232188298
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summary,pearson,-0.16918574250027757
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,summary,pearson,-0.19955921087256315
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,system,pearson,-0.023042313024402166
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,system,pearson,-0.03381195507175102
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,system,pearson,-0.04754811872718287
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,system,pearson,-0.06554240151082244
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,system,pearson,-0.08981997085669764
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,system,pearson,-0.12349266423583716
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,system,pearson,-0.17060980224489017
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,system,pearson,-0.23231290786278025
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,system,pearson,-0.2918592102797961
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,system,pearson,-0.31039147031450265
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,system,pearson,-0.2849185399021075
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,summary,pearson,0.177663304885287
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,summary,pearson,0.19967142535333407
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,summary,pearson,0.20271389087322286
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,summary,pearson,0.1578594427483673
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,summary,pearson,0.19448161085156335
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,summary,pearson,0.053002639998614945
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,summary,pearson,0.08149119692250684
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,summary,pearson,0.08733809542291075
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,summary,pearson,-0.026976153020900687
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,summary,pearson,-0.1092276206425883
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,summary,pearson,-0.08768207249236012
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,system,pearson,-0.023042313024402166
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,system,pearson,-0.02636776318817715
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,system,pearson,-0.030341293035108775
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,system,pearson,-0.035164076121783655
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,system,pearson,-0.04112460203746513
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,system,pearson,-0.04864659707329241
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,system,pearson,-0.05836523087138607
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,system,pearson,-0.07123846185648187
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,system,pearson,-0.08865229850710396
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,system,pearson,-0.11220229735891592
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,system,pearson,-0.14170553130296545
realsumm,SUPERT_default,NLI1Score_monolingual,0.0,summary,pearson,0.5217287156629147
realsumm,SUPERT_default,NLI1Score_monolingual,0.1,summary,pearson,0.5544593994944064
realsumm,SUPERT_default,NLI1Score_monolingual,0.2,summary,pearson,0.5660538505516454
realsumm,SUPERT_default,NLI1Score_monolingual,0.3,summary,pearson,0.5537154108546085
realsumm,SUPERT_default,NLI1Score_monolingual,0.4,summary,pearson,0.5402650393347108
realsumm,SUPERT_default,NLI1Score_monolingual,0.5,summary,pearson,0.5329593639123696
realsumm,SUPERT_default,NLI1Score_monolingual,0.6,summary,pearson,0.477124486759066
realsumm,SUPERT_default,NLI1Score_monolingual,0.7,summary,pearson,0.4143597714401728
realsumm,SUPERT_default,NLI1Score_monolingual,0.8,summary,pearson,0.25874547835896383
realsumm,SUPERT_default,NLI1Score_monolingual,0.9,summary,pearson,-0.026111317027290006
realsumm,SUPERT_default,NLI1Score_monolingual,1.0,summary,pearson,-0.19955921087256315
realsumm,SUPERT_default,NLI1Score_monolingual,0.0,system,pearson,0.6263008981528477
realsumm,SUPERT_default,NLI1Score_monolingual,0.1,system,pearson,0.632520803511491
realsumm,SUPERT_default,NLI1Score_monolingual,0.2,system,pearson,0.6401055622139928
realsumm,SUPERT_default,NLI1Score_monolingual,0.3,system,pearson,0.6493409002484553
realsumm,SUPERT_default,NLI1Score_monolingual,0.4,system,pearson,0.6601609802979276
realsumm,SUPERT_default,NLI1Score_monolingual,0.5,system,pearson,0.6704519032944632
realsumm,SUPERT_default,NLI1Score_monolingual,0.6,system,pearson,0.6673379340764654
realsumm,SUPERT_default,NLI1Score_monolingual,0.7,system,pearson,0.5846584973260666
realsumm,SUPERT_default,NLI1Score_monolingual,0.8,system,pearson,0.26662690593868027
realsumm,SUPERT_default,NLI1Score_monolingual,0.9,system,pearson,-0.09655972560541196
realsumm,SUPERT_default,NLI1Score_monolingual,1.0,system,pearson,-0.2849185399021075
realsumm,SUPERT_default,NLI2Score_monolingual,0.0,summary,pearson,0.5217287156629147
realsumm,SUPERT_default,NLI2Score_monolingual,0.1,summary,pearson,0.5463678770550849
realsumm,SUPERT_default,NLI2Score_monolingual,0.2,summary,pearson,0.5439639144528279
realsumm,SUPERT_default,NLI2Score_monolingual,0.3,summary,pearson,0.547604115817591
realsumm,SUPERT_default,NLI2Score_monolingual,0.4,summary,pearson,0.5151425862450302
realsumm,SUPERT_default,NLI2Score_monolingual,0.5,summary,pearson,0.46086666074584665
realsumm,SUPERT_default,NLI2Score_monolingual,0.6,summary,pearson,0.4008740223951153
realsumm,SUPERT_default,NLI2Score_monolingual,0.7,summary,pearson,0.3673076644597979
realsumm,SUPERT_default,NLI2Score_monolingual,0.8,summary,pearson,0.26950141072918193
realsumm,SUPERT_default,NLI2Score_monolingual,0.9,summary,pearson,0.16319663501490947
realsumm,SUPERT_default,NLI2Score_monolingual,1.0,summary,pearson,-0.08768207249236012
