dataset,metric,nli,nli_weight,level,correlation,litepyramid
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,summary,pearson,0.177663304885287
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,summary,pearson,0.1779366720700785
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,summary,pearson,0.07689324033652477
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,summary,pearson,0.06967669934082754
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summary,pearson,-0.11414420350871714
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summary,pearson,-0.16888502428300145
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summary,pearson,-0.16310762522803804
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summary,pearson,-0.29883790623235956
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summary,pearson,-0.3046397215238914
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summary,pearson,-0.27191164643824356
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,summary,pearson,-0.33981787777480404
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,system,pearson,-0.023042313024402166
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,system,pearson,-0.052181081478112824
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,system,pearson,-0.08981712305248339
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,system,pearson,-0.13880256438982436
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,system,pearson,-0.20162006483310033
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,system,pearson,-0.276847243871176
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,system,pearson,-0.35229843270994243
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,system,pearson,-0.4048936018668332
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,system,pearson,-0.42121643436699335
