dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,max,system,kendall,0.5588235294117646,0.13235294117647056,0.4206670706315453,0.5441176470588235,0.41399029706965096
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,max,system,kendall,0.6029411764705882,0.20588235294117643,0.46494781490855003,0.588235294117647,0.4655016596094904
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,max,system,kendall,0.6029411764705882,0.2352941176470588,0.40590682253921034,0.588235294117647,0.4580943526936261
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,max,system,kendall,0.6176470588235293,0.24999999999999997,0.4206670706315453,0.5735294117647058,0.4654608853049451
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,max,system,kendall,0.5441176470588235,0.3235294117647059,0.34686583016987066,0.49999999999999994,0.42862822224835
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,max,system,kendall,0.39705882352941174,0.41176470588235287,0.3763863263545405,0.49999999999999994,0.4213024639415763
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,max,system,kendall,0.3529411764705882,0.45588235294117646,0.39114657444687545,0.4264705882352941,0.40661017302348357
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,max,system,kendall,0.20588235294117643,0.5147058823529411,0.40590682253921034,0.3676470588235294,0.37353552916421434
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,max,system,kendall,0.1176470588235294,0.5147058823529411,0.3763863263545405,0.2794117647058823,0.3220377580592233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,max,system,kendall,0.10294117647058822,0.5294117647058822,0.3321055820775357,0.2647058823529411,0.3072911014017368
