dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,max,system,kendall,0.5294117647058822,0.13235294117647056,0.39114657444687545,0.5147058823529411,0.39190429067054233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,max,system,kendall,0.6323529411764706,0.2352941176470588,0.46494781490855003,0.6176470588235293,0.4875604831389022
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,max,system,kendall,0.6323529411764706,0.2941176470588235,0.46494781490855003,0.6176470588235293,0.5022663654918433
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,max,system,kendall,0.6176470588235293,0.2794117647058823,0.45018756681621513,0.5735294117647058,0.4801939505275832
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,max,system,kendall,0.5147058823529411,0.4705882352941176,0.49446831109321987,0.6176470588235293,0.524352371890952
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,max,system,kendall,0.45588235294117646,0.5588235294117646,0.5830297996472293,0.588235294117647,0.5464927440294544
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,max,system,kendall,0.30882352941176466,0.6470588235294118,0.5092285591855548,0.4705882352941176,0.4839247868552122
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,max,system,kendall,0.2205882352941176,0.6176470588235293,0.479708063000885,0.3823529411764705,0.4250740745737506
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,max,system,kendall,0.13235294117647056,0.588235294117647,0.45018756681621513,0.2647058823529411,0.35887042111581846
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,max,system,kendall,0.07352941176470587,0.588235294117647,0.39114657444687545,0.20588235294117643,0.31469840831760115
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,mean,system,kendall,0.6323529411764706,0.2647058823529411,0.4354273187238802,0.6176470588235293,0.48753330026920527
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,mean,system,kendall,0.6323529411764706,0.2647058823529411,0.4354273187238802,0.588235294117647,0.4801803590927347
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,mean,system,kendall,0.5441176470588235,0.3235294117647059,0.34686583016987066,0.49999999999999994,0.42862822224835
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,mean,system,kendall,0.5735294117647058,0.3823529411764705,0.3763863263545405,0.5294117647058822,0.4654201110003998
