dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,max,system,kendall,0.4264705882352941,0.08823529411764705,0.287824837800531,0.41176470588235287,0.30357385650895624
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,max,system,kendall,0.49999999999999994,0.19117647058823525,0.3616260782622056,0.48529411764705876,0.38452416662437494
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,max,system,kendall,0.5294117647058822,0.24999999999999997,0.3616260782622056,0.5441176470588235,0.42128887250672786
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,max,system,kendall,0.5588235294117646,0.2794117647058823,0.39114657444687545,0.5735294117647058,0.45072782008230705
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,max,system,kendall,0.5294117647058822,0.338235294117647,0.39114657444687545,0.5441176470588235,0.45072782008230705
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,max,system,kendall,0.3676470588235294,0.4705882352941176,0.30258508589286587,0.3823529411764705,0.38079333029674584
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,max,system,kendall,0.2794117647058823,0.588235294117647,0.39114657444687545,0.4411764705882352,0.42499252596466
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,max,system,kendall,0.14705882352941174,0.6029411764705882,0.34686583016987066,0.4264705882352941,0.3808341046012912
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,max,system,kendall,0.044117647058823525,0.6176470588235293,0.30258508589286587,0.2941176470588235,0.3146168597085105
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,max,system,kendall,-0.014705882352941175,0.6176470588235293,0.273064589708196,0.2352941176470588,0.27782497095646075
