dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,max,system,kendall,0.588235294117647,0.16176470588235295,0.4206670706315453,0.6029411764705882,0.4434020617755333
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,max,system,kendall,0.5441176470588235,0.1764705882352941,0.40590682253921034,0.5588235294117646,0.42132964681127316
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,max,system,kendall,0.5735294117647058,0.2352941176470588,0.40590682253921034,0.5588235294117646,0.44338847034068485
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,max,system,kendall,0.5441176470588235,0.2647058823529411,0.3173453339852008,0.5294117647058822,0.4138951570257119
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,max,system,kendall,0.3529411764705882,0.2205882352941176,0.15498260496951666,0.338235294117647,0.26668682771296737
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,max,system,kendall,0.3676470588235294,0.2352941176470588,0.1697428530618516,0.3529411764705882,0.28140630150075696
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,max,system,kendall,0.3823529411764705,0.30882352941176466,0.21402359733885637,0.338235294117647,0.3108588405111846
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,max,system,kendall,0.2352941176470588,0.3676470588235294,0.21402359733885637,0.30882352941176466,0.2814470758053023
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,max,system,kendall,0.19117647058823525,0.4411764705882352,0.2435440935235262,0.2352941176470588,0.27779778808676386
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,max,system,kendall,0.10294117647058822,0.41176470588235287,0.21402359733885637,0.14705882352941174,0.21894707580530232
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,mean,system,kendall,0.5735294117647058,0.20588235294117643,0.46494781490855003,0.5588235294117646,0.4507957772565492
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,mean,system,kendall,0.588235294117647,0.2205882352941176,0.45018756681621513,0.5441176470588235,0.4507821858217008
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,mean,system,kendall,0.5588235294117646,0.24999999999999997,0.4206670706315453,0.5147058823529411,0.43604912059906276
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,mean,system,kendall,0.48529411764705876,0.3235294117647059,0.287824837800531,0.41176470588235287,0.37710326827366214
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,mean,system,kendall,0.41176470588235287,0.2794117647058823,0.21402359733885637,0.338235294117647,0.3108588405111846
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,mean,system,kendall,0.338235294117647,0.2647058823529411,0.14022235687718174,0.2352941176470588,0.24461441274870716
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,mean,system,kendall,0.3235294117647059,0.2794117647058823,0.15498260496951666,0.19117647058823525,0.23727506300708504
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,mean,system,kendall,0.19117647058823525,0.3235294117647059,0.1697428530618516,0.08823529411764705,0.19317100738310997
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,mean,system,kendall,0.044117647058823525,0.3529411764705882,0.15498260496951666,0.0588235294117647,0.15271623947767327
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,mean,system,kendall,-0.0588235294117647,0.338235294117647,0.1697428530618516,0.014705882352941175,0.11596512503016877
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,max,system,kendall,0.41176470588235287,0.044117647058823525,0.273064589708196,0.4264705882352941,0.28885438272116665
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,max,system,kendall,0.39705882352941174,0.0588235294117647,0.25830434161586113,0.41176470588235287,0.2814878501098476
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,max,system,kendall,0.4264705882352941,0.08823529411764705,0.25830434161586113,0.4411764705882352,0.30354667363925936
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,max,system,kendall,0.41176470588235287,0.10294117647058822,0.2435440935235262,0.4264705882352941,0.2961801410279404
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,max,system,kendall,0.3823529411764705,0.10294117647058822,0.18450310115418653,0.39705882352941174,0.26671401058266425
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,max,system,kendall,0.30882352941176466,0.14705882352941174,0.12546210878484682,0.3529411764705882,0.23357140954915287
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,max,system,kendall,0.1764705882352941,0.10294117647058822,0.051660868323172224,0.2205882352941176,0.13791521708079305
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,max,system,kendall,0.0588235294117647,0.07352941176470587,-0.06642111641550714,0.10294117647058822,0.04221825030788791
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,max,system,kendall,-0.02941176470588235,0.10294117647058822,-0.06642111641550714,0.014705882352941175,0.005453544425534975
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,max,system,kendall,-0.1176470588235294,0.044117647058823525,-0.12546210878484682,-0.07352941176470587,-0.06813023307856464
