dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,None,system,kendall,0.7352941176470588,0.13235294117647056,0.39114657444687545,0.6617647058823529,0.4801395847881894
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,None,system,kendall,0.7499999999999999,0.1176470588235294,0.3763863263545405,0.676470588235294,0.48012599335334094
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,None,system,kendall,0.7499999999999999,0.08823529411764705,0.3173453339852008,0.6176470588235293,0.44330692173159425
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,None,system,kendall,0.764705882352941,0.07352941176470587,0.30258508589286587,0.6029411764705882,0.4359403891202752
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,None,system,kendall,0.7205882352941176,0.0588235294117647,0.287824837800531,0.5588235294117646,0.4065150329795445
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,None,system,kendall,0.6911764705882353,0.02941176470588235,0.25830434161586113,0.5294117647058822,0.37707608540396526
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,None,system,kendall,0.6617647058823529,0.02941176470588235,0.2287838454311913,0.49999999999999994,0.35499007900485663
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,None,system,kendall,0.5588235294117646,-0.044117647058823525,0.12546210878484682,0.4264705882352941,0.26665964484327054
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,None,system,kendall,0.48529411764705876,-0.1176470588235294,0.051660868323172224,0.3529411764705882,0.19306227590432246
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,None,system,kendall,0.3529411764705882,-0.2205882352941176,-0.08118136450784207,0.2205882352941176,0.06793995299068653
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,None,system,kendall,0.2205882352941176,-0.3235294117647059,-0.18450310115418653,0.08823529411764705,-0.04980224587678194
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,None,system,kendall,0.7352941176470588,0.13235294117647056,0.39114657444687545,0.6617647058823529,0.4801395847881894
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,None,system,kendall,0.764705882352941,0.13235294117647056,0.3616260782622056,0.6617647058823529,0.48011240191849247
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,None,system,kendall,0.7941176470588235,0.16176470588235295,0.39114657444687545,0.6617647058823529,0.5021984083176012
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,None,system,kendall,0.8088235294117646,0.1764705882352941,0.40590682253921034,0.6470588235294118,0.5095649409289202
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,None,system,kendall,0.764705882352941,0.30882352941176466,0.5092285591855548,0.7205882352941176,0.5758365515610945
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,None,system,kendall,0.7058823529411764,0.3676470588235294,0.5387490553702247,0.7499999999999999,0.5905696167837327
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,None,system,kendall,0.6029411764705882,0.41176470588235287,0.49446831109321987,0.7058823529411764,0.5537641365968344
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,None,system,kendall,0.5441176470588235,0.4411764705882352,0.46494781490855003,0.676470588235294,0.5316781301977257
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,None,system,kendall,0.4411764705882352,0.45588235294117646,0.3616260782622056,0.5735294117647058,0.4580535783890808
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,None,system,kendall,0.4264705882352941,0.4705882352941176,0.3763863263545405,0.5294117647058822,0.4507142286474586
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,None,system,kendall,0.10294117647058822,0.41176470588235287,0.2287838454311913,0.20588235294117643,0.2373430201813272
summ,SUPERT_default,NLI1Score_monolingual,0.0,None,system,kendall,0.14705882352941174,0.6029411764705882,0.46494781490855003,0.2794117647058823,0.37358989490360806
summ,SUPERT_default,NLI1Score_monolingual,0.1,None,system,kendall,0.16176470588235295,0.6176470588235293,0.45018756681621513,0.2941176470588235,0.38092924464523026
summ,SUPERT_default,NLI1Score_monolingual,0.2,None,system,kendall,0.16176470588235295,0.6176470588235293,0.45018756681621513,0.2941176470588235,0.38092924464523026
summ,SUPERT_default,NLI1Score_monolingual,0.3,None,system,kendall,0.19117647058823525,0.6470588235294118,0.479708063000885,0.3529411764705882,0.4177211333972801
summ,SUPERT_default,NLI1Score_monolingual,0.4,None,system,kendall,0.20588235294117643,0.6617647058823529,0.49446831109321987,0.338235294117647,0.42508766600859904
summ,SUPERT_default,NLI1Score_monolingual,0.5,None,system,kendall,0.1764705882352941,0.6617647058823529,0.4354273187238802,0.338235294117647,0.40297447673979353
summ,SUPERT_default,NLI1Score_monolingual,0.6,None,system,kendall,0.2352941176470588,0.6911764705882353,0.46494781490855003,0.39705882352941174,0.44711930666831395
summ,SUPERT_default,NLI1Score_monolingual,0.7,None,system,kendall,0.3235294117647059,0.6911764705882353,0.4206670706315453,0.48529411764705876,0.48016676765788635
summ,SUPERT_default,NLI1Score_monolingual,0.8,None,system,kendall,0.4705882352941176,0.5147058823529411,0.30258508589286587,0.6029411764705882,0.47270509500262814
summ,SUPERT_default,NLI1Score_monolingual,0.9,None,system,kendall,0.3529411764705882,0.044117647058823525,0.0369006202308373,0.3676470588235294,0.2004016256459446
summ,SUPERT_default,NLI1Score_monolingual,1.0,None,system,kendall,0.2205882352941176,-0.3235294117647059,-0.18450310115418653,0.08823529411764705,-0.04980224587678194
summ,SUPERT_default,NLI2Score_monolingual,0.0,None,system,kendall,0.14705882352941174,0.6029411764705882,0.46494781490855003,0.2794117647058823,0.37358989490360806
summ,SUPERT_default,NLI2Score_monolingual,0.1,None,system,kendall,0.16176470588235295,0.6176470588235293,0.45018756681621513,0.2941176470588235,0.38092924464523026
summ,SUPERT_default,NLI2Score_monolingual,0.2,None,system,kendall,0.14705882352941174,0.6323529411764706,0.46494781490855003,0.30882352941176466,0.38829577725654923
summ,SUPERT_default,NLI2Score_monolingual,0.3,None,system,kendall,0.13235294117647056,0.6470588235294118,0.479708063000885,0.2647058823529411,0.3809564275149271
summ,SUPERT_default,NLI2Score_monolingual,0.4,None,system,kendall,0.14705882352941174,0.6617647058823529,0.46494781490855003,0.24999999999999997,0.3809428360800787
summ,SUPERT_default,NLI2Score_monolingual,0.5,None,system,kendall,0.10294117647058822,0.6176470588235293,0.4206670706315453,0.2352941176470588,0.3441373558931804
summ,SUPERT_default,NLI2Score_monolingual,0.6,None,system,kendall,0.10294117647058822,0.6176470588235293,0.4206670706315453,0.2352941176470588,0.3441373558931804
summ,SUPERT_default,NLI2Score_monolingual,0.7,None,system,kendall,0.13235294117647056,0.588235294117647,0.39114657444687545,0.2647058823529411,0.3441101730234835
summ,SUPERT_default,NLI2Score_monolingual,0.8,None,system,kendall,0.14705882352941174,0.5441176470588235,0.34686583016987066,0.2794117647058823,0.32936351636599703
summ,SUPERT_default,NLI2Score_monolingual,0.9,None,system,kendall,0.1176470588235294,0.48529411764705876,0.287824837800531,0.2205882352941176,0.27783856239130916
summ,SUPERT_default,NLI2Score_monolingual,1.0,None,system,kendall,0.10294117647058822,0.41176470588235287,0.2287838454311913,0.20588235294117643,0.2373430201813272
